Index,Mean,Variance,Weight
64,0.000000000000000,1.000000000000000,0.000000114236605
55,16385.755891640656046,81561643.023972138762474,0.011903416076748
23,48300.163157970579050,384395062.699395418167114,0.018025259752133
41,114394.955096215606318,1734164753.359484434127808,0.030285657800071
7,242702.152077652659500,6674924180.208935737609863,0.053790985706701
59,448740.329412611026783,19063585388.569595336914062,0.065980691854616
53,765535.800311271450482,50098184787.290458679199219,0.072510916327436
50,1310492.032974529545754,132257861108.460678100585938,0.087668470177686
26,2180682.277985203079879,201736095856.115356445312500,0.062992286577902
5,3125952.624497309327126,405880424470.040039062500000,0.058620881322122
2,4176813.642673217225820,567334622418.507202148437500,0.039444776094777
44,5022669.879506893455982,680090219716.241333007812500,0.017044813715953
20,5704123.835716458968818,946457467210.876220703125000,0.023532691448956
21,6294000.629604713059962,1127151380119.575683593750000,0.017802843529313
17,7174803.848698888905346,1857185895338.386962890625000,0.017733417079141
33,8099572.480270202271640,1427711486132.931396484375000,0.013979162711223
6,8174921.029514561407268,1602641571445.992919921875000,0.017833689525243
28,9182931.456559667363763,1895230013152.721923828125000,0.013701038770896
60,10492506.780369179323316,920840067000.172851562500000,0.003162223137070
42,10874257.612059013918042,1991133755687.689208984375000,0.010860663257995
45,10979782.816771598532796,1909054149959.763671875000000,0.010288363014056
35,11708645.537887426093221,2126081495683.639404296875000,0.012794424141179
3,13633818.175288962200284,2766269518275.715820312500000,0.014654439940811
13,14373264.106076063588262,2579657423634.271484375000000,0.012317993185598
1,15119843.673552416265011,3700424345884.825683593750000,0.009236761269941
34,16401218.969230245798826,3017665427686.035156250000000,0.005986048062222
11,18078981.326647117733955,5440746044610.584960937500000,0.010377556993796
43,18563440.555965919047594,3985083748167.064941406250000,0.006035084096616
4,19257912.136579480022192,5090086581063.651367187500000,0.013344913016992
49,19817258.691024456173182,3249706469105.376464843750000,0.006053998558189
38,21451678.130199756473303,4760210952024.126953125000000,0.009454900375763
56,21990040.157162483781576,246558331665.462615966796875,0.002709295661005
37,24389996.759463660418987,649806194053.332275390625000,0.002705147696474
27,24731711.028654027730227,3865883296604.819824218750000,0.007179282914061
19,24892893.623818185180426,4443107770652.653320312500000,0.008574827751957
32,26618469.732640810310841,4829609644919.413085937500000,0.006423613545660
25,30149494.590332057327032,8170802826141.824218750000000,0.009636539201203
15,30439611.366293318569660,9849806585352.593750000000000,0.011396886627666
30,30467275.850583948194981,8178503010808.757812500000000,0.009062031430967
54,32748872.577379625290632,8853434916197.832031250000000,0.005635496526551
63,32961122.783593963831663,9342858622941.904296875000000,0.003339262743178
58,35200931.172051422297955,798065144.602805137634277,0.007041792370517
31,37359777.056224383413792,747548103.577353239059448,0.003787135357596
24,37505809.475899793207645,7809130345856.892578125000000,0.008656909023893
36,38115196.217722445726395,7866533914098.714843750000000,0.006179050199292
57,38714381.101641967892647,6957591604443.948242187500000,0.003945929625703
52,43820178.152069978415966,1584215062.272094964981079,0.003256168251627
46,44376489.190135270357132,10097903269938.195312500000000,0.018620396194879
51,47169989.922528140246868,1511765933.013106584548950,0.003145096637869
47,49503622.514015719294548,3204871317107.269531250000000,0.005801303184088
14,57449624.607922650873661,22962252963581.335937500000000,0.029267438090503
9,62893088.127032481133938,3014275871.559606075286865,0.002932610485667
39,69809173.411675766110420,22412426632849.601562500000000,0.011706206492286
12,75473590.288057208061218,3153519712.133190631866455,0.003523690229333
18,80940044.765622690320015,10136242156946.820312500000000,0.013751875711210
62,88284681.617160975933075,7322611717.404184341430664,0.002173208021635
10,92046920.400912910699844,102317426368526.718750000000000,0.012838518541721
40,96076281.212507069110870,6766927648.624210357666016,0.003047735074189
29,103082377.197595149278641,131193451321780.937500000000000,0.008081624678644
48,105217282.054357618093491,6828617546.804178237915039,0.002903136502263
61,121419487.117359191179276,13382244784.125085830688477,0.002191323593959
16,134562958.381928235292435,691444464976.114257812500000,0.005564695872572
22,154063030.981367707252502,780102352437373.375000000000000,0.025727384866149
8,243070936.132149368524551,53922107320.961669921875000,0.001775905137935
