	W1	W2	W3	W4	W5	W6	W7	W8
segsize1	0.0	2.9136006e-11	0.54287195	0.0	0.013985985	0.006638738	0.0	0.0
segsize2	0.0013447893	0.019085892	0.29501578	0.0	0.015146371	0.002736317	0.0	0.0003793852
segsize3	0.0014835073	0.0628386	0.13973829	0.01990572	0.03637083	0.0023041158	0.0	0.019893771
segsize4	0.004084537	0.12720495	0.0	0.04124686	0.08152902	0.013528092	0.0	0.011510681
segsize5	0.002464021	0.08468613	0.0	0.028587943	0.05181383	0.029905427	0.0009811121	0.0
segsize6	0.006282229	0.048584573	0.0	0.010544561	0.031228129	0.038413227	0.0022614074	0.0
segsize7	0.014618318	0.015264501	0.0	4.203321e-05	0.014080435	0.045393944	0.0031643976	0.0
segsize8	0.01263531	0.0022243068	0.0	1.7878945e-15	0.0016165774	0.030619454	0.0012130243	0.0
segsize9	0.0074295015	0.0039110715	0.0	0.0	0.0	0.020671953	0.0003326668	0.0
segsize10	0.016924089	3.9344516e-29	0.0	0.0	1.9405221e-25	0.027086593	3.199329e-05	0.0
segsize11	0.019749237	0.0	0.0	1.1038707e-09	6.3007434e-07	0.027160898	0.00083860906	0.0
segsize12	0.019858249	0.0	0.0	0.015503269	5.028507e-05	0.022970686	0.0	0.0
segsize13	0.018869767	0.0	0.0	0.017649002	1.2145806e-19	0.01103247	0.0005130338	2.951e-42
segsize14	0.012671009	6.651337e-30	0.0	0.0145846335	0.0020182622	0.004564122	0.0010194458	0.0
segsize15	0.02052447	0.0	0.0	0.022661684	5.669606e-10	0.0041761417	0.001788247	1.802508e-05
segsize16	0.008218172	0.0	0.0	0.02590426	0.004469832	0.0011175452	0.004011456	0.0006626431
segsize17	0.013082872	0.0	0.0	0.03248279	0.0077515524	0.0	0.0044982084	0.0
segsize18	0.0060326075	0.0	0.0	0.019383645	0.0035622914	0.0	0.0033063171	0.0
segsize19	0.0056380546	1.562e-42	0.0	0.022291718	9.291794e-28	0.0	0.0035299042	0.0
segsize20	0.0020220713	0.0	0.0	0.016806222	7.518e-40	0.0	0.004268857	0.0
segsize21	0.0039977822	0.0	0.0	0.016228	0.0	0.0	0.008696807	0.0
segsize22	0.0	0.0	0.0	8.0029816e-27	0.0	0.0	0.014251233	0.0032635974
changepoint1	0.006893763	0.023235288	0.0	0.0	3.5e-44	3.26969e-40	0.007889343	0.2929747
changepoint2	0.02351351	0.0	0.0	0.0	0.0	0.015005885	4.1212717e-14	0.6712972
changepoint3	0.054054134	0.2707328	0.0	0.0	0.0	0.048476215	0.009073024	0.0
changepoint4	0.03947604	0.14463337	0.0	0.09061368	0.0	0.056585748	0.0067962324	0.0
changepoint5	0.010489017	0.027304165	0.0	0.41448283	6.0559123e-05	0.065770954	0.00044080892	0.0
changepoint6	0.0	0.0	0.0	0.07164863	0.07680248	0.023808295	0.0	0.0
changepoint7	0.0	0.0	0.0	0.032681044	0.08966706	0.014906088	0.0	0.0
changepoint8	0.0	0.0	0.0	0.020611692	0.092177674	0.014089233	6.4727064e-05	0.0
changepoint9	3.60534e-40	0.0	0.0	0.004993885	0.086960845	0.008904655	5.7164216e-05	0.0
changepoint10	3.6212174e-13	0.0015493698	0.0	0.0	0.17012373	0.0026050536	1.0908979e-06	0.0
bp10MB1	0.25082695	8.092811e-17	0.0	6.4e-44	6.316903e-09	0.044001654	0.5690348	0.0
bp10MB2	0.2261157	2.1643673e-07	0.0	2.2858e-41	0.0	0.09518665	0.22661622	0.0
bp10MB3	0.01846293	0.078950234	2.142654e-24	0.024767919	0.037281755	0.049224466	0.006059316	0.0
bpchrarm1	0.005693014	5.9e-43	0.0	0.0	0.0	0.0030681933	0.07153052	1e-45
bpchrarm2	0.0382879	0.0	0.0	2.2663658e-21	0.0	0.0011313789	0.040134992	0.0
bpchrarm3	0.026559114	0.018734923	1e-45	0.017120976	0.008886625	0.009899327	0.0019858223	0.0
bpchrarm4	0.0	0.008015154	0.0	0.0	0.004334835	0.011084767	0.0	0.0
bpchrarm5	0.0	0.0016072101	0.00059188367	0.0	0.00132278	0.0	0.0	0.0
osCN1	0.08334549	3.593407e-15	0.0	0.0	0.13026199	0.1964538	0.005609194	2.2997155e-30
osCN2	0.018351804	0.053994603	0.016640691	0.01780984	0.038200725	0.051041927	0.0	0.0
osCN3	0.0	0.0074426103	0.0051414208	0.0014471014	0.0002949312	0.00043596572	0.0	0.0
