	W1	W2	W3	W4	W5	W6
segsize1	0.0019497396	0.0	0.000749295	0.011301678	0.0	0.00893307
segsize2	0.0013193045	0.0	0.0009364785	0.019321935	0.0	0.008071196
segsize3	0.0	0.0039283433	0.0009341417	0.040315717	0.0	0.012212073
segsize4	0.004406413	0.0021928742	0.0016744313	0.09405661	0.0	0.015843473
segsize5	0.010572273	0.0	0.0003359095	0.07161972	0.0	0.016579423
segsize6	0.020516142	3.6217279e-19	0.0	0.058071136	0.0	0.017796388
segsize7	0.032127418	0.005683622	1.2131176e-29	0.043832663	0.0	0.02020899
segsize8	0.027162656	0.011838584	0.0006615051	0.01612817	0.0	0.012933461
segsize9	0.01858347	0.0091267135	0.00013755984	0.0064012734	0.00022620134	0.0101880925
segsize10	0.030099168	0.015653599	0.0007064293	0.0061642076	0.0	0.01434915
segsize11	0.03322488	0.02182795	0.00066652935	0.0	0.0	0.018430226
segsize12	0.024131445	0.02915681	0.0004146983	0.0	1.198679e-26	0.022624996
segsize13	0.016387837	0.019498087	0.0010131866	0.0	0.00996913	0.013786037
segsize14	0.008737617	0.016683882	7.0426103e-13	0.0	0.017878573	0.010733587
segsize15	0.010912968	0.02044543	0.002804324	0.0	0.035408814	0.02405749
segsize16	0.0	0.01451099	0.0	0.0	0.07467208	0.017668316
segsize17	0.0	0.01795719	0.0048717596	0.0	0.04115432	0.019095166
segsize18	5.929416e-14	0.009786437	0.0013769948	0.0	0.041143794	0.013289809
segsize19	0.0	0.0050385483	0.0018372072	0.0	0.043648295	0.0112542575
segsize20	0.0	0.0017880236	0.0011202694	0.0	0.060826927	0.0071588065
segsize21	0.0	0.0005275781	0.003921988	0.0	0.07798441	0.011547121
segsize22	0.0	0.0	0.0028287536	0.0	0.15796971	0.007203275
changepoint1	0.07059805	0.0	0.004060634	0.0	0.26529235	0.0
changepoint2	0.15346159	9.271844e-36	0.0	0.0	0.17382552	0.0
changepoint3	0.00013620761	0.12328662	0.010077582	0.18740933	0.0	0.0
changepoint4	0.0	0.06715825	0.0089000035	0.103974134	0.0	0.057778887
changepoint5	0.0	0.019329924	0.0036553831	0.017622763	4.330521e-29	0.17962769
changepoint6	0.0018441174	3.8684378e-25	0.0	0.0072311973	0.0	0.04252388
changepoint7	0.0003321364	0.0	0.0	0.001571266	0.0	0.03298502
changepoint8	0.0006242853	0.0	0.00014876138	2.9936278e-13	0.0	0.032467745
changepoint9	0.00012094353	0.0	4.4534525e-05	0.0010531701	0.0	0.02375216
changepoint10	2.3228185e-05	0.0	1.24037315e-05	0.0012231406	0.0	0.03738669
bp10MB1	0.06661243	0.2009252	0.58860093	0.0	0.0	8.6673e-41
bp10MB2	0.15715747	0.24934742	0.23891315	0.0185704	0.0	0.06471267
bp10MB3	0.029447192	0.016249223	0.0051363413	0.08134219	0.0	0.030383205
bpchrarm1	0.0	0.0	0.06871307	0.0	0.0	0.0
bpchrarm2	0.0089130225	0.059426077	0.04346926	0.0	2.672091e-12	0.009867844
bpchrarm3	0.02155191	0.023278806	0.0012764473	0.0300346	0.0	0.019068463
bpchrarm4	0.002231008	0.0	0.0	0.011480514	0.0	0.0002281865
bpchrarm5	0.0	0.0	0.0	0.00029677595	0.0	6.26889e-07
osCN1	0.21771128	0.019105097	0.0	0.100461915	0.0	0.12705117
osCN2	0.029103808	0.015410087	0.0	0.06583648	0.0	0.028100073
osCN3	0.0	0.00083860656	1.0654115e-07	0.0046790056	0.0	0.00010122892
