	W1	W2	W3	W4	W5	W6
segsize1	0.33648846	4.2778734e-07	0.0	0.0	3.9478872e-13	0.0036446347
segsize2	0.07551133	0.002260556	0.007851437	0.0	0.0052333665	0.0061031007
segsize3	0.01264303	0.0034838878	0.017262073	0.0	0.017462393	0.0095404005
segsize4	0.0	0.0014223892	0.03364235	0.00029330808	0.03756502	0.011281941
segsize5	0.0	0.0	0.02526468	0.0	0.03551689	0.0040448783
segsize6	0.0	0.00420508	0.025374787	0.0	0.03399285	0.0032275165
segsize7	0.0	0.011238514	0.024075346	0.00023348491	0.036948793	0.0027024637
segsize8	0.0	0.014222253	0.017623927	0.00030840366	0.023399986	0.0014561663
segsize9	0.0	0.010097882	0.008581303	0.00017386994	0.015813239	0.00056609046
segsize10	0.015549241	0.018093258	0.017669382	0.0011255587	0.02135611	0.0
segsize11	0.011149135	0.022127394	0.022871932	0.001046844	0.016829094	0.0
segsize12	3.6132976e-26	0.02240229	0.019665197	0.0016392742	0.014747531	0.0007477639
segsize13	0.0051571745	0.018622559	0.012084936	0.0014622738	0.010617148	0.0
segsize14	0.0	0.015369167	0.006281945	0.00197817	0.0061168186	0.0
segsize15	0.0	0.018611178	0.02087112	0.004426468	0.008307825	0.0007154676
segsize16	3.5273434e-10	0.008213115	0.00541845	0.006844221	0.0031305244	0.0
segsize17	0.0	0.011593725	0.014943306	0.0083884625	0.0054912483	0.0
segsize18	0.0	0.006513594	0.011875254	0.0052843727	0.002994754	0.0
segsize19	0.0	0.0040906467	0.009609179	0.0049876855	0.0021062915	0.0
segsize20	0.0	0.0	0.0029869815	0.006161085	0.0017232868	0.0
segsize21	0.0	0.0018375516	0.005427585	0.010728181	0.0004059564	0.00079885795
segsize22	0.0	0.0	0.0	0.018530125	0.0	0.001766812
changepoint1	0.0008773837	0.06767943	0.0	0.012054643	0.0	0.0065437807
changepoint2	0.0	0.121765934	0.0	0.007026627	6.7092565e-14	0.0068725557
changepoint3	0.0	0.005663134	0.0	0.015051516	0.19373862	0.020442873
changepoint4	0.092363216	0.0	0.052850723	0.013743615	0.11465735	0.008314394
changepoint5	0.2714087	0.0	0.17899653	0.008307312	0.013498043	0.0
changepoint6	0.016026992	0.0011529333	0.04422273	0.001673006	0.0	0.0
changepoint7	0.0	8.461959e-05	0.030584678	0.000798808	0.0	0.0
changepoint8	0.00087238033	0.0	0.029985426	0.00042106837	9.260973e-05	7.0906863e-06
changepoint9	0.0	0.0	0.020817788	0.00015771048	0.0	3.8121e-05
changepoint10	0.0	7.474025e-06	0.019056171	1.729667e-05	0.0	1.8185505e-05
bp10MB1	0.0	0.18062057	1.7156e-41	0.54085535	0.054262478	0.5560176
bp10MB2	0.0031104726	0.20558295	0.07532538	0.21799117	0.12728831	0.2182847
bp10MB3	0.07772984	0.014660303	0.040397745	0.0033443545	0.054755606	0.012164762
bpchrarm1	0.0	0.0	0.0	0.06701832	0.0	0.06681569
bpchrarm2	0.0	0.044335976	0.014105438	0.037255	0.013686241	0.03402647
bpchrarm3	0.019006992	0.01895127	0.023329772	0.0006703145	0.026943	0.005705903
bpchrarm4	0.021174155	9.662941e-07	0.0025213917	0.0	0.0047836793	0.0
bpchrarm5	8.7723536e-05	0.0	0.000119565826	0.0	0.00041598344	0.0
osCN1	0.0	0.124783054	0.1217412	0.0	0.05722527	0.014689357
osCN2	0.023531035	0.020305991	0.03656433	0.0	0.035422396	0.0034623367
osCN3	0.01731286	0.0	0.0	2.1214719e-06	0.0034712083	0.0
