	W1	W2	W3	W4	W5
segsize1	0.00085838867	0.0	0.016563373	0.0047310055	0.003775012
segsize2	0.0010421544	0.0	0.012115294	0.005927803	0.006003299
segsize3	0.0014506612	0.0	0.015496536	0.013767601	0.012685532
segsize4	0.0022039607	0.0	0.052448373	0.028211255	0.004560308
segsize5	0.001058618	0.0012314754	0.06427358	0.022319434	0.0
segsize6	0.00076921727	9.9030476e-05	0.06718542	0.021563688	3.1564517e-07
segsize7	0.0015532088	0.002695187	0.04712731	0.023640085	0.0064470354
segsize8	0.00053738337	0.018210802	0.0124236485	0.017012818	0.012850402
segsize9	0.00018286741	0.008347087	0.0057676826	0.009846329	0.009798616
segsize10	0.00010961956	0.022207176	0.015813543	0.013154827	0.020564552
segsize11	6.1595354e-05	0.043528028	0.007264372	0.014647754	0.02723114
segsize12	0.00060011755	0.042870197	0.0	0.015879262	0.024978561
segsize13	0.0010363114	0.02828096	0.0	0.011811704	0.022419382
segsize14	0.0014871501	0.007584554	0.0	0.008872565	0.015580518
segsize15	0.0024249167	0.028520552	0.0	0.012578343	0.034333
segsize16	0.00527368	0.014253376	0.0	0.0030295092	0.019875575
segsize17	0.0068628285	0.022108179	0.0	0.006329747	0.02407408
segsize18	0.004797503	0.014667486	0.0	0.0028677096	0.016273621
segsize19	0.004287855	0.008822864	0.0	0.0	0.021868795
segsize20	0.0037879234	0.0	0.0	0.0	0.008863262
segsize21	0.008732936	0.0	0.0	0.0	0.018173022
segsize22	0.010449394	0.0	0.0	0.0	0.0
changepoint1	0.007326164	0.23988014	0.0	0.006069615	0.0
changepoint2	0.004767783	0.3373228	0.0	0.020314898	7.516859e-13
changepoint3	0.019977631	0.0	0.0	0.09321724	0.0
changepoint4	0.011735261	0.0	0.0	0.059977315	0.06536098
changepoint5	0.0025451581	0.0	0.02448069	0.021250132	0.21585056
changepoint6	0.0004120622	0.0	0.041727215	0.0	0.049735866
changepoint7	1.2948491e-05	0.0	0.047628935	0.0	0.03180017
changepoint8	0.00016581785	0.0	0.053227007	0.0	0.024789369
changepoint9	1.8548708e-05	0.0	0.051187404	0.00021209464	0.013274421
changepoint10	0.0	0.0	0.09014762	0.0	0.0053190244
bp10MB1	0.54891956	0.0	0.0	0.16308513	0.00037113522
bp10MB2	0.22937697	5.8447704e-06	0.0	0.17183729	0.11869739
bp10MB3	0.005909026	1.6382123e-10	0.05596819	0.038987957	0.017185487
bpchrarm1	0.064251095	0.0	0.0	7.5313773e-31	0.0
bpchrarm2	0.0422615	0.0	0.0	0.025882745	0.027902024
bpchrarm3	0.0027521413	3.8316317e-05	0.0	0.024919642	0.029164393
bpchrarm4	0.0	1.4106879e-06	0.01097801	0.0019457324	8.543391e-09
bpchrarm5	0.0	0.0	0.0011004861	0.0	0.0
osCN1	0.0	0.14464678	0.26214558	0.10024497	0.0695123
osCN2	6.1881864e-31	0.014671633	0.04492977	0.03471375	0.020617492
osCN3	0.0	6.141834e-06	0.0	0.0011500025	6.332887e-05
