	W1	W2	W3	W4	W5	W6
segsize1	0.010366673	0.0	0.03229722	0.00014219758	0.0009066115	0.0014704621
segsize2	0.014157843	0.0006771378	0.035853915	3.5987967e-05	0.0	0.0011953512
segsize3	0.040370174	0.0	0.044874873	0.00044958096	0.0	0.0025108191
segsize4	0.08702032	5.1548965e-29	0.07692109	0.0010895369	1.6783118e-21	0.0054626176
segsize5	0.07667239	0.00028802408	0.06180507	0.00078870327	0.010239401	0.00423056
segsize6	0.06480142	0.009140868	0.029384857	0.0001019656	0.016705777	0.0039466377
segsize7	0.049181305	0.014995287	0.015960285	0.00038795138	0.023071125	0.0057922606
segsize8	0.022813741	0.011601871	0.009725369	3.6986e-22	0.015927436	0.0037635807
segsize9	0.0119762495	0.0067177527	0.0028488687	1.43024e-40	0.011503426	0.0021934765
segsize10	0.014557537	0.012166805	0.008357021	0.0	0.018423399	0.00395056
segsize11	0.0075684884	0.0184075	0.0073513403	0.0	0.026221773	0.0037145577
segsize12	0.004568088	0.014905904	0.0063142153	0.0	0.034130655	0.0033137624
segsize13	0.0026159852	0.014513947	0.0042043296	0.0	0.02269093	0.002945444
segsize14	0.0	0.010547104	0.0047731088	0.0005668688	0.013306368	0.0019903546
segsize15	0.0	0.026075432	0.0	0.0014914507	0.024417255	0.0021803232
segsize16	0.0	0.02454701	0.0	0.0048277862	0.012568202	0.00027483678
segsize17	0.0	0.027804475	0.001598062	0.004293346	0.017199412	0.0014172018
segsize18	0.0	0.025552457	0.0	0.0016060134	0.010587558	0.0015498613
segsize19	0.0	0.024248661	0.0	0.003044439	0.009284331	0.00036217377
segsize20	8.9032905e-09	0.018796533	0.0	0.005429286	0.0016026834	0.00021803638
segsize21	0.0	0.029917676	0.0	0.007561961	0.0031025636	0.0010908267
segsize22	0.0	0.04088324	0.0	0.020285895	0.0	0.0
changepoint1	0.0	0.0	0.0	0.014988332	0.11483315	0.0
changepoint2	0.012682247	0.0	0.0	0.0070693623	0.17525385	0.003986693
changepoint3	0.15254913	0.0	0.0	0.004826419	0.0115952	0.038390417
changepoint4	0.10988927	0.1227188	0.0	0.004901862	7.1062066e-24	0.01681987
changepoint5	0.019748382	0.32088947	0.012447766	0.0011598147	0.0	3.9635968e-11
changepoint6	0.0	0.020593332	0.044118036	0.0	0.0	0.00025673266
changepoint7	0.0	0.008049307	0.046659544	0.0	0.0	0.0
changepoint8	0.00079732266	0.008835736	0.0447461	4.4829408e-06	0.0	9.055189e-25
changepoint9	0.000719521	0.0031710542	0.03787707	8.993288e-06	0.0	1.0539461e-06
changepoint10	0.0	0.0004098679	0.13154893	1.30296685e-05	0.0	1.5138986e-05
bp10MB1	1.0030526e-36	3.463373e-31	0.0	0.5808681	2.3050735e-09	0.52817863
bp10MB2	0.009337501	0.09876757	6.079494e-38	0.21749581	0.1722223	0.23204988
bp10MB3	0.0733519	0.013550245	0.046924196	0.0031865183	0.02299815	0.012122036
bpchrarm1	0.0	0.0	0.0	0.083095625	0.0	0.05896321
bpchrarm2	0.0	0.036721148	0.0	0.030278625	0.029716594	0.036473844
bpchrarm3	0.007984614	0.01068934	0.014888038	0.0	0.02270568	0.0077634184
bpchrarm4	0.013961689	3.396898e-08	0.007639921	0.0	1.7735504e-06	6.003361e-05
bpchrarm5	0.0021275338	0.0	0.0008432069	0.0	0.0	0.0
osCN1	0.11777475	0.01792592	0.20842122	0.0	0.15729798	0.006824217
osCN2	0.0630629	0.0058189016	0.06153075	0.0	0.02148644	0.0042252247
osCN3	0.009343125	7.162988e-05	8.553065e-05	0.0	0.0	0.00029592964
