	W1	W2	W3	W4	W5	W6	W7	W8
segsize1	0.0	0.0	0.08809829	0.011237596	0.0	0.00019539241	0.007163212	0.0
segsize2	0.0	0.0	0.11766053	0.00734407	0.0	0.0	0.00034827416	0.0032848848
segsize3	0.0113968635	0.0	0.19310012	0.010565261	0.0	0.0	0.0	0.00713404
segsize4	0.06728776	0.010132978	0.17304894	0.02847025	0.0	0.0011528286	0.009266497	0.011546264
segsize5	0.099112056	0.008287459	0.010162292	0.026207563	0.0	0.00049615855	0.019424448	0.005671073
segsize6	0.083737694	0.010647859	0.0	0.022177108	0.0	7.653788e-05	0.022850214	0.004100979
segsize7	0.052413758	0.0148621965	0.0	0.019376075	0.0	0.0016314785	0.033039916	0.0071494756
segsize8	0.015963098	0.0052370457	0.0	0.020119438	0.0	0.00086992845	0.029935034	0.008137052
segsize9	0.00514585	0.0037654422	0.0	0.013656551	0.0	1.01868945e-05	0.022871511	0.006015216
segsize10	0.007125008	0.013599537	0.0	0.014266351	0.0	0.0	0.027568426	0.010594928
segsize11	0.003729012	0.019628685	0.0	0.027269276	0.0	0.0	0.030193333	0.015116562
segsize12	0.0028162564	0.017639954	0.0	0.02980372	0.01200221	0.0	0.027548116	0.016805224
segsize13	0.00056792714	0.019664397	0.0	0.022375384	0.009986511	0.00031671504	0.014563269	0.01660503
segsize14	0.0	0.01941419	0.0	0.012842222	0.0071644615	0.00087076	0.0052363332	0.013120767
segsize15	0.0	0.03138267	0.0	0.014818703	0.035523992	0.00043896653	0.011243865	0.018660981
segsize16	0.0	0.029164074	0.0	0.0071960455	0.048979152	0.0022316573	0.0021495281	0.0073777004
segsize17	0.0	0.027683316	0.0	0.012494566	0.06462088	0.0029456797	0.0	0.010853064
segsize18	0.0	0.018356854	0.0	0.002878878	0.03394762	0.0034319912	0.0	0.0047462676
segsize19	0.0	0.023469139	0.0	6.662862e-20	0.047021184	0.0022255033	0.0	0.0036166883
segsize20	0.0	0.018302675	0.0	0.0	0.06924915	0.0015676225	0.0	0.0
segsize21	0.0	0.015619472	0.0	0.0	0.060358614	0.005920889	0.0	0.0
segsize22	0.0	0.01569717	0.0	0.0	0.17312719	0.0060681575	0.0	0.0
changepoint1	0.0	0.0	0.019754631	0.0	0.22675183	0.0043507717	0.07610145	0.0
changepoint2	0.0	0.0	0.0	0.0	0.21126714	0.0030448497	0.16534027	3.629672e-06
changepoint3	0.16069548	0.0	0.0	0.0	0.0	0.009525583	0.0	0.14013892
changepoint4	0.1150501	0.09221391	0.035788693	4.723185e-32	0.0	0.0066106934	0.0	0.08267946
changepoint5	0.04978108	0.37217188	0.03970549	0.022622077	0.0	1.1982275e-16	0.008930093	0.011405505
changepoint6	0.0050532846	0.027090335	0.0	0.102263756	0.0	5.00767e-28	0.0024494238	0.0013647713
changepoint7	0.00033729724	0.0	0.0	0.09294356	0.0	6.7879882e-06	0.0	0.0
changepoint8	0.00097482227	0.0071606003	0.00020842739	0.06502313	0.0	9.143067e-05	6.8116824e-05	0.00010133965
changepoint9	0.0005871206	0.0021437276	0.0	0.03844731	0.0	4.9999366e-05	0.00022158465	6.093618e-05
changepoint10	1e-45	0.0	1.989832e-05	0.035551302	0.0	1.2789707e-05	1.9787229e-05	4.521925e-05
bp10MB1	0.008815952	0.0	0.0	1.8810598e-38	0.0	0.5915783	0.014854	0.22902794
bp10MB2	0.051796533	0.08691693	0.0	0.073654674	0.0	0.23466213	0.122761115	0.22369885
bp10MB3	0.08040508	0.013978812	0.114199676	0.036513332	0.0	0.004138038	0.03374903	0.023803592
bpchrarm1	0.0	0.0	0.0	0.0	0.0	0.07209989	0.0	0.0
bpchrarm2	0.0	0.01907705	0.0	0.0027240277	0.0	0.043248735	8.245383e-11	0.038349327
bpchrarm3	0.007119207	0.016402569	0.059957758	0.019387675	0.0	0.00012936082	0.021493219	0.028175786
bpchrarm4	0.015181794	0.0	0.008049124	0.0030883793	0.0	0.0	0.0031628383	0.0
bpchrarm5	0.0017159741	0.0	0.0	0.0	0.0	0.0	0.0	0.0
osCN1	0.08754588	0.04025601	0.03418256	0.1513027	0.0	8.18573e-40	0.24716935	0.034401238
osCN2	0.05651795	0.0	0.095564514	0.05337911	0.0	0.0	0.040277865	0.016105013
osCN3	0.009127125	3.299425e-05	0.010499007	0.0	0.0	1.6229912e-07	0.0	0.000102268445
