	W1	W2	W3	W4	W5
segsize1	0.0014685963	0.003913631	0.0	0.023421189	0.001132758
segsize2	0.0	0.0046791057	0.0	0.023082903	0.0010881224
segsize3	0.0	0.010302597	0.00030971173	0.03454525	0.002250701
segsize4	0.0016672675	0.02434503	0.0	0.07705554	0.0017962878
segsize5	0.004990226	0.02251315	0.0	0.06766512	0.0017366455
segsize6	0.010713896	0.02252265	0.009204994	0.052559983	0.0007076916
segsize7	0.025752716	0.023363668	0.014517431	0.04323616	0.0015053558
segsize8	0.01856473	0.017478537	0.017790707	0.013981258	0.00026695066
segsize9	0.017729294	0.010916148	0.009701877	0.0074879173	0.0
segsize10	0.029540943	0.017916653	0.024191432	0.001680795	0.0
segsize11	0.03216773	0.020731982	0.029069085	1.9684005e-07	0.0
segsize12	0.043612618	0.01778084	0.029181741	0.0	0.0
segsize13	0.028371518	0.01168229	0.025606897	5.0768312e-37	0.0
segsize14	0.018104913	0.00698183	0.012935797	0.0	0.002876066
segsize15	0.020484999	0.011274846	0.02361458	0.0	0.004347608
segsize16	0.0042907717	0.0043867184	0.009580214	0.0	0.006837002
segsize17	0.0	0.006847777	0.013621602	0.0	0.010648425
segsize18	0.0018088078	0.002962729	0.0074866554	6.840882e-26	0.0065988195
segsize19	0.002285103	0.0015063282	0.0069736615	1.2778944e-27	0.0061339075
segsize20	0.0005776233	9.196604e-36	0.0014982646	0.00041051835	0.0056863087
segsize21	0.00014065785	1.9505473e-26	0.002477878	1.6493872e-09	0.011178037
segsize22	0.0	0.0	5.871152e-06	0.0	0.009846947
changepoint1	0.10379341	0.0	0.00029363765	0.0	0.011335665
changepoint2	0.2332223	0.011434693	1.01e-43	0.0	0.01177715
changepoint3	0.0	0.12281682	0.0	0.0	0.025552643
changepoint4	0.0	0.07230224	0.049666524	0.022588436	0.014118688
changepoint5	0.0	0.02034245	0.13299899	0.060576294	0.0023057864
changepoint6	0.0	0.0013553726	0.038589146	0.04115896	0.0
changepoint7	0.0	0.0	0.02481709	0.03682385	0.00022184104
changepoint8	0.0	0.0	0.02010016	0.036903925	0.00011560617
changepoint9	0.0	0.0	0.010875202	0.037279006	5.179548e-05
changepoint10	0.0	0.0	0.0012961666	0.06875159	0.00041496652
bp10MB1	7.8445e-41	0.15092663	0.11563908	1.0893442e-06	0.5221874
bp10MB2	0.11999048	0.16290373	0.17301278	1.6565813e-32	0.22486879
bp10MB3	0.02245857	0.038287815	0.020421471	0.06254998	0.0058448208
bpchrarm1	0.0	0.0034965314	5.8613257e-24	0.0002121086	0.054557744
bpchrarm2	1.2506819e-20	0.0185325	0.024059296	0.0	0.049051814
bpchrarm3	0.016617449	0.025292618	0.026418488	0.00807129	0.0029475577
bpchrarm4	0.002737557	0.0031615037	0.0	0.010693549	0.0
bpchrarm5	0.0	9.880164e-06	0.0	0.00052065414	0.0
osCN1	0.21503922	0.08770265	0.10284996	0.21502154	0.0
osCN2	0.023868611	0.037986718	0.021193666	0.052210115	0.0
osCN3	0.0	0.0013412898	0.0	0.0015108074	1.0098547e-05
