	W1	W2	W3	W4	W5	W6	W7
segsize1	0.008629409	0.010485295	0.00030804068	0.00075479306	0.0	0.021512235	0.007865864
segsize2	0.003912619	0.00886383	0.0006597792	0.00013334585	0.0	0.0282495	0.010899565
segsize3	0.0021837605	0.019546218	0.0	0.0	0.0034143939	0.060150586	0.02280894
segsize4	0.0	0.047604963	0.0	0.0	0.028110927	0.108827114	0.046297025
segsize5	2.880302e-39	0.045445267	0.0022354568	3.8528906e-05	0.047267217	0.0664716	0.03229552
segsize6	0.009110533	0.020035366	0.0075385715	0.0009758429	0.065000005	0.022244697	0.021650786
segsize7	0.02821049	2.7386135e-14	0.011402675	0.0015001809	0.07568976	9.7689126e-26	0.021910531
segsize8	0.02678656	0.0	0.011849831	0.00015905805	0.043210708	0.0	0.016485568
segsize9	0.023016281	0.0	0.009897755	0.00033424603	0.021918392	0.0	0.009673081
segsize10	0.038432967	0.0	0.021164164	0.0	0.026518809	0.0	0.016211953
segsize11	0.035344977	0.0	0.028911162	0.0001441465	0.020548403	0.0	0.021853026
segsize12	0.03249298	0.0	0.033947963	3.611633e-09	0.009318974	2.9074047e-21	0.02656995
segsize13	0.018382821	0.00706606	0.025057435	0.0018039435	0.0021155477	0.0015887994	0.017827487
segsize14	0.007321662	0.0086147515	0.014938572	0.0018833827	6.454755e-05	0.0014732038	0.009190757
segsize15	0.006576546	0.012259049	0.020343179	0.0076374863	0.0	0.0016116691	0.011843126
segsize16	0.00034517416	0.0074523785	0.0071786162	0.007930008	0.0	0.00031627394	0.00457932
segsize17	1.36e-43	0.019815387	0.008262289	0.011949811	0.0	0.0	0.0038500582
segsize18	0.0	0.012515937	0.0026252202	0.0075835185	0.0	0.0	0.00057265797
segsize19	0.0	0.010932063	0.0021715	0.0068225805	0.0	0.0	0.0
segsize20	0.0	0.0050396463	0.00017599665	0.005048444	0.0	0.0	0.0
segsize21	0.0	0.011036187	2.1332226e-05	0.00888646	0.0	0.0	0.0
segsize22	0.0	0.0	0.0	0.006932783	3.9679725e-07	0.0	0.0
changepoint1	0.066866875	0.0	0.0031793544	0.009577902	0.0	0.01915267	0.002907088
changepoint2	0.23351206	0.0	0.008532842	0.0065371958	0.015458042	5.8850023e-21	0.0
changepoint3	0.0	0.0	0.11261792	0.013347824	0.117422424	0.20760743	0.0
changepoint4	0.0	0.0	0.063958645	0.010021906	0.093836784	0.08885525	0.0585585
changepoint5	0.0	0.0	0.015158098	0.0038375214	0.04946241	0.0050303577	0.20417573
changepoint6	6.17e-43	0.08034599	0.0006289592	0.0	0.00945067	0.0	0.049081396
changepoint7	0.0	0.08338061	0.0	0.0	0.0023565867	0.0	0.02607471
changepoint8	0.0	0.086011074	0.00016614422	4.095949e-06	0.003314298	0.0	0.017427126
changepoint9	0.0	0.08433821	5.7625475e-05	1.1785395e-05	0.0018920632	0.0	0.00676646
changepoint10	0.0	0.11725483	0.0	7.6775905e-06	0.0006325572	0.0	0.0011360047
bp10MB1	3.5670345e-20	4.124403e-39	0.170709	0.5363757	0.018773394	0.084696725	0.031419277
bp10MB2	0.11751058	0.0	0.22796197	0.23679085	0.062235016	0.08372868	0.081271626
bp10MB3	0.02224806	0.011633669	0.01894138	0.0043622726	0.064461306	0.0840992	0.047585472
bpchrarm1	0.0	0.0	0.0045310617	0.047108345	0.003262304	1.8856335e-07	0.0
bpchrarm2	0.0	0.0	0.024356972	0.058496553	1.5345894e-15	0.0	0.0009495217
bpchrarm3	0.026065731	0.025643047	0.029480437	0.0030018333	0.0014658431	0.03908937	0.021453202
bpchrarm4	0.0	0.0	0.0	0.0	0.015987644	0.0048111156	0.0045764903
bpchrarm5	0.0	3.095269e-06	0.0	0.0	0.0010592093	0.0	6.8149966e-09
osCN1	0.26657876	0.26237002	0.0808068	0.0	0.13671331	0.006901159	0.09401108
osCN2	0.026471075	0.0023071216	0.03022323	0.0	0.05530298	0.054003622	0.048528414
osCN3	0.0	0.0	0.0	0.0	0.003735056	0.009578531	0.0016926978
