	W1	W2	W3	W4	W5	W6	W7	W8
segsize1	0.0019215872	0.17062885	0.0	0.0041526137	0.0	0.0	0.0	0.0
segsize2	0.0033171407	0.13726164	0.00022941272	0.006130888	1.8042018e-24	0.0	0.0	0.0
segsize3	0.01874325	0.112043835	0.0010820512	0.010472721	0.00945855	0.0	0.0	0.0
segsize4	0.07210589	0.10380082	0.0042231325	0.010887769	0.03309679	0.0	0.0	0.0
segsize5	0.07516624	0.033611003	0.0035153697	0.009626198	0.0380702	0.0	0.0	2.2172666e-10
segsize6	0.078068435	0.0	0.003810483	0.0033768285	0.037301432	0.0	0.0	4.7426216e-32
segsize7	0.08162331	0.0	0.0052186386	2.5162388e-23	0.03506803	0.0	0.0	0.0091423495
segsize8	0.033065513	0.0	0.0010283951	0.011694733	0.02184685	0.0	0.0	0.019793708
segsize9	0.007255723	0.0	0.00014233838	0.008980902	0.013836314	0.0	0.0	0.017459692
segsize10	0.005820617	0.0	0.0	0.020726047	0.01855626	0.0	0.0	0.025536817
segsize11	0.006244251	0.0	0.0006522911	0.025528722	0.015574694	0.0	0.0	0.031354114
segsize12	0.0	0.0	0.0010088526	0.038193315	0.014395288	0.0	0.0	0.04073353
segsize13	0.0	0.0	0.0012775467	0.02529949	0.0106267985	0.0	0.0	0.029364614
segsize14	0.0	0.0	0.0009698433	0.017431838	0.004290823	0.0	0.0	0.018927164
segsize15	0.0	0.0	0.0016456876	0.031699974	0.0036421404	1.34539855e-08	0.0	0.039278235
segsize16	0.0	0.0	0.0014150798	0.017722381	0.00031420955	0.07156265	0.0	0.012952554
segsize17	0.0	0.0	0.0016391492	0.02470307	0.0007464874	0.099290766	1e-45	0.015213923
segsize18	0.0	0.0	0.0	0.019051198	0.0018597563	0.08746609	0.0	0.0070052682
segsize19	0.0	0.0035125613	0.0	0.016837947	1.5541926e-05	0.1100011	0.0	0.0043154154
segsize20	0.0	4e-45	0.0	0.010362578	0.0	0.11418142	0.0	0.0004026991
segsize21	0.0	0.0	0.00039549288	0.014160856	0.0	0.1500337	0.0	0.0017868741
segsize22	0.0	0.0	0.0022763207	0.0	0.0	0.25965723	0.0	0.0
changepoint1	0.0058179987	0.04795266	0.003451176	0.0	0.0	0.107803404	0.0	0.098461635
changepoint2	0.01197441	0.027531935	0.003515178	0.0	0.019483432	0.0	0.0	0.16756074
changepoint3	2.3145294e-15	0.0	0.01285335	0.0	0.2850192	0.0	0.0	0.0
changepoint4	0.071597435	3.3e-43	0.007462488	0.10636464	0.13077828	1e-45	0.0	0.0
changepoint5	0.072462834	0.015043357	0.000266941	0.36591375	0.0	0.0	0.0	0.0
changepoint6	0.014063348	0.0	0.0	0.02271574	0.0	0.0	0.27465758	0.0
changepoint7	0.0039657364	0.0	0.0	0.009705053	0.0	0.0	0.19755071	0.0
changepoint8	0.003248556	0.0	0.0	0.010500886	0.0	3.6973195e-06	0.19197996	0.0
changepoint9	0.0013376747	0.00015676621	8.075085e-06	0.0038496426	5.2846557e-37	0.0	0.1670576	2.1901378e-05
changepoint10	0.00019752303	0.0	3.4226073e-06	0.0010191443	6.389254e-05	1e-45	0.16875413	7.148701e-05
bp10MB1	0.0017069626	0.0	0.5769926	1e-45	0.042524453	0.0	0.0	2.08219e-17
bp10MB2	0.052605238	0.0	0.24200577	0.074318744	0.14287813	0.0	0.0	0.13411903
bp10MB3	0.084327474	0.08159696	0.008649963	0.018300867	0.061491407	0.0	0.0	0.008521979
bpchrarm1	0.0	0.0	0.06600923	0.0	0.0	0.0	0.0	0.0
bpchrarm2	0.0	0.0	0.04237879	0.009601366	0.0016283335	0.0	0.0	0.023113107
bpchrarm3	0.0	0.012509911	0.005235079	0.023378735	0.03361513	0.0	0.0	0.024236875
bpchrarm4	0.022940926	0.027207613	0.0	0.0	0.0	0.0	0.0	0.00041126495
bpchrarm5	0.001876542	0.0016679408	0.0	0.0	0.0	0.0	0.0	0.0
osCN1	0.17814387	0.15023088	0.0006378681	0.011751073	0.0	0.0	0.0	0.22892597
osCN2	0.07944374	0.059917856	0.0	0.015537381	0.019009056	0.0	0.0	0.041289058
osCN3	0.010957762	0.015325469	0.0	2.872228e-06	0.0048084725	0.0	0.0	0.0
