	W1	W2	W3	W4	W5
segsize1	0.0	0.1941291	0.0	0.0021541438	0.0
segsize2	8.69e-43	0.05313293	0.009402028	0.011970629	9.593652e-05
segsize3	0.0024574816	0.014584138	0.01727689	0.02752562	0.00044199557
segsize4	0.0	0.007637515	0.0282371	0.0530178	0.001889706
segsize5	0.003082393	0.007518932	0.013639809	0.04199334	0.0006136245
segsize6	0.008849338	0.005815554	0.012917406	0.038651954	0.00024119683
segsize7	0.019052219	0.008717476	0.020617537	0.031905606	0.00038762376
segsize8	0.016589168	0.012459101	0.023377534	0.016453313	0.00074657134
segsize9	0.012321186	0.011347122	0.009455949	0.0056125587	0.00056671136
segsize10	0.018993666	0.015379623	0.014852331	0.012308848	0.0019667645
segsize11	0.024323642	0.011314845	0.023211006	0.013586663	0.0005933045
segsize12	0.02404994	0.009719382	0.020658532	0.016139913	0.0007644715
segsize13	0.017798379	0.0054728985	0.017835345	0.008961022	0.0007401648
segsize14	0.019907156	0.004343682	0.014852509	0.0	0.0014029718
segsize15	0.022077993	0.0	0.020531718	0.0034368257	0.0037540093
segsize16	0.0058326065	0.0003109108	0.012771581	2.3314641e-19	0.0051087043
segsize17	0.007068582	0.0	0.021653298	0.006126325	0.0054651806
segsize18	0.008605349	0.0	0.018507812	0.0	0.0035201139
segsize19	0.006901991	0.0	0.009664041	0.0	0.0033339262
segsize20	0.0041044126	0.0	0.003993349	0.0	0.00429077
segsize21	0.0019325882	0.0	0.012369558	0.0	0.0073354263
segsize22	0.0	0.0	0.0045922836	0.0	0.012931087
changepoint1	0.05791149	0.0028997993	5.2945375e-31	0.0	0.009507657
changepoint2	0.10481071	0.0	0.0	0.0	0.008638393
changepoint3	0.022707762	0.0	0.0	0.18364802	0.014828146
changepoint4	0.015196912	0.0379787	0.04776221	0.10691259	0.011413269
changepoint5	0.016069837	0.15329279	0.1742223	0.009261757	0.003540662
changepoint6	0.00023759254	0.0856759	0.049402423	0.0	0.0
changepoint7	5.251992e-05	0.012790513	0.044681106	0.0	0.0
changepoint8	0.0002271709	0.014137912	0.033777025	0.0	0.0
changepoint9	0.0	0.008377546	0.020866191	0.0	0.00010251094
changepoint10	0.0	0.0033083674	0.024863299	0.0013496949	0.0
bp10MB1	0.12879707	0.058677446	2.512501e-20	0.0846908	0.5571897
bp10MB2	0.19244139	0.0632623	0.08418937	0.10338957	0.22583602
bp10MB3	0.01767344	0.0679324	0.031617977	0.058663856	0.0045601674
bpchrarm1	0.0	0.0	0.0	0.0	0.066571094
bpchrarm2	0.0450082	0.0	0.013504236	7.743501e-24	0.04030556
bpchrarm3	0.021709155	0.01662104	0.019646913	0.029245064	0.001316517
bpchrarm4	0.0	0.013803781	0.0022240803	0.0053689233	0.0
bpchrarm5	0.0	0.00041606603	0.0	0.0002164485	0.0
osCN1	0.13010293	0.042018652	0.09205528	0.08510994	0.0
osCN2	0.022781147	0.046685893	0.030469099	0.038854532	0.0
osCN3	0.00032466126	0.010237749	0.00030086498	0.0034442344	0.0
