	W1	W2	W3	W4	W5	W6	W7
segsize1	0.0	0.047183868	0.022031145	0.00012541017	0.008765561	0.007286124	0.0
segsize2	0.0	0.04854551	0.025664106	0.0	0.010787652	0.009332924	0.0
segsize3	0.0	0.060893375	0.048946537	0.0	0.011996358	0.03080032	7.708429e-33
segsize4	0.01903091	0.07383996	0.09268266	0.0015501234	0.023573315	0.042288564	0.0
segsize5	0.037517224	0.036901485	0.066346616	0.0022284142	0.026871739	0.00980776	1.0335012e-17
segsize6	0.04392077	0.02410934	0.05256263	0.000112587	0.021545636	1e-45	0.008967748
segsize7	0.051315136	0.013438712	0.030456424	2.211394e-28	0.025685756	0.0	0.019303584
segsize8	0.031595245	0.0044487827	0.009788304	0.0	0.01778521	0.0	0.019480493
segsize9	0.02148588	0.0012112891	0.0	0.0	0.009624798	0.0	0.013969059
segsize10	0.026453432	0.0025828904	0.0033842842	0.0	0.01820659	3.0381897e-30	0.024372796
segsize11	0.021532567	0.00077353016	0.004029697	0.000708942	0.027563777	0.00015901362	0.02597485
segsize12	0.016568592	0.0	0.0	0.0009956623	0.021205112	0.014375488	0.025938882
segsize13	0.008044871	0.0	0.0	0.00073575514	0.012369606	0.019843252	0.021345941
segsize14	0.00458381	0.00055193953	0.0	0.00088813266	0.009150333	0.01956922	0.01095998
segsize15	0.0038813076	0.0	0.0008982713	0.0010821754	0.013852308	0.045874655	0.015754918
segsize16	0.0024904213	0.00030660807	0.0	0.0029808679	0.002947173	0.03292408	0.0061424365
segsize17	0.001219493	0.0015814214	4.1815743e-33	0.004199557	0.00060036767	0.03947113	0.011231195
segsize18	0.00069936184	0.00032722732	0.0	0.0024328718	0.0	0.023267418	0.0066922316
segsize19	0.0	0.0	0.0	0.0027042185	0.0	0.028298607	0.00618705
segsize20	0.0	0.00059093017	0.0	0.0027075678	0.0	0.017352855	0.002396648
segsize21	0.0	0.0012656183	0.0	0.003037612	0.0	0.046122234	0.004323486
segsize22	0.0	0.0018868177	0.0	0.005739038	0.0	0.04099068	0.0
changepoint1	0.00046633216	0.0008333202	0.005238569	0.012762148	0.09577916	0.0	0.0
changepoint2	0.008601369	5.600448e-07	4.4163246e-09	0.0037724364	0.20661944	0.0	0.03070197
changepoint3	0.00023596859	1.5062215e-27	0.21632014	0.0042057876	0.0	0.0	0.124992415
changepoint4	0.050580006	0.0	0.118514344	0.003439337	0.0	0.08871174	0.06834467
changepoint5	0.109482594	0.0035835663	0.03724021	0.0	0.0	0.35158166	6.8851705e-08
changepoint6	0.040324092	0.012761068	0.00014999362	0.0	0.0	0.02693035	0.0
changepoint7	0.024049778	0.020612853	0.0	5.670118e-08	0.0	0.015288072	0.0
changepoint8	0.018977245	0.035188638	0.0	0.00011772923	0.0	0.012156214	0.0
changepoint9	0.009823189	0.049888033	0.0	7.559076e-05	0.0	0.004976456	0.0
changepoint10	0.00050954544	0.20592767	0.0	0.0	0.0	0.0	0.00032005736
bp10MB1	0.057471707	0.037910018	0.027718076	0.5783814	5.6399097e-19	0.0	0.17094645
bp10MB2	0.10428271	0.0	2.7725375e-10	0.24684371	0.105261564	0.0006643413	0.2144705
bp10MB3	0.0450818	0.0312853	0.07223715	0.006402217	0.033980265	0.015182218	0.02305251
bpchrarm1	5.607778e-07	0.0069386507	0.0054887626	0.06347458	0.0	0.0	0.0
bpchrarm2	0.0031831358	0.0	0.0	0.045604575	0.004492807	0.028708925	0.029794069
bpchrarm3	0.009205773	0.0	0.004015899	0.0026914626	0.019794932	0.026262334	0.03315962
bpchrarm4	0.008709142	0.0029077462	0.013271363	0.0	0.002214249	0.0	0.0
bpchrarm5	0.0	0.0047223815	0.0031398446	0.0	0.0	0.0	0.0
osCN1	0.1673288	0.21392505	0.071064144	0.0	0.23276174	0.0	0.059932705
osCN2	0.0503756	0.053075824	0.05805431	0.0	0.03593176	0.00073196343	0.021243641
osCN3	0.0009716417	0.0	0.010756508	0.0	0.00063279545	0.0010414739	0.0
