	W1	W2	W3	W4	W5	W6	W7	W8
segsize1	0.024502505	0.0	0.0	0.0	0.0013370223	0.0	0.16373008	0.0
segsize2	0.024156028	0.0	0.0	0.0	0.0041487673	1.6428163e-16	0.1464525	0.0012674686
segsize3	0.0418906	0.0	0.0	0.0	0.018811138	0.0007559822	0.11874296	1.9871102e-14
segsize4	0.07990669	0.0	0.0	0.0	0.056321632	0.0024467006	0.05067839	0.0
segsize5	0.059859145	8.8885754e-14	0.0	0.0	0.053973727	0.0016064111	0.0	0.0
segsize6	0.047213294	0.006578316	0.0077358657	0.0	0.04888371	1.370348e-39	0.0	0.0051203175
segsize7	0.03348945	7.360727e-13	0.020867469	0.0	0.039971083	0.0019385265	0.0	0.0069509293
segsize8	0.012435327	0.009435099	0.02356926	0.0	0.021521393	1.6702172e-32	0.0	0.015099937
segsize9	0.004185743	0.00603125	0.014739536	0.0	0.012177267	0.0	0.0	0.006115234
segsize10	0.008467062	2.76e-43	0.027090866	0.0	0.01429398	0.0005883277	0.0	0.007404712
segsize11	0.008550547	0.0	0.03031353	0.0	0.012174517	0.0004893675	0.0	0.015989829
segsize12	0.0024027582	3.7211875e-26	0.030553818	0.0	0.006535684	0.0013436251	0.0	0.023082156
segsize13	0.002198683	0.0	0.021610158	0.0	0.0049725473	0.0015032066	0.0	0.01710396
segsize14	0.0	3.0818594e-27	0.014419607	0.01504862	0.0013712704	0.0023871232	0.0	0.012191061
segsize15	0.0	0.00032232233	0.019851085	0.021432528	0.00090148463	0.0035079222	0.0	0.025070915
segsize16	0.0	0.038787358	0.007157241	0.0	0.00065400783	0.0020422621	0.0	0.0347586
segsize17	0.0	0.036322366	0.0132802045	0.0	2.2142317e-09	0.0037195946	0.0	0.03173692
segsize18	0.0	0.033321865	0.0062087327	0.011406299	0.00030844656	0.002505492	0.0012583771	0.025197798
segsize19	0.0	0.050692175	0.0041672634	0.0049251737	1.5546655e-19	0.0012948908	0.0008925228	0.027858188
segsize20	0.0	0.0896177	0.00083796657	0.0	0.0	0.0	0.0	0.028656418
segsize21	0.0011423489	0.07083435	2.226284e-27	0.0	0.0	0.0034833443	0.0	0.034270946
segsize22	0.0	0.24536963	0.0	0.0	0.0	9.2754644e-11	0.0	0.054434393
changepoint1	0.0	0.19935879	0.035503563	0.0	0.0	0.0023926927	0.11976172	0.0
changepoint2	0.0	0.21332453	0.090786986	0.0	0.0	0.0	0.1396084	0.0
changepoint3	0.0	1.4057865e-12	0.02888809	0.0	0.18160637	0.020143883	0.0041771806	0.0
changepoint4	0.011975324	1.3497328e-10	0.017518321	0.0	0.11877854	0.011518227	0.0	0.09791996
changepoint5	0.05901058	9.7769164e-33	0.0	0.0	0.04503708	1.4427081e-15	0.0	0.34610146
changepoint6	0.059298735	0.0	0.0031545719	0.0	0.0	0.0	0.0008925822	0.041131463
changepoint7	0.056934495	0.0	0.0	0.0	0.0	0.0	0.0	0.0066279536
changepoint8	0.05354488	0.0	0.0003655511	0.0	0.0	3.6016863e-05	0.0	0.007404972
changepoint9	0.035680883	8.658814e-39	0.00028914618	0.1582267	0.0	4.2051117e-05	0.0	0.0011295908
changepoint10	0.008909352	2.8522144e-33	0.000102224934	0.78896075	0.0	7.556668e-06	0.0003653112	7.725577e-05
bp10MB1	2.4302274e-31	6.0870754e-23	0.14874774	0.0	0.041516285	0.5763968	0.0	0.0
bp10MB2	0.010860931	1.026542e-28	0.2141142	0.0	0.07025376	0.23895918	0.0	0.047734007
bp10MB3	0.043952897	0.0	0.019575173	0.0	0.070537716	0.0066095437	0.0	0.018615186
bpchrarm1	0.0	1.0771897e-08	0.0	0.0	0.0	0.07079579	0.0	0.0
bpchrarm2	0.0	3.5890974e-24	0.035457343	0.0	6.457141e-26	0.040677443	1e-45	0.02747828
bpchrarm3	0.0008313825	0.0	0.026240064	0.0	0.018485844	0.0028080863	0.0	0.020734921
bpchrarm4	0.0044363025	0.0	0.0	0.0	0.010381152	0.0	0.0	0.0
bpchrarm5	0.0049222293	0.0	0.0	0.0	0.0	0.0	0.0045539434	0.0
osCN1	0.23702343	0.0	0.11714377	0.0	0.08096574	4e-45	0.21208824	0.0
osCN2	0.06121763	0.0	0.0197107	0.0	0.057220485	4.7647105e-25	0.036797836	0.01266803
osCN3	0.0010007041	4.325146e-06	0.0	0.0	0.006859295	0.0	0.0	6.703528e-05
