	W1	W2	W3	W4	W5	W6	W7
segsize1	0.027419006	0.00037372258	0.0007105469	0.009660018	0.003740249	0.0	0.027038882
segsize2	0.046605512	0.00024427372	0.00077222136	0.011878556	0.0027757983	0.0	1e-45
segsize3	0.08304409	0.00026489934	0.0	0.027080406	0.014278073	0.0012416148	0.0
segsize4	0.10219794	0.0021950575	0.0	0.053155426	0.01907496	0.031398267	0.0
segsize5	0.023505926	0.0010772096	2.6708757e-09	0.03723472	0.015547288	0.061275534	0.0
segsize6	1.760159e-21	0.00043883402	0.002530915	0.031431526	0.02571764	0.06739235	0.0
segsize7	0.0	0.000979127	0.008552922	0.027267907	0.027936565	0.061996724	0.0
segsize8	0.0	1.8178405e-05	0.011352808	0.016146503	0.021200666	0.03092344	0.0
segsize9	3.192673e-13	0.00022041373	0.008743397	0.009404301	0.013013761	0.016306957	0.0
segsize10	0.0	5.859167e-25	0.017158894	0.015670527	0.015981046	0.022377517	0.0
segsize11	0.0	0.00038220777	0.021526607	0.017916624	0.019620862	0.020555895	0.0
segsize12	4.5536126e-09	0.0004717742	0.027971188	0.014078499	0.019002924	0.012973153	0.0
segsize13	0.0028552895	0.0008630942	0.019104173	0.009145252	0.010759965	0.0046997988	0.0
segsize14	0.0019875474	0.0008093645	0.013659541	0.005445064	0.0032878856	0.0012135224	0.0
segsize15	2.6902243e-32	0.0027062453	0.019914992	0.008642471	0.011104505	0.0	0.0
segsize16	0.0	0.004361888	0.010847935	0.0028822282	0.0013568468	0.0	1e-45
segsize17	0.0	0.005424668	0.017411841	0.00332754	0.0	0.0	0.0076621645
segsize18	0.0	0.0050509423	0.009017269	0.00073764	0.0	0.0	0.013987758
segsize19	0.0	0.0039766626	0.0066266432	0.0011612086	0.00038374797	0.0	1e-45
segsize20	0.0	0.0042920797	0.0028499225	4.5157092e-05	0.0	0.0	0.011019722
segsize21	0.0	0.008518465	0.0026956229	0.0	0.0	0.0	0.032717653
segsize22	0.0	0.012420048	0.0	0.0	0.0	0.0	0.0
changepoint1	0.007551213	0.016439842	0.0011839861	0.0012271659	0.09422695	0.0	0.0
changepoint2	3e-45	0.007885271	0.0126920175	0.0032836276	0.26620594	0.013365136	0.0
changepoint3	0.13853504	0.011313607	0.07381864	0.0	0.0	0.1629736	0.0
changepoint4	0.091554865	0.006500912	0.056785095	0.034906525	0.0	0.095120214	0.0
changepoint5	0.0264831	0.002445721	0.025511244	0.12826794	0.0	0.016138788	0.0
changepoint6	0.0	0.0	0.0023462588	0.051712345	3.8538407e-36	0.001200457	0.0
changepoint7	0.0	4.3721833e-08	1.554039e-05	0.037502427	0.0	0.0	0.0
changepoint8	0.00010321086	5.966188e-05	0.0004432909	0.03315925	0.0	6.824389e-05	0.0
changepoint9	2.4334786e-05	5.0831142e-05	0.00016910574	0.021993196	0.0	0.00033363112	0.05903768
changepoint10	0.0	6.5475206e-06	0.0	0.009206252	0.00010499963	0.0	0.8475187
bp10MB1	0.13770749	0.5628369	0.23545194	0.03639449	1.6332248e-31	0.031321798	0.0
bp10MB2	0.1089728	0.22083636	0.22556008	0.061069734	0.059003633	0.09231167	0.0
bp10MB3	0.07186325	0.0043666125	0.016015116	0.047660954	0.025860546	0.0657857	0.0
bpchrarm1	0.00152121	0.068183415	0.0043848464	3.853586e-22	0.0005379477	0.0038198803	0.0
bpchrarm2	0.0059359777	0.042624634	0.037893184	0.0019240449	0.0	0.0005759196	0.0
bpchrarm3	0.035727885	0.0013604456	0.029403761	0.01260036	0.012190124	0.007163843	0.0
bpchrarm4	0.00523661	0.0	0.0	0.006099578	0.0015608917	0.015060428	0.0
bpchrarm5	0.0	0.0	0.0	0.0003215834	0.0	0.0011339523	0.0010174813
osCN1	0.033089843	0.0	0.058135252	0.16300268	0.27840415	0.102705896	1.3710589e-38
osCN2	0.04195307	0.0	0.01874319	0.046323862	0.037122093	0.053556222	0.0
osCN3	0.0061247917	0.0	0.0	0.0010323549	0.0	0.0050098863	0.0
