	W1	W2	W3
segsize1	0.0030218118	0.000535816	0.0012063724
segsize2	0.006445563	0.00084502046	0.0009993084
segsize3	0.011311124	0.0024559037	0.0014300471
segsize4	0.018338613	0.006863467	0.0027163387
segsize5	0.025673304	0.0102567775	0.00022929991
segsize6	0.023978677	0.017273996	1.1259051e-32
segsize7	0.021186968	0.026149804	0.0021107425
segsize8	0.019626746	0.024069052	0.00080491713
segsize9	0.01003373	0.01842926	0.00055678526
segsize10	0.016005127	0.025235424	0.00041963859
segsize11	0.02253518	0.025926398	0.00053194055
segsize12	0.024128892	0.026082529	0.0013983591
segsize13	0.026728353	0.019680541	0.0011414726
segsize14	0.016478036	0.011081654	0.0009399375
segsize15	0.017593231	0.01677257	0.005195302
segsize16	0.009218879	0.0038045826	0.006740898
segsize17	0.011824351	0.0072727017	0.006767018
segsize18	0.015730115	0.0016367495	0.005048645
segsize19	0.010589432	0.00065451994	0.0047516907
segsize20	1.2412148e-35	0.0	0.0060380376
segsize21	7.904721e-11	0.0	0.009993372
segsize22	0.0	0.0	0.012515052
changepoint1	0.0	0.044496067	0.009863611
changepoint2	0.0	0.11694702	0.007090155
changepoint3	0.028231783	0.052148677	0.027252596
changepoint4	0.071093276	0.023731777	0.016405135
changepoint5	0.13414173	0.0	0.005971034
changepoint6	0.03689786	0.0	0.00054118165
changepoint7	0.026261749	0.0	0.0005256426
changepoint8	0.02258389	0.0	0.0009548972
changepoint9	0.013634308	0.00045821615	0.00068867195
changepoint10	0.013015231	0.0	0.00019089751
bp10MB1	5.261797e-08	0.0912448	0.5265519
bp10MB2	0.10061176	0.17579938	0.22238003
bp10MB3	0.037035845	0.027249463	0.004971421
bpchrarm1	0.0	0.0	0.06268561
bpchrarm2	0.018122079	0.021807263	0.041486688
bpchrarm3	0.031504747	0.023809748	0.0009054024
bpchrarm4	0.00069697073	0.0018416364	0.0
bpchrarm5	0.0	4.5662323e-06	0.0
osCN1	0.118685074	0.14659208	6.971227e-33
osCN2	0.035918448	0.028732702	8.480178e-36
osCN3	0.0011171057	0.00010987482	0.0
