	W1	W2	W3	W4	W5	W6	W7
segsize1	0.0010176054	0.0	0.00763704	8.923761e-05	0.016598627	0.0	0.0
segsize2	0.003572415	0.0	0.0067160963	1.9959577e-06	0.028796777	0.0	0.00021482488
segsize3	0.0049821166	0.0	0.015621918	0.0	0.08039601	0.000113679125	7.552953e-30
segsize4	0.0069215572	0.009828973	0.045074083	0.0017963182	0.16049013	0.0	1.03356e-40
segsize5	0.009222276	0.03746284	0.032925554	0.0029351502	0.06917368	0.0	0.0
segsize6	0.019711621	0.056610815	0.02212062	0.0026332075	0.012072021	0.0	1.0860173e-09
segsize7	0.027677711	0.05913302	0.018051391	0.0014695287	0.0	0.000696518	0.0028170752
segsize8	0.025955286	0.037097562	0.011603452	0.0016297151	0.0	0.00042178357	0.005966392
segsize9	0.020142559	0.020487068	0.007489957	0.0012942615	0.0	0.0	0.0046595875
segsize10	0.035013415	0.030993443	0.012226581	0.00048508984	0.0	0.0	0.009359144
segsize11	0.03406019	0.02894462	0.01659895	0.0	1.694564e-06	0.0	0.016907267
segsize12	0.01678316	0.020408414	0.017176913	0.0	4.264107e-22	0.00024174777	0.024167238
segsize13	0.015028158	0.0045855306	0.012731897	0.0	8.636139e-34	0.00020417933	0.020482367
segsize14	0.010503149	0.0023183976	0.0076289396	0.0	0.0	0.0	0.01376912
segsize15	0.0063258535	1.6161003e-15	0.011419853	4.60281e-21	0.0030037006	0.0019098616	0.024494732
segsize16	0.0019111369	9.485272e-27	0.005248881	0.0004923343	0.0012161992	0.006145308	0.00921495
segsize17	0.0014474852	0.0	0.007325874	0.0	0.0	0.008074917	0.014576397
segsize18	0.0	0.0	0.0035843302	0.0	0.0	0.0063954075	0.0071602156
segsize19	0.0	0.0	0.0021713616	0.0	0.0	0.006507235	0.0064323153
segsize20	0.0	0.0	0.00046136454	0.0	0.0	0.008734161	0.0018042262
segsize21	0.0	0.0	0.001222669	0.0	0.0	0.013612155	0.0039118608
segsize22	5.748594e-07	5.0962985e-06	0.0	0.0	0.0	0.023807932	0.0
changepoint1	0.09036141	0.0	0.0	0.007515665	0.020556644	0.020735081	1.01758e-13
changepoint2	0.20311199	0.024830637	0.00353688	0.0041498067	0.0	0.0072832145	0.005359319
changepoint3	0.0	0.15185207	0.0	0.009919579	0.13813584	1.0046545e-05	0.09321141
changepoint4	0.0	0.10015175	0.030256882	0.0	0.12901686	0.011356409	0.0583145
changepoint5	0.0	0.014038707	0.12867418	0.0	0.038914066	0.021249518	0.0047169286
changepoint6	0.0	0.00079670886	0.043099422	8.292343e-10	0.0	0.00015069975	0.00043697594
changepoint7	0.0	0.0	0.024315706	1.8036526e-10	0.0	2.6753605e-05	0.0
changepoint8	0.0	0.00064933405	0.022097778	8.806944e-06	0.0	0.00018891475	0.0
changepoint9	0.0	0.0006894104	0.013998479	1.5033989e-05	0.0	5.1413168e-05	2.72e-43
changepoint10	0.0	0.0	0.0137608	1.4308713e-05	0.00023967162	4.7787908e-06	2.9021983e-26
bp10MB1	1.5347453e-24	0.010459773	0.12670302	0.59036666	0.039543375	0.547773	0.29710186
bp10MB2	0.13493563	0.09232846	0.10899461	0.25477728	0.037393246	0.20186989	0.23946026
bp10MB3	0.029952208	0.051697224	0.04072681	0.006220075	0.08602975	0.002557533	0.0105562
bpchrarm1	0.0	0.0018220164	0.004729235	0.06265385	0.0	0.07655789	0.007998214
bpchrarm2	0.0019884128	0.0	0.009051905	0.049265254	0.0	0.033320047	0.04542712
bpchrarm3	0.023392936	0.008452909	0.01871601	0.0022658638	0.032135718	0.0	0.027519446
bpchrarm4	0.00012698755	0.01324008	0.0043984423	0.0	0.008992606	0.0	0.0
bpchrarm5	0.0	0.00025567747	0.00011649229	0.0	0.0	0.0	0.0
osCN1	0.24716319	0.1656051	0.10072312	0.0	0.021076057	0.0	0.031723812
osCN2	0.028686782	0.053775903	0.040192563	0.0	0.06781237	0.0	0.012236193
osCN3	4.2096426e-06	0.0014785449	0.0008699173	8.996597e-07	0.008404903	0.0	0.0
