	W1	W2	W3	W4	W5	W6	W7	W8	W9
segsize1	0.020050533	0.004377216	0.0	0.068016864	0.0	0.015109686	0.002707935	0.0	0.0008327767
segsize2	0.024676573	0.0100472495	0.0	0.06292935	0.0	0.019397205	0.001693197	3.410636e-21	0.0003731621
segsize3	0.05734687	0.029137762	0.0	0.07563807	0.0	0.040080044	0.0007483667	0.025684493	0.0
segsize4	0.11177803	0.042280152	0.024086997	0.08929275	0.0	0.06419376	0.0	0.05493559	0.0
segsize5	0.0748601	1.5819594e-16	0.052134383	0.02915045	0.0	0.015996287	0.0	0.015254705	0.0007008755
segsize6	0.043318797	0.0	0.059789877	0.011603385	0.0	3.2e-44	0.0024561186	0.0	0.0012455954
segsize7	0.013973848	0.0	0.061263904	0.0	0.0	0.0	0.008545693	0.0	0.0025309476
segsize8	0.000666496	0.0	0.035561826	0.0	0.0	0.0	0.013336944	0.0	0.0010135415
segsize9	0.0	0.0036776676	0.019304033	0.0	0.0	0.0	0.010110928	0.0	0.000614078
segsize10	0.0	2.4817025e-14	0.026424902	5.3728434e-25	0.0	0.0	0.019865073	0.0	0.00024844968
segsize11	0.0	1e-45	0.023381548	0.0	0.0	5.6196814e-06	0.026140163	0.0	0.0
segsize12	0.0	6.608412e-20	0.01884576	0.0	0.0	0.003406078	0.029197661	0.0	0.0
segsize13	0.0	1.6900382e-11	0.00945128	0.0	0.0	0.010825346	0.021849556	0.0002371694	0.0001245305
segsize14	0.0	4.5389e-05	0.003503907	0.0	0.0	0.014439383	0.014551034	0.010198144	0.00027512034
segsize15	0.0	0.006638393	1.89e-43	0.0	0.0	0.024514342	0.023052165	0.033172563	0.0010237566
segsize16	0.0	3.967076e-17	0.0	0.0	0.08486323	0.011853203	0.009690083	0.016499242	0.0015890651
segsize17	0.0	0.0	0.0	0.0019963284	0.10279509	0.006247284	0.014666292	0.014096642	0.002143575
segsize18	0.0	0.0	0.0	0.0	0.063652255	0.0	0.0061082137	0.025624847	0.0026610452
segsize19	0.0	0.0	0.0	0.0	0.07368638	0.003751712	0.0054777954	0.009763228	0.0021042842
segsize20	0.0	0.0	0.0	0.0005505325	0.1330698	0.0	0.0014185591	0.0027010527	0.0015459933
segsize21	0.0	0.0	0.0	0.0010681801	0.18569827	0.0	0.0020196598	0.008580557	0.0036034535
segsize22	0.0	0.0	0.0	0.0	0.35582256	0.0	0.0	0.0	0.004021944
changepoint1	0.006377966	0.29494748	2.9117318e-05	0.0	0.0	0.006861692	0.0068979594	0.0	0.007591526
changepoint2	0.0	0.5204587	0.014653884	0.0	0.0	0.0	0.02318629	0.0	0.002004379
changepoint3	0.30808714	0.0	0.017032377	0.0	0.0	0.0	0.0711095	0.0	0.0074990653
changepoint4	0.14907649	0.0	0.04339982	0.0	1.3411171e-11	0.122740194	0.04576864	0.0	0.006444349
changepoint5	0.004001982	0.0	0.065901235	0.0	0.0	0.5461954	0.012038024	0.01590158	2.997998e-07
changepoint6	0.0	0.0	0.018665588	0.0	0.0	0.02788556	0.0	0.23102671	0.0
changepoint7	0.0	0.0	0.0076160976	0.0	0.0	0.0	0.0	0.2301737	0.0
changepoint8	0.0	0.0	0.0073156427	0.016121278	2.24701e-40	0.0038397226	0.0	0.17932314	2.2954351e-05
changepoint9	0.0	0.0	0.004552257	0.04980958	1.0342627e-16	0.0	0.0	0.11049379	4.8314552e-05
changepoint10	0.0	0.0	0.0015116245	0.29833177	0.00041231964	0.0	9.088151e-37	0.008996646	0.0
bp10MB1	3.2428403e-07	0.0	0.035162643	0.0	0.0	0.0	0.19345726	0.0	0.5967267
bp10MB2	0.016482627	0.0	0.09261451	0.0	0.0	0.0	0.23208198	0.0	0.23160833
bp10MB3	0.08034098	0.0	0.056800228	0.026204279	0.0	0.027918357	0.02174945	9.047806e-18	0.0049533704
bpchrarm1	0.0	0.0	0.0018886009	0.0	0.0	0.0	5.4198104e-31	0.0	0.074269615
bpchrarm2	0.0	0.0	0.0	0.0	0.0	0.0	0.03803379	0.0073360694	0.04005332
bpchrarm3	0.019814169	0.0	0.00881349	0.00016143407	0.0	0.01737602	0.032234453	4.911067e-11	0.0012795107
bpchrarm4	0.007468721	5.9604594e-07	0.011977562	0.001220077	0.0	0.0	0.0	3.039359e-08	0.0
bpchrarm5	0.0023487878	0.0	0.0	0.0056487797	0.0	0.0	0.0	0.0	0.0
osCN1	3.7392853e-21	0.088389345	0.21684118	0.20984879	0.0	0.0	0.08696782	0.0	0.0008460254
osCN2	0.049150072	0.0	0.060583495	0.05220087	0.0	0.014634639	0.022839315	7.0757084e-24	0.0
osCN3	0.0101795355	0.0	0.0008922288	0.0002072225	0.0	0.0027284236	0.0	1.3988127e-07	0.0
