	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0021836355	0.0007061671	0.0	0.13143407	0.0	0.0	0.007991521	0.0	0.0021496243	0.0022786749
segsize2	0.007642276	0.00034867195	0.0	0.12601034	0.0	0.0	0.010332617	0.0	0.0	0.002492365
segsize3	0.037863098	0.0	0.017839253	0.1461167	0.0	0.0	0.028407153	0.0	0.0	0.003223027
segsize4	0.09821014	0.0009352682	0.034127608	0.14389288	0.0	0.0	0.06449133	0.0	0.027495718	0.0010048278
segsize5	0.085177206	0.0019458866	0.015951471	0.022330219	0.0	0.0	0.03010916	0.0	0.04975539	0.0
segsize6	0.059822593	0.0025053755	0.0	0.0	0.0	0.0	0.013469003	0.00023482354	0.059281766	0.0013239415
segsize7	0.025907071	0.004111755	0.0	0.0	0.0	0.0	0.0008235947	0.0015352031	0.06348133	0.0078103715
segsize8	0.0063595907	0.0016324081	0.0	0.0	0.0	0.0	0.0	0.00067894964	0.037291	0.012670632
segsize9	0.0010027586	0.0009484593	0.0	0.0	0.002846351	0.0	0.0	0.000524641	0.020984873	0.009834542
segsize10	6.7861404e-25	0.0006593732	0.0	0.0	2.3016377e-34	0.0	0.0	0.00024032293	0.028963087	0.01921592
segsize11	3.75703e-24	1.00328256e-35	0.0	0.0	0.0	0.0	0.00462537	9.596742e-38	0.024418728	0.02541872
segsize12	0.0	0.0	0.0	0.0	0.0	0.0	0.0083215665	0.0	0.019123435	0.028349627
segsize13	0.0	0.0	1e-45	0.0	0.0	0.0	0.011305088	0.00039942394	0.009582051	0.020965835
segsize14	0.0	0.0	0.0082465205	0.0	0.0	0.0	0.013752127	0.0006930536	0.0032932241	0.013994033
segsize15	0.0	0.0	0.029243091	0.0	0.0	0.0	0.017486671	0.0025837237	1.2383702e-17	0.022363655
segsize16	0.0	0.0	0.012274053	0.0	0.0	0.0	0.007551248	0.006485367	0.0	0.00873945
segsize17	0.0	0.0	0.011283017	0.0	0.0	0.0023658918	0.0012248879	0.008226894	0.0	0.013306228
segsize18	0.0	0.00020251783	0.02273149	0.0	0.0	0.0	0.0	0.006714006	0.0	0.0053502237
segsize19	0.0	0.0	0.00871848	0.0	0.0	0.0	3.127365e-11	0.006591246	0.0	0.0047068624
segsize20	0.0	0.0	0.0019377602	0.0	0.0	0.0	1.1715057e-16	0.007669224	0.0	0.0007146488
segsize21	0.0	1.5476086e-05	0.006084663	0.0	0.0	4.983978e-05	0.0	0.012730621	0.0	0.0011598881
segsize22	0.0	0.0	0.0	0.0	8.622701e-07	0.0	0.0	0.018611295	4.866743e-08	0.0
changepoint1	0.004448081	0.0024421683	0.0	0.014165255	0.3356921	0.0	0.0	0.010487087	6.611419e-28	0.009863645
changepoint2	9.308126e-11	1.6776485e-15	0.0	0.0	0.66052014	0.0	0.0	0.0035231283	0.016470488	0.02518766
changepoint3	0.30473015	0.0145592755	0.0	0.0	0.0	0.0	0.0	0.005698288	7.478233e-17	0.07564156
changepoint4	0.16792332	0.0022232588	0.0	0.0	0.0	0.0	0.11592056	0.009708551	0.02652659	0.046487544
changepoint5	0.014786091	0.0	0.0	0.0	0.0	0.0	0.5071239	0.007382814	0.05820253	0.005877918
changepoint6	0.0	0.0	0.23088199	0.0	0.0	0.0	0.045205824	0.0	0.019881714	0.0
changepoint7	0.0	0.0	0.24683878	0.0	0.0	0.0	0.006455267	0.0	0.008862769	0.0
changepoint8	0.0	0.0	0.20248573	0.00040677856	0.0	0.021264106	0.00746317	4.8852406e-05	0.008776463	7.495001e-38
changepoint9	6.9296526e-05	0.0	0.13343592	2.5515698e-13	0.0	0.114697196	8.221526e-39	9.4445204e-05	0.005805043	0.0
changepoint10	0.0	0.0	0.017920246	3.9180502e-08	0.0	0.8484743	3.21e-43	8.798961e-06	0.0019899425	0.0
bp10MB1	3.9228908e-06	0.59874386	0.0	0.0	0.0	0.0	0.0	0.56085724	0.027937677	0.20756069
bp10MB2	0.020219428	0.24112207	0.0	0.0	0.0	0.0	1.7826963e-32	0.21492931	0.09045651	0.23379077
bp10MB3	0.08099387	0.008405357	0.0	0.04956211	0.0	0.0	0.04373666	0.0030202416	0.05335381	0.021295559
bpchrarm1	0.0	0.07674423	0.0	0.0	0.0	0.0	0.0	0.06922029	0.0021256455	0.0015662822
bpchrarm2	0.0	0.036582403	0.0	0.0	0.0	0.0	0.0	0.03984298	0.0	0.037094522
bpchrarm3	0.012755826	0.0051659825	2.2e-44	0.0035487222	0.0	0.0	0.028592158	4.578621e-05	0.0075196344	0.031398173
bpchrarm4	0.010185046	0.0	0.0	0.0013004948	0.0	0.0	0.0	0.0	0.011952369	0.0
bpchrarm5	0.0025894109	0.0	0.0	0.00011972423	0.0	0.01314871	0.0	0.0	0.0	0.0
osCN1	0.0	7.170617e-18	0.0	0.27678445	0.0	0.0	0.0	0.0012134736	0.25172824	0.07834701
osCN2	0.04650218	0.0	0.0	0.08376563	0.0	0.0	0.021395486	0.0	0.06259029	0.020965092
osCN3	0.010625085	0.0	0.0	0.0005625886	0.00094067	0.0	0.0042156857	0.0	0.0	0.0
