	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0060091834	0.0	0.0011580444	0.1628382	0.0	0.0	0.0	0.0	0.0	1.0795579e-31
segsize2	0.0051122024	6.8619915e-29	0.0016565603	0.15202384	0.0	0.0	0.0	0.0	0.0	0.0039075636
segsize3	0.01170426	0.014381322	0.0014164458	0.16468816	0.0	0.0	0.0	0.011386861	0.0	0.02908533
segsize4	0.038030915	0.04576204	2.9349543e-32	0.1371011	0.0	0.0	0.011407942	0.03877635	0.0	0.09152818
segsize5	0.052915722	0.022390565	4.4027986e-22	0.0063874037	2.2302105e-32	0.000113982496	0.0	0.017109547	0.0	0.083439946
segsize6	0.057996985	0.0054282937	0.002448914	0.0	0.0	0.0007534142	0.0	0.0	0.0	0.056430764
segsize7	0.05829919	3.69e-43	0.009840684	0.0	0.0	0.0021712747	0.0	0.0	0.0	0.025271297
segsize8	0.033621646	0.0	0.0144929215	0.0	0.0	0.0008926582	0.0	0.0	0.0	0.006244293
segsize9	0.018675806	0.0	0.0111482795	0.0	0.0	0.0006599434	3.954055e-10	0.0	0.0	0.0012421929
segsize10	0.0254489	1.5188709e-28	0.021213762	0.0	0.0	0.00030189307	1.934875e-30	0.0	0.0	0.000746867
segsize11	0.021765867	0.0032531456	0.027466947	0.0	0.0	3.1175334e-38	8.7e-44	0.0	0.0	0.00046073346
segsize12	0.017343918	0.0064084413	0.030382583	0.0	0.0	0.0	9.9966776e-23	0.0	0.0	9.9703405e-12
segsize13	0.008764284	0.011257248	0.022136869	0.0	0.0	0.0003121733	0.0	7.7498036e-10	0.0	0.0
segsize14	0.0030842405	0.015471076	0.014523792	0.0	0.0	0.000403543	2.15352e-16	0.010097794	0.0	1.9434507e-05
segsize15	0.0	0.024636092	0.023067113	0.0	0.0	0.0013734697	4.0090578e-07	0.03181112	0.0	3.0276268e-21
segsize16	0.0	0.01172324	0.009356661	0.0	0.0	0.0017316447	0.0	0.016164975	0.08607007	0.0
segsize17	0.0	0.0072256327	0.014045794	0.0	0.0022851252	0.0023923537	0.0	0.014544713	0.10293047	0.0
segsize18	0.0	4.3776075e-05	0.0058599445	0.0	0.0	0.002704326	0.0	0.027156249	0.06642475	0.0
segsize19	0.0	0.0034414607	0.0051519005	0.0	0.0	0.0021877226	0.0	0.010534248	0.07589177	0.0
segsize20	0.0	0.00011544306	0.0012436594	0.0	6.636384e-31	0.0016017488	0.0	0.0033894877	0.13239262	0.0
segsize21	0.0	1.82e-43	0.0017357128	0.0	1.1847658e-16	0.0036825552	0.0	0.010587736	0.18535836	0.0
segsize22	0.0	0.0	0.0	0.0	0.0	0.003989713	0.0	0.0	0.35093197	0.0
changepoint1	0.0003285976	0.002896393	0.007793088	0.010940903	0.0	0.007295425	0.35472587	0.0	0.0	0.0024383583
changepoint2	0.013826697	0.0	0.024983363	0.0	0.0	0.0015348038	0.6268795	0.0	0.0	1.9792424e-18
changepoint3	1.1761601e-05	0.0	0.0730214	0.0	0.0	0.0073228288	0.0	0.0	0.0	0.32004464
changepoint4	0.028476754	0.1490542	0.045956712	0.0	0.0	0.005525998	0.0	0.0	2.0891291e-35	0.16689649
changepoint5	0.05980231	0.5772834	0.009293306	0.0	0.0	7.204e-42	0.0	0.0	0.0	0.017386299
changepoint6	0.020610401	0.03842213	5.986678e-12	0.0	0.0	0.0	0.0	0.22992517	0.0	0.0
changepoint7	0.009230619	0.0021129162	0.0	0.0	0.0	0.0	0.0	0.24159686	0.0	0.0
changepoint8	0.009157723	0.0055796267	2.6487616e-05	0.00013315663	0.021891529	1.9644596e-05	0.0	0.19453104	0.0	0.0
changepoint9	0.0059313704	2.7564425e-08	8.043862e-30	0.0	0.11785879	6.862866e-05	0.0	0.12514357	0.0	7.4011744e-23
changepoint10	0.0019494006	2.283692e-39	4.429754e-19	4.3122873e-05	0.85137016	4.9339396e-06	0.0	0.017244266	0.0	0.0
bp10MB1	0.028151374	1.7377881e-32	0.18678117	0.0	0.0	0.59821546	0.0	0.0	0.0	0.0013087861
bp10MB2	0.07817938	8.726583e-14	0.23226081	0.0	0.0	0.23304409	0.0	0.0	0.0	0.033850648
bp10MB3	0.05552988	0.02659742	0.022401638	0.050394453	0.0	0.0044959546	0.0	0.0	0.0	0.08035647
bpchrarm1	0.0012723922	0.0	0.0	0.0	0.0	0.07367604	0.0069862707	0.0	0.0	0.0
bpchrarm2	0.0	6.2003103e-34	0.03634492	0.0	0.0	0.04088412	0.0	1.6863539e-36	0.0	0.0
bpchrarm3	0.0061718766	0.017370326	0.03274664	0.0123921605	0.0	0.0013527285	0.0	2.7865263e-27	0.0	0.018888265
bpchrarm4	0.011988995	3.345089e-08	0.0	0.0003663711	0.0	0.0	0.0	0.0	0.0	0.008921289
bpchrarm5	0.0013662537	0.0	0.0	0.0016912011	0.006594506	0.0	0.0	0.0	0.0	0.0
osCN1	0.24341373	0.0	0.08705385	0.21829475	0.0	0.0012869429	4.6474508e-26	0.0	0.0	0.0
osCN2	0.06516585	0.0062487475	0.022990098	0.08198141	0.0	0.0	0.0	0.0	0.0	0.041599385
osCN3	0.0006615579	0.002897077	0.0	0.00072381634	0.0	0.0	0.0	0.0	0.0	0.0099327965
