	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0067992616	0.0	0.0	6.51716e-09	0.0	0.00024084191	0.0	0.0	0.16555217
segsize2	2.7652678e-21	0.0054366942	0.0046814503	0.0	0.0010220632	0.0	0.00029623762	0.0	0.0	0.15036009
segsize3	0.022840362	0.010205255	0.032858606	6.9598776e-13	0.00123404	0.0	0.0	0.0	0.012006916	0.15925007
segsize4	0.06559321	0.03174017	0.1010476	0.020506294	0.0	0.0	0.0	0.0	0.043662675	0.13033116
segsize5	0.030775493	0.048939817	0.0883841	5.129138e-32	0.0	0.0	0.0019355782	0.0	0.01700317	0.0
segsize6	7.2948695e-21	0.05725819	0.061010912	0.0	0.0	0.0	0.0022037937	0.00076169963	3.5454725e-08	0.0
segsize7	0.0	0.058157653	0.026559377	0.0	0.0072731148	0.0	0.0041655772	0.001387401	0.0	0.0
segsize8	0.0	0.03406846	0.0062436177	0.0	0.012551805	0.0	0.0017572265	0.00051493634	0.0	0.0
segsize9	0.0	0.0191656	0.0009923967	0.0	0.009893839	0.0	0.0010646345	0.00044757657	0.0	0.0
segsize10	0.0	0.026318986	1e-45	0.0	0.019313246	0.0	0.00077561726	4.0098916e-05	0.0	0.0
segsize11	0.0	0.022817217	0.0	0.0	0.025671596	0.0	0.0	0.0	1e-45	0.0
segsize12	0.0	0.0183686	0.0	0.0	0.028980386	0.0	0.0	0.0	0.0	0.0
segsize13	1.8601839e-06	0.00921853	0.0	0.0	0.021515364	0.0	0.0	0.00020776046	0.010476206	0.0
segsize14	0.010471463	0.0032338786	0.0	0.0	0.014385834	0.0	0.0	0.000529227	0.013993773	0.0
segsize15	0.03164158	0.0	0.0	9.718029e-07	0.022970848	0.0	0.0	0.0024067801	0.017383063	0.0
segsize16	0.013719832	0.0	0.0	0.0	0.008971153	0.0	0.0	0.006406655	0.0076991036	0.0
segsize17	0.011868199	0.0	5.2888476e-09	0.0	0.013483483	0.0022024694	0.0	0.008208587	0.0	0.0
segsize18	0.019946894	0.0	0.0	0.0	0.0053874464	0.0	0.00014838413	0.0067387405	0.0	0.0
segsize19	0.008111794	0.0	0.0	0.0	0.0047047776	0.0	0.0	0.0066072545	0.0	0.0
segsize20	0.0018976942	0.0	0.0	0.0	0.00070290256	0.0	0.0	0.0076994374	0.0	0.0
segsize21	0.005479175	0.0	0.0	0.0	0.001161464	0.0	0.0	0.012780359	0.0	0.0
segsize22	0.0	1.2112798e-07	0.0	0.0	0.0	0.0	0.0	0.01869164	0.0	0.0
changepoint1	0.0	4.469038e-25	0.004560034	0.3459023	0.008068277	0.0	0.0023884359	0.009261922	0.0	0.015644567
changepoint2	0.0	0.014752652	0.0	0.63358825	0.023198102	0.0	9.033524e-10	0.002251904	0.0	0.0
changepoint3	0.0	1.459675e-39	0.3081066	0.0	0.078600034	0.0	0.01377648	0.0051371283	0.0	0.0
changepoint4	0.0	0.029616242	0.16800277	0.0	0.04922595	0.0	0.0016165714	0.008702335	0.12773332	0.0
changepoint5	0.021858219	0.06238128	0.013468636	0.0	0.010500521	0.0	0.0	0.0019863779	0.65018314	0.0
changepoint6	0.21494097	0.019509396	0.0	0.0	3.3755478e-07	0.0	0.0	0.0	0.03799874	0.0
changepoint7	0.21956185	0.008280838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
changepoint8	0.18404536	0.008789984	0.0	0.0	0.0	0.0	0.0	0.00016436455	0.0	0.0019338717
changepoint9	0.117606156	0.005089111	9.217314e-05	0.0	0.0	0.113171674	0.0	6.184913e-05	0.0	0.0
changepoint10	0.018332163	0.0017585781	0.0	0.0	0.0	0.8708889	0.0	3.4414072e-06	0.0	0.0
bp10MB1	3e-45	0.027335301	4.4534037e-05	0.0	0.20980228	0.0	0.59888667	0.568693	0.0	0.0
bp10MB2	0.0	0.08287009	0.02302851	0.0	0.23619059	0.0	0.24141993	0.21664171	0.0	0.0
bp10MB3	1.4587752e-06	0.05533008	0.08010787	0.0	0.021318005	0.0	0.008337335	0.003137072	0.03148865	0.045614425
bpchrarm1	0.0	0.0019943826	0.0	0.0	0.001847894	0.0	0.076484494	0.070269555	0.0	0.0
bpchrarm2	2.7337e-41	0.0	0.0	0.0	0.037568945	0.0	0.036757596	0.04026119	0.0	0.0
bpchrarm3	0.0007061656	0.008477692	0.012314958	0.0	0.03217956	0.0	0.0051797275	0.0	0.026867539	0.0039125155
bpchrarm4	3.4536544e-08	0.010929166	0.010228443	0.0	0.0	0.0	0.0	0.0	0.0	0.0003523512
bpchrarm5	6.095962e-08	0.0	0.002670989	0.0	0.0	0.013736966	0.0	0.0	0.0	0.0
osCN1	0.0	0.24602248	0.0	3.740753e-34	0.07212217	0.0	0.0025649455	0.0	0.0	0.2402878
osCN2	4.577567e-19	0.06465154	0.044911012	0.0	0.020153956	0.0	0.0	0.0	0.0	0.08640208
osCN3	0.00059997034	0.00048277472	0.010685393	2.163986e-06	0.0	0.0	0.0	0.0	0.0035035978	0.00035887293
