	W1	W2	W3	W4	W5	W6	W7	W8
segsize1	0.0	0.0013794281	0.013907365	0.0006747944	0.0	0.0	0.06599149	0.0045481836
segsize2	0.0	0.0011213731	0.01743515	0.0009424977	0.0	0.0	0.0613494	0.0040700063
segsize3	0.003981698	4.2691165e-05	0.042134248	0.0045105987	0.02501322	0.019462261	0.073828466	0.004827187
segsize4	0.02146158	6.9701775e-05	0.09331492	0.031686444	0.03197129	0.030442202	0.08491806	0.0015779497
segsize5	0.02193859	0.0003220172	0.07579932	0.044004813	0.0	2.304495e-25	0.032059327	0.0
segsize6	0.028875731	0.000149715	0.05855323	0.045633383	0.0	0.0	0.016445227	0.0
segsize7	0.039465614	0.0013196567	0.03382014	0.04971163	0.0	0.0	0.0	0.0036937855
segsize8	0.029560903	0.0003918178	0.011558936	0.029368393	0.0	0.0	0.0	0.009723569
segsize9	0.020863464	0.00036086483	0.0038070853	0.016638547	0.0	0.0	0.0	0.007742229
segsize10	0.02987401	2.40928e-40	0.003707668	0.023145648	0.0	0.0	0.0002853989	0.016234532
segsize11	0.025218481	0.0	0.0020147518	0.021327395	0.0	0.0	0.0	0.023089128
segsize12	0.023512272	0.0	1.327856e-05	0.018224122	0.0	0.0	0.0	0.02671746
segsize13	0.011219969	0.00033159863	0.0	0.010703855	0.0048072278	0.0	0.0	0.020420723
segsize14	0.0036667767	0.0003209769	0.0	0.005294999	0.01297421	0.010655373	0.0	0.014283946
segsize15	0.003641243	0.00096943346	0.0	0.002756016	0.03019439	0.03892034	0.0	0.02335484
segsize16	0.0009592856	0.0025662694	0.0	0.0005096585	0.042215645	0.037179843	0.0	0.009077323
segsize17	0.00010721813	0.0031416533	0.0	0.0	0.050611727	0.041593257	0.0007843373	0.013731869
segsize18	0.0	0.0030627407	0.0	0.0	0.029162724	0.047310434	0.0	0.005642676
segsize19	0.0	0.0028317773	0.0	0.0	0.03388228	0.026957806	0.0	0.0047854655
segsize20	0.0	0.0034216142	0.0	0.0	0.036986828	0.017130446	0.0	0.000590378
segsize21	0.0	0.0059187775	0.0	0.0	0.05464271	0.031975593	4.9235863e-12	0.0011422385
segsize22	0.0	0.0109252455	0.0	0.0	0.05666227	0.0	0.0	0.0
changepoint1	0.11752264	0.010048556	0.0	0.0	0.0034939	0.0	0.0	0.0051434
changepoint2	0.24393451	0.005333368	4.0227033e-33	0.0046617747	0.0	0.0	0.0	0.016616458
changepoint3	0.0	0.0080220215	0.23904307	0.0	0.0	0.0	0.0	0.086371996
changepoint4	0.0	0.0055832	0.1230761	0.046770956	0.119175814	0.0	0.0	0.053102966
changepoint5	0.0	0.0	0.003333095	0.12617104	0.44531947	0.0	0.0	0.013202571
changepoint6	0.0	0.0	0.0	0.038049642	0.007807634	0.19428158	0.0	0.0
changepoint7	0.0	2.6550866e-09	0.0	0.01898542	0.0	0.22315222	0.0	0.0
changepoint8	0.0	4.8205937e-05	0.0	0.017330952	0.0013959358	0.16016062	0.019579738	0.0
changepoint9	0.0	4.9820766e-05	6.070697e-13	0.009919085	1.8020426e-36	0.09594397	0.054739386	0.0
changepoint10	0.0	1.9519484e-05	0.0	0.0022226821	0.0	0.004714135	0.28659368	4.138734e-05
bp10MB1	0.0	0.5853838	0.016153185	0.04286535	0.0	0.0	0.0	0.21936736
bp10MB2	0.064386085	0.22768757	0.042078894	0.08149701	0.0	0.0	0.0	0.23666807
bp10MB3	0.031787105	0.0048688566	0.07931144	0.049779844	0.0	0.0	0.025890613	0.020211523
bpchrarm1	4.4243347e-07	0.07306286	1.727833e-09	0.0035708146	0.0	0.0	0.0	0.0021735204
bpchrarm2	0.0	0.03914423	0.0	0.0	0.013432355	0.020119913	0.0	0.039928414
bpchrarm3	0.0038704574	0.0021006013	0.012276249	0.0118470285	0.0	0.0	0.0	0.033193745
bpchrarm4	0.003841632	0.0	0.011058152	0.008482445	0.0	0.0	0.0014784317	0.0
bpchrarm5	0.0	0.0	0.0019501973	0.0	0.0	0.0	0.0049669743	0.0
osCN1	0.24162443	0.0	0.0521484	0.17751817	0.0	0.0	0.22098783	0.058824565
osCN2	0.028578034	0.0	0.05506167	0.05404642	0.0	0.0	0.05005086	0.019900454
osCN3	0.000107768254	0.0	0.008443417	0.0011487167	0.0002504028	0.0	5.0797753e-05	3.503525e-33
