	W1	W2	W3	W4	W5	W6	W7	W8	W9
segsize1	0.0	0.0075915377	0.0	0.0	0.06467766	0.0	0.0012302373	0.0037690885	0.010294014
segsize2	0.0	0.010112699	0.0	0.0	0.05925632	0.0	0.00092578074	0.00314503	0.012882217
segsize3	0.021170521	0.03521319	3.1278784e-22	0.0	0.07426151	0.0	0.0	0.0032859216	0.031610627
segsize4	0.073479414	0.08092432	0.05827092	0.0	0.093929745	1.9756092e-07	0.0	4.0301293e-06	0.07900958
segsize5	0.0	0.02981977	0.025668904	0.0	0.03654157	0.04036939	2.0378861e-23	7.795932e-39	0.06619368
segsize6	0.0	0.012920256	1e-45	0.0	0.018791633	0.05564184	0.0005269422	7.7471863e-31	0.052085787
segsize7	0.0	8.375896e-20	0.0	0.0	2.276592e-05	0.069775864	0.002152747	0.0032811635	0.03463901
segsize8	0.0	0.0	0.0	0.0	0.0	0.043900855	0.0007624392	0.009632832	0.01470872
segsize9	0.0	0.0	0.0	0.0	0.0	0.025748514	0.0005798068	0.007956749	0.006760034
segsize10	0.0	0.0	0.0	0.0	3.999343e-25	0.036201593	0.00016442894	0.016561227	0.00875826
segsize11	0.0	1.7341328e-25	0.0	0.0	0.0	0.033524767	0.0	0.022987636	0.007191144
segsize12	0.0	0.0010783395	0.0	0.0	0.0	0.027706958	0.0	0.026973803	0.005732803
segsize13	0.0	0.009054661	0.0	0.0	0.0	0.014455084	0.0	0.021141438	0.0021974235
segsize14	0.0	0.012481276	0.0059972606	0.0	0.0	0.0051821438	0.00026723728	0.01458591	0.0012808392
segsize15	0.0	0.019958474	0.024384078	0.0	0.0	0.0015153174	0.0011007212	0.02462119	0.0
segsize16	7.287273e-07	0.010836877	0.01201694	0.084097125	1.0712283e-05	7.62514e-35	0.0015675282	0.010485019	0.0
segsize17	0.0	0.0071923877	0.007365704	0.09908482	0.0029020943	0.0	0.002118952	0.015768828	0.0
segsize18	0.0	0.00044732477	0.02278564	0.064164884	6.0353377e-13	0.0	0.002571135	0.006962361	0.0
segsize19	0.0	0.0033252067	0.0049738768	0.07336203	0.00035529895	0.0	0.0020401666	0.0062927958	0.0
segsize20	0.0	1.1218047e-21	0.0	0.13282736	0.0011629668	0.0	0.0015117115	0.0018160697	0.0
segsize21	0.0	0.0	0.0048283706	0.18655312	0.0017795446	0.0	0.0035407327	0.0026178132	0.0
segsize22	0.0	0.0	0.0	0.35991052	0.0	0.0	0.0040301965	0.0	0.0
changepoint1	0.3146313	0.0	0.0	0.0	4.3329526e-31	4.6317363e-19	0.008667392	0.009168966	0.0035886609
changepoint2	0.59071803	0.0	0.0	0.0	0.0	0.019350996	0.0026656357	0.02289898	0.005532902
changepoint3	0.0	0.0	0.0	0.0	0.0	0.0	0.008483232	0.07774026	0.18368046
changepoint4	0.0	0.12119381	0.0	0.0	0.0	0.023549823	0.0064366586	0.04800633	0.109208785
changepoint5	0.0	0.50605553	0.0	0.0	2.1e-44	0.045314353	0.0	0.006246696	0.03472578
changepoint6	0.0	0.03849107	0.24283017	0.0	0.0	0.021522904	0.0	0.0	0.0012105141
changepoint7	0.0	0.0065424023	0.25224203	0.0	0.0025036554	0.00830722	0.0	0.0	3.6627387e-06
changepoint8	0.0	0.008227134	0.20158747	0.0	0.01630926	0.0075212945	0.0	3.0302259e-15	0.00033165654
changepoint9	0.0	0.0015279972	0.13088533	1e-45	0.04727392	0.004304966	1.4504301e-05	0.0	0.00031967324
changepoint10	0.0	0.0005296587	0.006163311	0.0	0.2861943	0.0018037896	5.014888e-32	0.0	0.00026461127
bp10MB1	0.0	1.3e-44	0.0	0.0	0.0	0.0050137495	0.5969959	0.21738087	0.026317576
bp10MB2	0.0	9.812768e-28	0.0	0.0	0.0	0.09560875	0.22967625	0.23818927	0.060006134
bp10MB3	0.0	0.037461072	0.0	0.0	0.030000532	0.052647337	0.0045835744	0.019294437	0.07147555
bpchrarm1	0.0	0.0	0.0	0.0	0.0	0.0	0.07557512	4.368691e-17	1.7126734e-08
bpchrarm2	0.0	3.874538e-39	8.637428e-13	0.0	2.1352566e-22	0.0	0.039565224	0.041763954	0.0
bpchrarm3	0.0	0.013721096	0.0	0.0	1e-45	0.010726347	0.0013814876	0.032183833	0.014831746
bpchrarm4	0.0	1.532994e-09	2.3625085e-38	1.7006143e-07	0.0021422324	0.011122494	0.0	0.0	0.00940989
bpchrarm5	0.0	0.0	0.0	0.0	0.0049346196	0.0	0.0	0.0	0.0013831212
osCN1	0.0	0.0	0.0	0.0	0.20233423	0.27729234	0.0008642793	0.06684775	0.08330511
osCN2	0.0	0.022230184	0.0	0.0	0.054353837	0.061891127	0.0	0.018389774	0.054584127
osCN3	0.0	0.0030637968	0.0	0.0	0.00026159425	0.0	0.0	0.0	0.006475919
