	W1	W2	W3	W4	W5	W6	W7
segsize1	0.0	0.003257342	0.010304408	0.072780505	0.0012436595	0.0	0.017264886
segsize2	7.96601e-11	0.0028304989	0.012694694	0.06705524	0.0010009459	0.0	0.018999832
segsize3	0.0027677852	0.0036782413	0.029293036	0.08236179	0.0006339493	0.0048663346	0.04183068
segsize4	0.016346809	1.9399176e-15	0.06947195	0.086410776	0.0006132276	0.03736786	0.052062646
segsize5	0.015289989	0.0	0.061556663	0.024202006	0.00018706016	0.049789023	2.5420168e-06
segsize6	0.023470484	0.0	0.05066	0.00912667	3.2641378e-08	0.050036725	0.0
segsize7	0.039556045	0.0027803965	0.03646337	0.0	0.00084493763	0.051080428	0.0
segsize8	0.030754006	0.009743645	0.01670903	0.0	0.00018904716	0.028479248	0.0
segsize9	0.022252535	0.008100519	0.007968979	0.0	0.0002579937	0.0150160715	0.0
segsize10	0.033141736	0.016626883	0.009953707	6.70184e-40	0.0	0.020909056	0.0
segsize11	0.028160403	0.024357393	0.008175416	0.0	0.0	0.01890245	0.0
segsize12	0.026822582	0.027855625	0.006374243	0.0	0.0	0.015985748	0.0
segsize13	0.014857329	0.021574566	0.001622885	0.0	0.00033438814	0.010009818	0.009386486
segsize14	0.00535235	0.014908898	0.00087880495	0.0	0.00058920326	0.0056975707	0.014491864
segsize15	0.00454718	0.024724156	0.0	0.0	0.0020021228	0.0059613106	0.02020164
segsize16	0.00044718265	0.009857776	0.0	0.0	0.0041639744	0.0025337553	0.019520013
segsize17	4.5832494e-23	0.015303653	0.0	0.0023302569	0.005115666	0.0013766845	0.01852336
segsize18	0.0	0.0065114195	0.0	5.9532176e-05	0.004628192	0.0026226726	0.004952801
segsize19	0.0	0.0060346304	0.0	0.0009880245	0.0041370667	0.0	0.011423231
segsize20	0.0	0.00085131597	0.0	0.0004272861	0.0050576217	0.0	0.007743854
segsize21	0.0	0.0017827442	0.0	0.0030940743	0.008450376	0.0	0.0077452324
segsize22	0.0	0.0	0.0	0.0	0.013079362	0.0	0.0
changepoint1	0.113744274	0.0028438363	0.0	0.0	0.010953039	0.0	0.0
changepoint2	0.24269456	0.014514875	4.601218e-05	2.7e-44	0.0070713037	0.0011298253	0.0
changepoint3	0.0	0.07945549	0.17166129	0.0	0.011067161	0.0	0.0
changepoint4	0.0	0.054326676	0.10569606	0.0	0.007812097	0.029703686	0.1221026
changepoint5	0.0	0.013662032	0.026673425	0.0	0.0	0.104862735	0.60106236
changepoint6	0.0	0.0012520995	4.134861e-26	0.0	2.1510533e-07	0.067045525	0.014802959
changepoint7	0.0	0.0	0.0	0.0009590932	8.52163e-05	0.0486869	0.0
changepoint8	0.0	0.0	0.0	0.01624722	0.00027212763	0.040498514	0.0
changepoint9	0.0	0.0	0.0	0.05326655	0.00010756224	0.024544995	0.0
changepoint10	0.0	1.0968752e-28	0.0	0.30868083	1.4510526e-05	0.0050395	0.0
bp10MB1	0.0	0.21782342	0.052975208	0.0	0.5701218	0.0007557441	0.0
bp10MB2	0.07429609	0.24330217	0.07653441	0.0	0.22279784	0.04678552	0.0
bp10MB3	0.028613027	0.019398116	0.069937654	0.02084005	0.004534565	0.050297905	0.010898007
bpchrarm1	0.0	0.0	0.0038212682	0.0	0.07097427	9.071192e-26	0.0
bpchrarm2	0.0	0.04111194	0.0007020773	0.0	0.039400462	2.4079034e-09	0.0
bpchrarm3	0.005400281	0.03436242	0.014327651	0.0	0.0022589637	0.008611359	0.0039480086
bpchrarm4	0.0032439942	0.0	0.010682713	0.0012202441	0.0	0.0075492645	0.0
bpchrarm5	0.0	0.0	0.0013141239	0.0055162874	0.0	0.0	0.0
osCN1	0.24123128	0.056908734	0.082433455	0.19713609	0.0	0.19015943	0.0
osCN2	0.027009983	0.020258524	0.054988753	0.047297556	0.0	0.05304874	0.0
osCN3	0.0	0.0	0.006078674	0.0	0.0	0.0006456266	0.0030370306
