	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.006165201	0.00063273846	0.15956724	0.0	0.0	0.0	0.0	0.0
segsize2	0.0	0.004080585	0.0051506856	0.001348392	0.14775054	0.0	0.0	0.0	0.0	0.0
segsize3	0.0	0.029000783	0.012232439	0.0013951628	0.16334392	0.0	1.4463345e-28	0.015212781	0.0	0.0
segsize4	0.0	0.093016975	0.03769677	2.096753e-34	0.13812344	0.012151427	0.028058546	0.04588417	1.7065551e-26	0.0
segsize5	0.0	0.0844886	0.05258984	2.3072828e-38	0.010368427	0.0	8.1306054e-21	0.020674983	0.0003060078	1.3913154e-24
segsize6	0.0	0.058859512	0.056529105	0.0019141895	0.0	0.0	0.0	1.2145422e-19	0.0009506651	0.0
segsize7	0.0	0.027711563	0.056816034	0.008634645	0.0	0.0	0.0	0.0	0.0021956582	0.0
segsize8	0.0	0.0070561725	0.033208802	0.013705671	0.0	0.0	0.0	0.0	0.0008644286	0.0
segsize9	0.0	0.0015405877	0.018510712	0.010644772	0.0	0.001721033	0.0	0.0	0.00060960854	0.0
segsize10	0.0	5.934115e-09	0.025780031	0.020624585	0.0	1.7556099e-21	0.0	5.8239174e-30	0.00026456694	0.0
segsize11	0.0	1.463393e-39	0.022262057	0.026826983	0.0	0.0	0.0	0.0025782222	0.0	0.0
segsize12	0.0	0.0	0.017744489	0.029765442	0.0	0.0	0.0	0.0060347803	0.0	0.0
segsize13	0.0	0.0	0.008841289	0.022045733	0.0	0.0	4.24568e-05	0.013392799	8.152326e-05	0.0
segsize14	0.0003502739	2.322993e-31	0.0029562379	0.014815032	0.0	0.0	0.011828805	0.018786075	0.0	0.0
segsize15	1.6965582e-24	0.0	3.4952733e-20	0.023313325	0.0	3.7706493e-05	0.034598727	0.026705613	0.0011927317	0.0
segsize16	0.08888758	0.0	0.0	0.00954502	0.0	0.0	0.015862765	0.012087856	0.0016414789	0.0
segsize17	0.110150546	0.0	0.0	0.014581954	0.0	0.0	0.0	0.010344742	0.0022458746	0.007823609
segsize18	0.0696642	0.0	0.0	0.006015764	0.0	0.0	0.028133877	0.0	0.0026244083	0.0
segsize19	0.08105067	0.0	0.0	0.005474642	0.0	0.0	0.01184516	0.0	0.0021426298	0.0
segsize20	0.13188623	0.0	0.0	0.0013717697	0.0	0.0	0.0	6.498046e-13	0.0017021694	0.0
segsize21	0.18543117	0.0	0.0	0.0018378957	0.0	0.0	0.008792201	0.0	0.0037294817	0.00051895675
segsize22	0.3325793	0.0	0.0	0.0	0.0	3.9445047e-07	0.0	0.0	0.0044571115	0.0
changepoint1	0.0	0.0016978581	0.0005971543	0.008285028	0.011277063	0.3539749	0.0	6.2489796e-17	0.007404666	0.0
changepoint2	0.0	2.3855642e-37	0.013415694	0.02491856	0.0	0.63211447	0.0	0.0	0.0014775704	0.0
changepoint3	0.0	0.31531256	2.4334194e-21	0.07833626	0.0	0.0	0.0	0.0	0.0067494223	0.0
changepoint4	4.18e-43	0.16566277	0.027866958	0.048468284	0.0	0.0	0.0	0.1491741	0.0052713496	0.0
changepoint5	0.0	0.01659155	0.05950788	0.00943236	0.0	0.0	0.0	0.5846727	0.0	0.0
changepoint6	0.0	0.0	0.021217704	5.948567e-27	0.0	0.0	0.2432488	0.037625723	0.0	0.0
changepoint7	0.0	0.0	0.009823342	0.0	0.0	0.0	0.2596161	0.0008755769	0.0	0.0
changepoint8	0.0	0.0	0.009377153	4.1181222e-10	4.233357e-05	0.0	0.20805614	0.0052212067	2.5051428e-05	0.025703702
changepoint9	1e-45	1.2296478e-27	0.0059090457	0.0	0.0	0.0	0.13325723	5.585391e-37	6.129113e-05	0.12069329
changepoint10	0.0	0.0	0.0019264842	7.3e-43	0.0	0.0	0.016659185	0.0	6.410241e-06	0.83357424
bp10MB1	0.0	0.00076659594	0.030649133	0.18925315	0.0	0.0	0.0	0.0	0.5994426	0.0
bp10MB2	0.0	0.031147486	0.080945976	0.23286393	0.0	0.0	0.0	8.317034e-31	0.23276882	0.0
bp10MB3	0.0	0.08145696	0.054504603	0.022098718	0.051472977	0.0	0.0	0.02430433	0.004473258	0.0
bpchrarm1	0.0	0.0	0.0019731056	1.6930352e-14	0.0	1.4952867e-18	0.0	0.0	0.07411317	0.0
bpchrarm2	0.0	0.0	0.0	0.037040308	0.0	0.0	0.0	0.0	0.04080299	0.0
bpchrarm3	0.0	0.017327186	0.0068678213	0.032996014	0.012519665	0.0	1e-45	0.018286964	0.0011975052	0.0
bpchrarm4	0.0	0.009431498	0.01137591	0.0	0.00033633612	0.0	0.0	7.654125e-08	0.0	0.0
bpchrarm5	0.0	0.0018743502	0.00040378838	0.0	0.0	0.0	0.0	0.0	0.0	0.011686216
osCN1	0.0	0.0	0.24213588	0.0802682	0.22232419	5.750467e-20	0.0	0.0	0.0011975308	0.0
osCN2	0.0	0.04260491	0.06448401	0.021545347	0.08229963	0.0	0.0	0.0050380444	0.0	0.0
osCN3	0.0	0.010371532	0.0005347101	0.0	0.0005741737	0.0	0.0	0.003099373	0.0	0.0
