	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10	W11
segsize1	0.0	0.0	0.0	0.0020872054	0.0	0.0	0.013680667	0.4644642	0.0	0.0	0.0
segsize2	0.00090787245	0.0	0.0	1.179e-41	0.0018389939	0.0	0.0154495	0.33774954	0.0	0.0	0.0054776827
segsize3	0.0013308302	0.0	0.0	0.0	0.00404072	0.0	0.03660095	0.19778635	0.0	0.00038707367	0.032869365
segsize4	0.0023954492	1.108185e-39	0.0	0.0	0.0050764848	0.0	0.09409881	0.0	0.0	0.0011161747	0.09696106
segsize5	0.0011547756	0.015262216	0.0	0.012478413	1.1063051e-33	0.0	0.07774721	0.0	0.0	4.5392598e-35	0.084141396
segsize6	0.00066541653	0.02196392	0.0	0.030331416	0.0	0.0	0.060044724	0.0	0.0	0.0	0.058032293
segsize7	0.0028482445	0.044186372	0.0	0.054444566	0.0	0.0	0.04095386	0.0	0.0	0.00035981747	0.026960414
segsize8	0.0010719236	0.020589685	0.0	0.044002917	0.0069034947	0.0	0.017236063	0.0	0.0	0.000154226	0.0040930696
segsize9	0.00062718854	0.009620343	0.0	0.028458552	0.0058797924	0.0	0.008155708	0.0	0.0	0.00033913789	1.0015494e-38
segsize10	4.1129256e-06	0.012115322	0.0	0.04200417	0.012933892	0.0	0.010114116	0.0	0.0	0.0	0.0
segsize11	0.0	0.010508826	0.0	0.040870946	0.019442616	0.0	0.0062152445	0.0	0.0	0.0	0.0
segsize12	0.0	0.0068340064	0.0	0.034551825	0.024593497	0.0	0.00381091	0.0	0.0	0.0	0.0
segsize13	7.661785e-32	0.005668667	0.0	0.017352164	0.020605171	0.0	0.0017470731	0.0	0.0	0.00034633846	0.0
segsize14	0.0	0.00555598	0.0	0.008132038	0.015149806	0.0	0.0004796984	0.0	0.0	0.00068183127	0.0
segsize15	0.0	0.0	0.0	0.00697	0.025926676	0.0	2.0639313e-27	0.0	0.0	0.0027862492	0.0
segsize16	0.0	0.0038154016	0.0	0.0010687883	0.011523639	0.0	1.4364875e-08	0.0	0.0	0.0061987657	0.0
segsize17	8.990577e-26	0.0	0.0	0.00095090223	0.016698161	0.0	0.0	0.0	0.0	0.0075832116	0.0
segsize18	0.00024018253	0.0	0.01779794	0.0	0.0078023127	0.0	0.0	0.0	0.0	0.0062405085	0.0
segsize19	4.753412e-32	0.0	0.0	0.0	0.0070844223	0.0	0.0	0.0	0.0	0.006062867	0.0
segsize20	0.0	0.0	0.0	0.0	0.0017704336	0.0	0.0	0.0	0.0	0.0075931647	0.0
segsize21	0.0	0.0	0.0	0.0	0.0028656877	0.0024801693	0.0	0.0	0.0	0.012769293	0.0
segsize22	0.0	8.548742e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02012084	0.0
changepoint1	0.003412335	0.0	0.0	0.0040818076	0.007637966	0.0	0.00066605094	0.0	0.39091563	0.008328458	0.007995144
changepoint2	0.0012513892	0.0	0.0	0.05391044	0.0129160555	0.0	1.4756028e-20	0.0	0.60908437	0.0034210107	0.0
changepoint3	0.013834405	0.0	0.0	0.10595759	0.042597063	0.0	0.0	0.0	0.0	0.006491598	0.31576452
changepoint4	0.0016317982	0.14043461	0.0	0.060241275	0.03719993	0.0	0.019154359	0.0	0.0	0.008131367	0.16983017
changepoint5	0.0	0.5818145	0.0	0.0	0.024627678	0.0	0.04704866	0.0	0.0	0.002283493	0.0
changepoint6	0.0	0.05156374	0.30749545	0.0	0.00085325184	0.0	0.02498227	0.0	0.0	0.0	0.0
changepoint7	0.0	0.0014722593	0.30344173	0.0	2.3979426e-05	0.0	0.018043004	0.0	0.0	0.0	0.0
changepoint8	0.0	0.0041445205	0.22621073	0.0	0.00020445147	0.013267754	0.019444454	0.0	0.0	0.000106898726	0.0
changepoint9	0.0	0.0	0.13222203	0.0	7.98265e-05	0.11869351	0.013568458	0.0	0.0	0.000115394134	1.7055109e-13
changepoint10	2.1672101e-06	0.0	0.012832087	0.0	7.4228476e-05	0.8480532	0.0041510453	0.0	0.0	1.9354447e-05	0.0
bp10MB1	0.59562784	0.0	0.0	0.026126066	0.2613444	0.0	0.018186888	0.0	0.0	0.5673326	5.9108914e-14
bp10MB2	0.24158579	0.0	0.0	0.1550145	0.243515	0.0	0.0178537	0.0	0.0	0.21472915	0.02881769
bp10MB3	0.008288459	0.036863483	0.0	0.04003054	0.017606968	0.0	0.06477807	0.0	0.0	0.002786103	0.08329719
bpchrarm1	0.077366054	0.0	0.0	0.0	1.126877e-30	0.0	0.0011773423	0.0	0.0	0.075806834	0.0
bpchrarm2	0.037325792	0.0	0.0	0.00010433864	0.046831574	0.0	0.0	0.0	0.0	0.036668647	0.0
bpchrarm3	0.0053088916	0.012907493	0.0	0.021185664	0.030828243	0.0	0.0022401067	0.0	0.0	0.0	0.012998566
bpchrarm4	0.0	1.3352045e-05	0.0	0.0	0.0	0.0	0.016534002	0.0	0.0	0.0	0.011871222
bpchrarm5	0.0	0.004629769	0.0	0.0	0.0	0.017505337	0.0	0.0	0.0	0.0	0.0
osCN1	0.0031190955	0.0	0.0	0.16747254	0.06553043	0.0	0.26661047	0.0	0.0	0.0010396363	0.0
osCN2	0.0	0.0063497005	0.0	0.04184005	0.017993093	0.0	0.07815493	0.0	0.0	0.0	0.049800448
osCN3	0.0	0.0036856667	0.0	0.00033126876	0.0	0.0	0.001071682	0.0	0.0	0.0	0.011089655
