	W1	W2	W3	W4	W5	W6	W7	W8
segsize1	0.26266408	1.8597535e-10	0.0	0.0	0.0024893978	0.011824852	0.00032784996	0.0013519654
segsize2	0.2661075	3.1192743e-16	0.0	0.0	0.0041143605	0.011435461	1.0778662e-11	0.001188183
segsize3	0.2896281	2.2258632e-11	1.1559613e-33	0.0	0.018581636	0.022788914	0.00031419643	0.0016047788
segsize4	0.16102087	0.009682596	0.0042242287	0.0	0.06245618	0.057079233	0.001109353	2.5087072e-23
segsize5	0.0	0.010816995	1.1301571e-17	0.0	0.063240655	0.052274436	0.00031639985	0.0
segsize6	0.0	0.020064276	0.005094517	0.0	0.05461104	0.046689898	3.962674e-24	2.1597163e-36
segsize7	0.0	0.037516356	0.014171538	0.0	0.041610636	0.042044215	0.00061506155	0.003741043
segsize8	0.0	0.030553391	0.007953663	0.0	0.020281369	0.021576503	3.8305394e-09	0.010300753
segsize9	0.0	0.02216624	0.007157004	0.0	0.010373457	0.010340062	0.00012622282	0.008288129
segsize10	0.0	0.033460993	0.006736324	0.0	0.012910546	0.014665923	0.0	0.016487217
segsize11	0.0	0.028966514	0.007746688	0.0	0.0108870035	0.011778354	0.0	0.024117205
segsize12	0.0	0.027765725	0.009523293	0.0	0.008503521	0.009203021	0.0	0.02738033
segsize13	0.0	0.015530695	0.011360817	0.0	0.0026381793	0.0064475834	0.00036652174	0.021161467
segsize14	0.0	0.005574419	0.011151593	0.0	0.001130074	0.0040593436	0.0006734478	0.01482819
segsize15	0.0	0.0047773877	0.011713249	0.0	0.0	0.004604068	0.0021954114	0.024313975
segsize16	0.0	4.1700574e-07	0.008878962	0.0	0.0	0.0024933182	0.0043885047	0.010102645
segsize17	0.0	8.3e-44	2.0732741e-05	1e-45	0.0	0.0023435554	0.0055334857	0.0151266735
segsize18	0.0	0.0	0.0	0.0	0.0	0.0026808064	0.004641601	0.0066745635
segsize19	0.0	0.0	3.35593e-40	0.0	0.0	0.0006496761	0.0043441127	0.0062222644
segsize20	0.0	0.0	5.9397156e-05	0.0	0.0	0.0004835873	0.0052352496	0.0011824582
segsize21	0.0	0.0	0.0	0.0	0.0	0.0016228819	0.0086013	0.0018914655
segsize22	0.0	0.0	0.0	0.0	0.0	0.0	0.013398383	0.0
changepoint1	3.3201349e-25	0.11627593	0.0	0.0	2.546296e-11	0.0	0.010867938	0.0035239893
changepoint2	0.0	0.24691069	0.0	0.0	0.0033596416	1.1702643e-34	0.0067786267	0.013628574
changepoint3	0.0	0.0	0.0	0.0	0.17015669	0.0	0.011625182	0.07137257
changepoint4	0.0	0.0	0.13261065	0.0	0.104591	0.019985536	0.008281132	0.05391002
changepoint5	0.0	0.0	0.7266268	0.0	0.01436806	0.08863885	0.0	0.020343507
changepoint6	0.0	0.0	0.02745625	0.0	5.1753477e-18	0.06360868	0.0	0.0020980858
changepoint7	0.0	0.0	0.0	0.0	0.0	0.049004484	6.470974e-05	1.9400992e-05
changepoint8	0.0	0.0	0.0	0.0	2.3913804e-21	0.04342598	0.00029063574	8.6486456e-05
changepoint9	0.0	0.0	0.0	0.073222786	6.841922e-05	0.030128215	0.00012683508	0.0
changepoint10	0.0	0.0	0.0	0.9142741	0.0	0.009208828	7.620315e-06	0.0
bp10MB1	0.0	7.50185e-40	0.0	0.0	0.048235327	3.027068e-08	0.56971097	0.23116289
bp10MB2	0.0	0.08067661	2.1440078e-34	0.0	0.082767494	0.02131689	0.22266473	0.24447607
bp10MB3	0.0	0.02581461	0.0034891912	0.0	0.07134473	0.050168034	0.0048128064	0.019521706
bpchrarm1	0.0	2.6704406e-15	0.0	0.0	0.0033366766	0.0	0.07106371	0.0032319333
bpchrarm2	0.0	0.0	0.0	0.0	0.0004970326	8.17e-43	0.039190948	0.040479146
bpchrarm3	0.0	0.006037471	1.265484e-29	0.0	0.015121309	0.0050495723	0.0023270631	0.03344625
bpchrarm4	0.0	0.0027428987	0.0	0.0	0.01128038	0.0070332224	0.0	0.0
bpchrarm5	0.0	0.0	0.0	0.012503118	0.001199657	0.00038955666	0.0	0.0
osCN1	0.0	0.24854417	0.0	0.0	0.09670424	0.21662302	0.0	0.048383772
osCN2	0.019123364	0.026121655	2.3632266e-25	0.0	0.057428636	0.057697825	0.0	0.018352248
osCN3	0.001456092	0.0	0.0040250653	0.0	0.005712605	0.00063561124	0.0	0.0
