	W1	W2	W3	W4	W5	W6	W7	W8	W9
segsize1	0.001602059	0.23103154	0.0096765375	0.002270423	0.0015807393	0.0	0.0	0.0	0.000183277
segsize2	0.0037797694	0.22158386	0.008795121	0.0010723829	0.0011532602	0.0	0.0	0.0	0.0007415953
segsize3	0.01972719	0.25142288	0.018512959	1.1552299e-34	0.000701971	0.0	0.00044799244	0.0	0.0015716645
segsize4	0.06673623	0.18218112	0.049688403	0.007854347	0.0025566516	0.0	0.0010056162	0.0	3.862835e-09
segsize5	0.06915229	0.0	0.04807406	0.009628052	0.0026062	7.8549145e-22	1.306471e-14	0.0	0.0
segsize6	0.0594877	0.0	0.043637514	0.018583955	0.0018459954	0.0	0.0	0.0	0.0
segsize7	0.043980412	0.0	0.042620484	0.03636171	0.0028613494	0.0	0.00036501503	0.0013260897	0.0033218726
segsize8	0.02096712	0.0	0.023039954	0.03046597	0.000574621	0.0	0.00018899655	0.0	0.010087843
segsize9	0.010659533	0.0	0.011723406	0.022058534	0.00030460538	0.0	0.000303946	5.4693105e-38	0.008291659
segsize10	0.012857015	0.0	0.016866282	0.034558836	0.0	0.0	0.0	3.917896e-33	0.016732551
segsize11	0.010461855	0.0	0.014557573	0.030374436	0.0	0.0	0.0	0.0	0.024801066
segsize12	0.0073468997	0.0	0.012614224	0.029530888	0.0	0.0	0.0	3e-45	0.028394645
segsize13	0.0020324658	0.0	0.008598665	0.016637206	5.524877e-20	0.0	0.0005485371	0.0019971635	0.022151966
segsize14	0.0010107273	0.0	0.005358436	0.005802773	0.0	0.0	0.0011651515	0.00011615466	0.015697397
segsize15	0.0	0.0	0.005530143	0.005561797	0.0	0.0	0.0038194882	0.0	0.025086194
segsize16	0.0	0.0	0.0022409055	0.00069295167	0.0	0.0	0.007131859	0.0	0.010067294
segsize17	0.0	0.0	0.00083455595	0.0002838092	0.0	0.003597789	0.008841744	0.0	0.0151594505
segsize18	0.0	0.0	0.0021603548	0.0	0.000111311594	0.0	0.0073075145	0.0	0.0060564387
segsize19	0.0	0.0	0.0002921466	0.0	0.0	6.2019986e-05	0.0069240886	0.0	0.00557618
segsize20	0.0	0.0	2.624853e-25	0.0	0.0	3.5206622e-23	0.0077583226	0.0	0.00083000195
segsize21	0.0	0.0	0.00021886724	0.0	0.0	0.0021511805	0.012836536	0.0	0.0014218825
segsize22	3.1373937e-10	0.0	0.0	3.6386132e-07	0.0	0.0	0.018519688	5.031547e-07	0.0
changepoint1	0.0041895504	0.017239023	0.0	0.10448231	0.0030485867	0.0	0.014892812	0.0	0.0009585138
changepoint2	0.013233108	0.0	1.1e-44	0.22460645	2.1411444e-22	0.0	0.012151042	0.0	0.009450004
changepoint3	0.17265834	0.0	0.0	0.0	0.024443682	0.0	0.0068053347	0.0	0.08303449
changepoint4	0.11380014	0.0	0.021829994	0.0	0.0047201333	0.0	0.012116873	0.073271684	0.060712695
changepoint5	0.02028914	0.0	0.097646505	0.0	0.0	0.0	0.0006812142	0.919665	0.021411989
changepoint6	1.0998572e-09	0.0	0.063294426	0.0	0.0	0.0	0.00075336697	8.555986e-22	0.0014720234
changepoint7	0.0	0.0	0.04477865	0.0	0.0	0.0	0.0006386752	0.0	0.0
changepoint8	2.9612914e-34	1.7373158e-36	0.040192664	0.0	1.2739522e-05	0.0028779136	0.00059475447	0.0	2.6903833e-06
changepoint9	2.8227068e-05	0.0	0.025430549	0.0	2.1668502e-05	0.08550734	0.00020190235	0.0	3.3305e-41
changepoint10	0.0	0.0	0.006076494	0.0	0.0	0.662726	1.8291948e-05	0.0	0.0
bp10MB1	0.020533463	0.0	0.020800235	1.02919e-39	0.5893516	0.0	0.5510324	0.0	0.21563098
bp10MB2	0.062990114	0.0	0.04608633	0.09425937	0.23629579	0.0	0.2115636	0.0	0.24531448
bp10MB3	0.07218673	0.022951096	0.049198356	0.027595354	0.009169173	0.0	0.0033409102	1.4328674e-24	0.020696739
bpchrarm1	0.0008246706	0.0	1.8682384e-36	0.0	0.07717085	0.0	0.06734792	0.0	3.041874e-10
bpchrarm2	0.0	0.0	0.0	0.0	0.035929464	0.0	0.040138207	0.0	0.040813327
bpchrarm3	0.0110533275	2.0946332e-13	0.009179532	0.010864388	0.0055385395	0.0	0.0005581799	6.8022803e-20	0.035474267
bpchrarm4	0.012489605	0.0	0.0064925826	0.0026886002	0.0	0.0	0.0	0.0	0.0
bpchrarm5	0.0014913831	0.0	8.482448e-05	0.0	0.0	0.009999103	0.0	0.0	0.0
osCN1	0.09992848	0.0	0.18984348	0.25393444	0.0	0.23307863	0.0	0.0	0.05003433
osCN2	0.058157098	0.07099513	0.053389482	0.029830616	0.0	1.4686311e-25	0.0	0.0	0.018820543
osCN3	0.006345391	0.0025953925	0.00063534454	0.0	1.1388879e-06	0.0	0.0	0.0036234027	0.0
