	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0011966985	0.0	0.0	0.0035332567	0.0	0.0	0.1289706	0.0	0.0
segsize2	0.0	0.001538635	0.0	0.0	0.0038403366	0.0	0.0	0.12577868	0.0	0.0
segsize3	0.0	0.009032937	0.0	0.012176814	0.0035356586	0.0	0.0	0.15019262	0.027211783	2.5273733e-12
segsize4	0.0	0.038299594	7.578546e-14	0.048151936	2.0965435e-05	0.0	0.0	0.15418628	0.09649135	1.9579104e-19
segsize5	0.0	0.050889593	0.01752623	0.0	0.0	0.0	0.0	0.031127911	0.083680436	0.0003091069
segsize6	0.0	0.054402836	0.0	0.0	8.13179e-30	0.0	0.0	1.6018672e-36	0.061248645	0.0009673866
segsize7	0.0	0.0519546	0.0	0.0	0.007861445	0.0	0.0	0.0	0.0234488	0.0023400416
segsize8	0.0	0.030375019	0.0	0.0	0.013633833	6.7169707e-12	0.0	0.0	0.0	0.0010740086
segsize9	0.0	0.016500365	0.0	0.0	0.010035364	0.007921042	0.0	0.0	0.0	0.00058688974
segsize10	0.0	0.022651922	0.0	0.0	0.019641679	0.009312154	0.0	0.0	0.0	0.00018892666
segsize11	0.0	0.020410914	0.0	0.0	0.026236197	0.0037466814	0.0	0.0	0.0	0.0
segsize12	0.0	0.016797926	0.0	0.0	0.029624434	0.0048414594	0.0	0.0	0.0	0.0
segsize13	0.0	0.009044545	0.0	0.00596146	0.02229962	2.3715866e-11	0.0	0.0	0.0	0.00033322934
segsize14	0.0	0.0036709995	0.010170015	0.012853342	0.014958927	0.0	0.0	0.0	0.0	0.000404868
segsize15	0.0	0.00033358045	0.037759963	0.025438411	0.02371445	0.012197145	0.0	0.0	0.0	0.001019133
segsize16	0.08637137	0.00033371232	0.018460302	0.010681744	0.010081546	5.4882693e-13	0.0	0.0	0.0	0.0016542188
segsize17	0.108271286	0.00042652464	0.01823737	0.0	0.015275287	0.0	0.0027991612	0.0	0.0	0.0022205065
segsize18	0.061582915	0.0	0.02753225	0.0	0.0064353785	0.0	0.0	0.0	0.0	0.0026879439
segsize19	0.07424299	0.0	0.012627685	0.0	0.006018096	0.0	0.0	0.0	0.0	0.0021418678
segsize20	0.13029139	0.0	0.0039218655	0.0	0.0015501946	0.0	1.8993528e-28	0.0	0.0	0.0016192086
segsize21	0.1835412	0.0	0.010862002	0.0	0.002201994	0.0	4.4531696e-12	0.0	0.0	0.0036828655
segsize22	0.35569882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0041904724
changepoint1	0.0	0.00083081063	0.0	1.2219323e-15	0.008121282	0.3186479	0.0	0.011114525	0.0034331693	0.007274859
changepoint2	0.0	0.013304731	0.0	0.0	0.02268858	0.5829455	0.0	0.0	0.0	0.0014418693
changepoint3	0.0	0.046034534	0.0	0.0	0.05710022	0.0	0.0	0.0	0.3734186	0.00667931
changepoint4	0.0	0.051246062	0.0	0.15657076	0.0415548	0.0	0.0	0.0	0.17802413	0.005784192
changepoint5	0.0	0.05400172	0.039213162	0.6881237	0.01549368	0.0	0.0	3e-45	0.0	6.4691617e-06
changepoint6	0.0	0.016149862	0.239374	0.033148177	0.0	0.0	0.0	0.0	0.0	0.0
changepoint7	3.4011215e-08	0.00674981	0.23574747	0.0	0.0	0.0	0.0	3.8623813e-08	0.0	0.0
changepoint8	0.0	0.006771913	0.19119	0.0036605	8.756767e-33	0.0	0.023728883	0.0	0.0	3.9317245e-05
changepoint9	0.0	0.0042330087	0.120947905	0.0	0.0	0.0	0.120993726	0.0	0.0	4.66144e-05
changepoint10	0.0	0.0014018777	0.016428342	0.0	0.0	0.0	0.8497154	0.0	0.0	2.0917348e-06
bp10MB1	0.0	0.047012303	0.0	0.0	0.19872053	0.0	0.0	0.0	0.0	0.5987592
bp10MB2	0.0	0.09441182	0.0	0.0	0.2364261	0.0	0.0	0.0	2.8323321e-14	0.23279342
bp10MB3	0.0	0.0561081	0.0	0.0	0.021143056	0.0	0.0	0.05994508	0.081185766	0.0049617006
bpchrarm1	0.0	0.0026501103	0.0	0.0	0.0	4.2744093e-30	0.0	0.0	0.0	0.07491017
bpchrarm2	0.0	0.0015901425	1.476928e-06	0.0	0.039707646	0.0	0.0	0.0	0.0	0.040200602
bpchrarm3	0.0	0.011220855	0.0	0.0	0.03326881	0.0	0.0	0.009657148	0.016158506	0.0016795353
bpchrarm4	0.0	0.010763221	0.0	0.0	0.0	0.0	0.0	0.0009260477	0.007628841	0.0
bpchrarm5	0.0	0.0	0.0	0.0	0.0	0.0	0.0027628597	0.010194737	0.0	0.0
osCN1	0.0	0.18947092	0.0	0.0	0.08276073	0.06038806	1.760107e-25	0.23015417	0.0	5.540287e-29
osCN2	0.0	0.05693044	0.0	0.0	0.022515876	0.0	0.0	0.08600449	0.036879987	0.0
osCN3	0.0	0.0012573869	0.0	0.0032331327	0.0	0.0	0.0	0.0017476571	0.011189929	0.0
