	W1	W2	W3	W4	W5	W6	W7	W8	W9
segsize1	0.006949184	0.0	0.0	0.0017358302	0.06759012	0.0006751987	0.018629305	0.0	0.022927243
segsize2	0.012331973	0.0	2.47486e-40	0.00070483366	0.06315162	0.00020428414	0.022920245	0.0	0.027651848
segsize3	0.028514985	0.0	0.02465343	1.5584409e-11	0.07833074	0.0	0.043233715	0.0	0.060771953
segsize4	0.03588409	0.029815339	0.042734906	0.0	0.089525975	0.0	0.06640041	0.0	0.11015254
segsize5	1.1513842e-09	0.057753336	0.007578487	0.0010669128	0.025880093	0.0006424411	0.015946884	0.0	0.06973723
segsize6	0.0	0.06320034	0.0	0.004305276	0.008144343	0.00108877	0.0	0.0	0.037780747
segsize7	0.0	0.061640363	0.0	0.011204286	0.0	0.0023858612	0.0	0.0	0.009862935
segsize8	2.5027227e-08	0.034448314	0.0	0.015015686	0.0	0.0009798115	0.0	0.0	2.3773692e-09
segsize9	0.0061569167	0.018257355	0.0	0.010999909	0.0	0.00054963544	0.0	0.0	3.426e-42
segsize10	0.006865908	0.024578035	0.0	0.020978386	2.0109944e-30	0.0001868631	0.0	0.0	0.0
segsize11	0.0052800993	0.021129025	0.0	0.027208377	0.0	0.0	0.0017105589	0.0	1.46831865e-36
segsize12	0.007703074	0.01655552	0.0	0.029888198	0.0	0.0	0.0053076325	0.0	2.234035e-39
segsize13	0.0025337257	0.008325382	2.778296e-05	0.022156578	0.0	0.00027304824	0.010350707	0.0	0.0
segsize14	0.00076223025	0.0030305241	0.009730201	0.014515147	3.5178e-41	0.00042173825	0.01455213	0.0	3.0396554e-13
segsize15	0.0043294528	0.0	0.032783445	0.022730185	0.0	0.0013938799	0.02244864	1.1402791e-24	0.0
segsize16	6.807643e-33	0.0	0.016505264	0.00927672	1.6578006e-27	0.0016881168	0.0105600925	0.08632867	0.0
segsize17	0.0	0.0	0.013367788	0.014090304	0.0020569908	0.002284386	0.0048335777	0.10485524	0.0
segsize18	0.0	0.0	0.027113589	0.0056561036	0.0	0.002662148	2.705819e-39	0.06647251	0.0
segsize19	0.0	0.0	0.010248357	0.0050367317	0.0	0.0021327813	0.003588647	0.07529038	0.0
segsize20	0.0	0.0	0.0036503098	0.0010293812	0.0003869457	0.001577164	6.728695e-14	0.1293782	0.0
segsize21	0.0	0.0	0.01812073	0.0	0.00018905377	0.0041216346	0.0	0.18122159	0.0
segsize22	0.0	0.0	0.0	0.0	0.0	0.0040950375	0.0	0.32864	0.0
changepoint1	0.27175465	1.7372456e-30	0.0	0.0064938795	1e-45	0.007680871	0.005976514	0.0	0.0063728928
changepoint2	0.48611754	0.012509103	0.0	0.02366691	0.0	0.0019958836	0.0	0.0	1.1035322e-25
changepoint3	0.0	0.02431265	0.0	0.06652642	0.0	0.007860276	0.0	0.0	0.31802326
changepoint4	0.0	0.047947094	0.0	0.045118656	0.0	0.006428998	0.11532155	0.014516211	0.14967781
changepoint5	0.0	0.06862136	0.0	0.01345191	0.0	5.7588212e-11	0.5404927	0.012651569	5.700334e-29
changepoint6	0.0	0.019151637	0.24422342	7.8952417e-07	0.0	0.0	0.029561352	0.0	0.0
changepoint7	0.0	0.007901151	0.24140382	0.0	0.0031320993	0.0	1e-45	1.0213348e-09	0.0
changepoint8	0.0	0.007718011	0.18721744	1.9623931e-19	0.018434783	2.8740495e-05	0.0037911572	6.553587e-14	0.0
changepoint9	0.0	0.0049603404	0.11315813	0.0	0.05245655	4.5853572e-05	0.0	0.0001447004	0.0
changepoint10	0.0	0.0015470952	0.0074829524	4.2798856e-05	0.3034821	6.1108e-41	0.0	0.00050094473	0.0
bp10MB1	0.0	0.031054579	0.0	0.18472467	1.5e-44	0.5956923	0.0	0.0	2.0951376e-05
bp10MB2	0.0	0.08334291	0.0	0.23098812	0.0	0.23247935	3.3272708e-26	0.0	0.01995773
bp10MB3	8.2146324e-20	0.05900381	7.799147e-30	0.0228914	0.023356305	0.004884314	0.028456671	0.0	0.0796812
bpchrarm1	0.0039809	0.0014465762	0.0	0.0	0.0	0.07340856	0.0	0.0	0.0
bpchrarm2	0.0	0.0	1.10734065e-17	0.036328472	0.0	0.040685803	0.0	0.0	0.0
bpchrarm3	0.0	0.007567861	7.458684e-12	0.032119785	0.00045889203	0.0014462107	0.017719854	0.0	0.02211762
bpchrarm4	7.640347e-07	0.012840124	0.0	0.0	0.00050834805	0.0	0.0	0.0	0.0069657117
bpchrarm5	0.0	0.0010510634	0.0	0.0	0.0042175096	0.0	0.0	0.0	0.00048256764
osCN1	0.120834455	0.20793426	0.0	0.095186666	0.20847882	4.2957234e-15	0.0	0.0	1.1712506e-18
osCN2	0.0	0.061050244	3.7420467e-34	0.024860615	0.050218772	0.0	0.01565749	0.0	0.047874015
osCN3	0.0	0.0013065955	0.0	0.0	5.471809e-18	0.0	0.0025401006	0.0	0.009941688
