	W1	W2	W3	W4	W5	W6	W7	W8	W9
segsize1	0.021111006	0.004682927	4.859594e-36	0.0008412787	0.016405689	0.0	0.0025486103	0.06790593	0.0
segsize2	0.025698911	0.010605704	0.0014007766	0.00035779647	0.020340389	0.0	0.00150465	0.06286428	0.0
segsize3	0.05867446	0.029827662	0.028028267	0.0	0.041218903	0.0	0.00050048466	0.076203614	0.0
segsize4	0.111622415	0.04069211	0.054996997	0.0	0.06548295	0.0	0.0	0.089432016	0.025349062
segsize5	0.07313007	2.22066e-11	0.014881741	0.0006887198	0.016401503	0.0	0.0	0.027552187	0.053548157
segsize6	0.04129532	0.0	6e-45	0.0012070644	0.0	0.0	0.0027065454	0.010193479	0.060635183
segsize7	0.012430847	0.0	0.0	0.0024644881	0.0	0.0	0.008925596	0.0	0.061271537
segsize8	1.05225616e-14	0.0	0.0	0.0009742479	0.0	0.0	0.013583682	0.0	0.035298724
segsize9	0.0	0.0	0.0	0.0006404301	0.0	0.0	0.010375896	0.0	0.019123755
segsize10	0.0	0.0	0.0	0.00021831584	0.0	0.0	0.020035284	0.0	0.025938692
segsize11	0.0	0.0	0.0	0.0	3.832247e-33	0.0	0.026257757	0.0	0.022849176
segsize12	0.0	0.00083625107	0.0	0.0	2.0921428e-19	0.0	0.02952373	0.0	0.018550612
segsize13	0.0	8.456854e-13	0.00022121287	0.0001522842	0.009858519	0.0	0.021982031	0.0	0.009170814
segsize14	0.0	5.4659614e-07	0.0101603605	0.00030548562	0.013752598	0.0	0.01461213	0.0	0.00337053
segsize15	0.0	0.00586083	0.032623384	0.0011074488	0.022740297	0.0	0.023126302	0.0	0.0
segsize16	0.0	8.7406625e-38	0.016366674	0.0016394283	0.010721137	0.084995136	0.009704141	0.0	0.0
segsize17	0.0	0.0	0.013977885	0.0022284854	0.004471873	0.10269549	0.014658433	0.002102242	0.0
segsize18	0.0	0.0	0.02507746	0.0026833874	0.0	0.06347366	0.0060443063	0.0	0.0
segsize19	0.0	0.0	0.011063909	0.0021407602	0.0	0.07643975	0.0056254407	0.0	0.0
segsize20	0.0	0.0	0.0025664787	0.0015588952	0.0	0.13272431	0.0014060996	0.00057528884	0.0
segsize21	0.0	0.0	0.008418975	0.0036225908	0.0	0.18535572	0.0019883048	0.0010815362	0.0
segsize22	0.0	3.685258e-07	0.0	0.004057286	0.0	0.3543131	0.0	0.0	0.0
changepoint1	0.006385346	0.2943772	0.0	0.0076349494	0.006365942	0.0	0.0066863024	0.0	0.00017612625
changepoint2	0.0	0.5236138	0.0	0.0019878054	0.0	0.0	0.022692582	0.0	0.014315763
changepoint3	0.3132254	0.0	0.0	0.0074468437	0.0	0.0	0.06975711	0.0	0.018265396
changepoint4	0.14972658	0.0	0.0	0.006418512	0.12365322	1.7549339e-23	0.045859504	0.0	0.04390532
changepoint5	1.1304374e-05	0.0	0.01713135	0.0	0.5562575	0.0	0.013620666	0.0	0.06565949
changepoint6	0.0	0.0	0.23060814	0.0	0.02756988	0.0	7.21302e-08	0.0	0.018351015
changepoint7	0.0	0.0	0.2273599	0.0	0.0	2.8147224e-06	0.0	0.0	0.0074628103
changepoint8	0.0	0.0	0.17772442	2.5611434e-05	0.0037040163	1.4271381e-08	0.0	0.016361237	0.007193505
changepoint9	0.0	0.0	0.10955789	4.795257e-05	0.0	0.0	0.0	0.050867133	0.004505761
changepoint10	0.0	0.0	0.01166592	8.709192e-06	0.0	0.0	1.5233456e-05	0.30567634	0.0014906313
bp10MB1	2.7344786e-08	0.0	0.0	0.5966587	0.0	0.0	0.1923324	0.0	0.03533707
bp10MB2	0.018295342	0.0	0.0	0.23152405	0.0	0.0	0.23178656	0.0	0.0900303
bp10MB3	0.079846114	0.0	6.8316186e-11	0.00492317	0.027898423	0.0	0.021827387	0.024926137	0.05749901
bpchrarm1	0.0	0.0	0.0	0.07423023	0.0	0.0	0.0	0.0	0.0020473877
bpchrarm2	0.0	0.0	0.006166041	0.040127516	0.0	0.0	0.037749995	0.0	0.0
bpchrarm3	0.020620087	0.0	2.029466e-06	0.0013330523	0.015955882	0.0	0.03214498	0.0	0.0086129755
bpchrarm4	0.0070260745	0.0	3.468962e-08	0.0	0.0	0.0	0.0	0.0010203054	0.012191552
bpchrarm5	0.0023921225	0.0	3.741575e-23	0.0	0.0	0.0	0.0	0.0058278614	0.0
osCN1	7.36e-43	0.08950267	6e-45	0.0007444584	0.0	0.0	0.087354496	0.20602298	0.21593584
osCN2	0.0483892	0.0	1.3167928e-13	0.0	0.014280108	0.0	0.023063187	0.051387437	0.06091905
osCN3	0.010119492	0.0	1.4594433e-07	0.0	0.0029212493	0.0	0.0	0.0	0.0009947817
