	W1	W2	W3	W4	W5	W6	W7	W8
segsize1	0.0	0.0061102323	0.0022602696	0.07134333	0.007246114	0.0017670186	0.04234221	1.2520977e-38
segsize2	0.0	0.0050488138	0.0025994913	0.0661072	0.010477955	3.6479127e-14	0.036840107	2.3813294e-20
segsize3	0.0	0.004183553	0.00403036	0.07910274	0.028129043	0.0	0.054328904	0.006206683
segsize4	0.00065485697	0.0038818787	0.0021862618	0.08395472	0.074113704	0.0	0.04657446	0.03795065
segsize5	0.00018015406	0.002119538	0.0	0.023849986	0.06730394	0.005940122	1.016928e-39	0.047884878
segsize6	3.045572e-29	0.0016922394	0.0	0.00946642	0.055591803	0.016026523	0.0	0.047587868
segsize7	0.0006459872	0.0028237267	1.0607149e-08	0.0	0.040444806	0.037774637	0.0	0.050869692
segsize8	0.00018127695	0.00061618554	0.00877595	0.0	0.018582186	0.031532932	0.0	0.027577424
segsize9	0.0003174886	0.00019163746	0.0074761687	0.0	0.0092244	0.023104876	0.0	0.014409757
segsize10	0.0	0.0	0.015633514	5.4963843e-14	0.011222543	0.036165822	0.0	0.020243458
segsize11	0.0	0.0	0.02378595	0.0	0.009343426	0.032211605	7.198298e-39	0.01756862
segsize12	0.0	0.0	0.027624952	0.0	0.006903048	0.031056432	2.4685566e-29	0.014843536
segsize13	0.0004626949	2.176785e-39	0.021814978	0.0	0.0017374333	0.018146202	0.0035797758	0.009720959
segsize14	0.0009017646	2.3e-43	0.015648693	0.0	0.00088957936	0.0069850287	0.006481751	0.005544211
segsize15	0.0034908268	0.0	0.025460707	0.0	0.0	0.007309431	1.7890867e-05	0.0060334927
segsize16	0.0067184283	0.0	0.010446256	0.0	0.0	0.0013629912	2.7450792e-11	0.002475337
segsize17	0.008239506	0.0	0.016044853	0.003507219	0.0	0.0010797888	0.0	0.00043291817
segsize18	0.0068231476	0.00017824414	0.006707235	0.00060854154	0.0	0.0	0.0	0.0020626832
segsize19	0.0064281705	5.52e-42	0.006284124	0.001346311	0.0	0.0	0.0	1.0714316e-20
segsize20	0.0074252766	0.0	0.0009998999	0.00071891025	0.0	0.0	0.0	1.883694e-39
segsize21	0.0122623965	0.0	0.0018376336	0.0025742415	0.0	0.0	0.0	2.1247073e-08
segsize22	0.01809107	0.0	0.0	0.0	5.6352803e-08	3.405456e-07	0.0	0.0
changepoint1	0.014362401	0.00404001	0.00013848352	0.0	0.005455827	0.10381504	0.0	0.0
changepoint2	0.011510964	0.0002001468	0.008144154	0.0026319874	0.013082904	0.22329691	0.0	1.932235e-35
changepoint3	0.007859466	0.022459881	0.08296889	0.0	0.17421016	0.0	0.0	0.0
changepoint4	0.0110745	0.0041644312	0.059136312	0.0	0.111435495	0.0	0.08224576	0.027174857
changepoint5	0.0012480217	0.0	0.017851492	0.0	0.017477714	3.9480944e-35	0.6840555	0.10688728
changepoint6	0.00044609548	0.0	0.0010944217	0.0	1.7212587e-11	1.9345218e-28	0.0066653886	0.06584263
changepoint7	0.00055449497	0.0	0.0	0.0	0.0	0.0	0.0	0.04644708
changepoint8	0.0005055374	0.0	1.0922415e-05	0.016593406	9.457167e-35	0.0	0.0	0.038969163
changepoint9	0.00019642668	2.208972e-06	1.491854e-20	0.054940186	4.8864395e-15	0.0	0.0	0.023476621
changepoint10	3.2926015e-05	0.0	0.0	0.31190988	0.0	0.0	0.0	0.0045899623
bp10MB1	0.55502325	0.58127785	0.22182356	0.0	0.019345948	5.5672107e-21	0.0	0.016881607
bp10MB2	0.2126984	0.2344017	0.24571605	0.0	0.060603596	0.10203599	0.0	0.053225126
bp10MB3	0.0031050334	0.009811613	0.01921832	0.018622527	0.071724564	0.025792899	0.01988669	0.050145913
bpchrarm1	0.06906606	0.073585734	5.817411e-14	0.0	2.788303e-17	0.0	0.0	3.0246e-41
bpchrarm2	0.03912604	0.037022594	0.042456016	0.0	0.0	2.7609163e-16	0.0	3.0567192e-26
bpchrarm3	0.000367275	0.006040183	0.034692947	0.0	0.011119758	0.012750352	0.012733736	0.009591729
bpchrarm4	0.0	0.0	0.0	0.001305434	0.012085225	0.0018178853	0.0	0.007041916
bpchrarm5	0.0	0.0	0.0	0.005458732	0.0013990868	0.0	0.0	1.2318724e-16
osCN1	0.0	0.0	0.047534678	0.19914553	0.09526506	0.25141263	0.0	0.18660094
osCN2	0.0	0.00014631926	0.019596409	0.04664981	0.05927043	0.028614536	2.6128952e-18	0.05112104
osCN3	0.0	1.322755e-06	0.0	0.00016288007	0.0063142125	0.0	0.004247924	0.0005918633
