	W1	W2	W3	W4	W5	W6	W7	W8	W9
segsize1	0.016374867	0.0007934362	0.0	0.0052385433	0.0	0.021402527	0.0024174538	0.068223864	0.0
segsize2	0.020660408	0.0003263622	0.00018361228	0.010754908	0.0	0.026120318	0.0014043269	0.063319586	0.0
segsize3	0.04165019	0.0	0.027047407	0.029309768	0.0	0.05942836	0.00039199798	0.07658523	3.2510123e-31
segsize4	0.06529394	0.0	0.052661385	0.039501138	0.0	0.11196445	0.0	0.08975651	0.025916334
segsize5	0.015970886	0.0007248752	0.012749053	5.6818508e-27	0.0	0.07266636	0.0	0.027653933	0.05410493
segsize6	0.0	0.0012174514	0.0	0.0	0.0	0.040726576	0.0027117978	0.010010105	0.060781464
segsize7	0.0	0.002481853	0.0	0.0	0.0	0.011894122	0.008991199	0.0	0.061157003
segsize8	0.0	0.0009881735	0.0	0.0	0.0	1e-45	0.01362148	0.0	0.03508139
segsize9	0.0	0.00056796643	0.0	0.0051670983	0.0	0.0	0.010208539	0.0	0.018822541
segsize10	0.0	0.00015907716	0.0	0.005167939	0.0	0.0	0.01989859	1.0808406e-28	0.025561491
segsize11	5.3695246e-29	0.0	0.0	0.0003446078	0.0	0.0	0.02634629	0.0	0.022654764
segsize12	2.0486702e-07	0.0	0.0	0.0023912406	0.0	0.0	0.029536681	0.0	0.018338295
segsize13	0.009831553	0.00015857007	9.01945e-05	0.0003839181	0.0	0.0	0.022027297	0.0	0.009094617
segsize14	0.013795641	0.0003099812	0.010283442	0.0003021386	0.0	0.0	0.014625396	0.0	0.0033424038
segsize15	0.022874806	0.0011165683	0.03308403	0.006014779	0.0	0.0	0.023142492	0.0	0.0
segsize16	0.010826687	0.0016366524	0.016543532	8.040168e-31	0.08516773	0.0	0.009715318	0.0	0.0
segsize17	0.0046232115	0.0022224784	0.013844223	0.0	0.103011884	0.0	0.014685273	0.0021344689	0.0
segsize18	0.0	0.0026834074	0.02549667	0.0	0.06353139	0.0	0.0060579814	0.0	0.0
segsize19	0.0	0.002138822	0.011161595	0.0	0.0765348	0.0	0.005638867	0.0	0.0
segsize20	0.0	0.0015523083	0.0025374922	0.0	0.13276082	0.0	0.0014034704	0.00059422245	0.0
segsize21	0.0	0.0036140517	0.008364518	0.0	0.18527935	0.0	0.001993816	0.001165156	0.0
segsize22	0.0	0.0040541817	0.0	3.514348e-07	0.35327116	0.0	0.0	0.0	0.0
changepoint1	0.0064500105	0.007661423	0.0	0.28511962	0.0	0.00649496	0.006690684	0.0	3.9764207e-05
changepoint2	0.0	0.0020396276	0.0	0.5090742	0.0	0.0	0.022732913	0.0	0.013785166
changepoint3	0.0	0.007526868	0.0	0.0	0.0	0.31350186	0.06960959	0.0	0.02010348
changepoint4	0.12217015	0.0065059685	0.0	0.0	1.8446721e-08	0.14932486	0.04580079	0.0	0.045039095
changepoint5	0.55908406	8.23498e-40	0.015001995	0.0	0.0	1.6237491e-19	0.013064466	0.0	0.06609613
changepoint6	0.02763364	0.0	0.23455326	0.0	0.0	0.0	7.259921e-19	0.0	0.018396307
changepoint7	0.0	0.0	0.23168552	0.0	0.0	0.0	0.0	0.0	0.007510608
changepoint8	0.0037643905	2.3314991e-05	0.1803405	0.0	1.5571241e-30	0.0	2.6091407e-33	0.016604574	0.0072354316
changepoint9	0.0	4.800782e-05	0.110198826	0.0	3.3273337e-24	0.0	0.0	0.05104262	0.004542131
changepoint10	0.0	8.165949e-15	0.008298942	0.0	0.00044286714	0.0	1.5520405e-05	0.30305147	0.0014933508
bp10MB1	0.0	0.5965896	0.0	0.0	0.0	5.773061e-12	0.19274715	0.0	0.035349037
bp10MB2	0.0	0.2315853	0.0	0.0	0.0	0.017735835	0.23232639	0.0	0.089757845
bp10MB3	0.02693662	0.0049587865	1.3267224e-19	0.0	0.0	0.07993451	0.021830665	0.024779223	0.05775558
bpchrarm1	0.0	0.07421919	0.0	1.7196588e-05	0.0	0.0	4.093398e-29	0.0	0.0020605414
bpchrarm2	0.0	0.04015194	0.0058736834	0.0	0.0	0.0	0.03783261	0.0	0.0
bpchrarm3	0.0156110525	0.0013553965	1.3511205e-10	0.0	0.0	0.020663004	0.032218263	4.3470423e-05	0.008681055
bpchrarm4	0.0	0.0	3.0990623e-08	0.0	0.0	0.0070105987	0.0	0.0008250549	0.01220259
bpchrarm5	0.0	0.0	0.0	0.0	0.0	0.0023944182	0.0	0.0058131297	0.0
osCN1	0.0	0.0005883854	0.0	0.1012126	0.0	2.76429e-40	0.08718848	0.20703074	0.21324761
osCN2	0.013720995	0.0	5.8926864e-24	0.0	0.0	0.04850601	0.023124209	0.051211923	0.06083249
osCN3	0.0027266222	0.0	1.2606424e-07	0.0	0.0	0.010231275	0.0	0.00015466438	0.0010166178
