	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.0	0.0	2.2584501e-36	0.0014812031	2.7924086e-20	0.13290372	0.0	0.0035981252
segsize2	0.0	0.0	0.0	0.0	0.0	0.0018174672	0.0	0.13161603	0.0	0.0036579045
segsize3	0.0	1.302995e-13	0.0	0.0	0.00036433383	0.012045634	0.0	0.17848584	0.0	0.005622751
segsize4	0.0	0.063531704	4.6876274e-19	0.0	0.0007595558	0.0468387	0.0	0.19397679	0.0	0.0033436166
segsize5	0.006610479	0.07304019	0.0	0.0	0.0003883447	0.057754874	0.0	0.037889764	0.0	0.0
segsize6	9.61e-43	0.05376692	0.0	0.0	0.0009809723	0.059190806	0.0	4.1606382e-22	0.0	0.0
segsize7	0.0	1.7219469e-10	0.0	0.0	0.0027556103	0.055387717	0.0	0.0	0.0	0.009618456
segsize8	0.0	0.0	0.0	0.0	0.0010386934	0.030022748	0.0	0.0	0.0	0.013777014
segsize9	0.0	0.0	0.0	0.0	0.00052679196	0.01601025	0.0	0.0	0.010285583	0.010146707
segsize10	0.0	0.0	0.0	0.0	0.00012713709	0.021711592	0.0	0.0	0.012267113	0.01990151
segsize11	0.0	0.0	0.0	0.0	4.5789302e-26	0.019160656	0.0	0.0	0.004794794	0.02669181
segsize12	0.0	0.0	0.0	0.0	0.0	0.015306041	0.0	0.0	0.006441272	0.030146789
segsize13	1e-45	0.0	0.0	0.0	0.0005159815	0.008196723	0.0	0.0	1e-45	0.022869151
segsize14	0.009092344	0.0	0.012498199	0.0	0.00048250848	0.0031463036	0.0	0.0	0.0	0.015189339
segsize15	0.032081485	0.0	0.022370413	0.0	0.0014876388	0.0003613741	0.0	0.0	2.8289435e-10	0.024330437
segsize16	0.016804093	0.0	0.011762803	0.08551494	0.0017648308	1.38472105e-33	0.0	0.0	0.0	0.01004072
segsize17	0.013620917	0.0	0.0	0.1079756	0.0023451888	0.0	0.0043106214	0.0	0.0	0.015275351
segsize18	0.02435562	0.0	0.0	0.064306036	0.002723234	0.0	0.0	0.0	0.0	0.0062791724
segsize19	0.009528786	0.0	0.0	0.07671282	0.002166705	0.0	0.0	0.0	0.0	0.005897714
segsize20	0.0024433008	0.0	0.0	0.13003555	0.0016234717	0.0	0.00046455592	0.0	0.0	0.001512646
segsize21	0.008407157	0.0	0.0	0.18302909	0.0037155247	0.0	0.001478715	0.0	0.0	0.002071302
segsize22	0.0	0.0	0.0	0.35242593	0.0041039	0.0	0.0	0.0	4.980958e-12	0.0
changepoint1	0.0	0.004462198	3.417245e-11	0.0	0.0073480178	0.0010242608	0.0	0.010141985	0.30180144	0.0076062614
changepoint2	0.0	0.0	0.0	0.0	0.0013724845	0.0127176205	0.0	0.0	0.5510212	0.022908943
changepoint3	0.0	0.4882837	0.0	0.0	0.004313893	0.049837343	0.0	0.0	0.0	0.050259795
changepoint4	0.0	0.21653329	0.17688988	0.0	0.0047079604	0.055213135	0.0	3.6909e-41	0.0	0.03863903
changepoint5	0.042518355	0.0	0.73801035	0.0	0.0	0.056504104	0.0	9.05189e-26	0.0	0.014418233
changepoint6	0.2569617	0.0	0.032652166	0.0	0.0	0.014917479	0.0	0.0	0.0	0.0
changepoint7	0.2446229	0.0	0.0	5.574825e-10	0.0	0.0059363926	0.0	0.0	0.0	0.0
changepoint8	0.19561306	0.0	0.0039996686	0.0	2.8917704e-05	0.00594685	0.026436787	8.897e-42	0.0	8.98e-43
changepoint9	0.119661115	0.0	0.0	0.0	4.5555393e-05	0.0037586896	0.103226244	0.0	0.0	0.0
changepoint10	0.01707078	0.0	0.0	0.0	8.194612e-06	0.0011726744	0.64623237	1.157472e-20	0.0	0.0
bp10MB1	0.0	0.0	0.0	0.0	0.5991811	0.030795166	0.0	4.8280326e-34	0.0	0.19457977
bp10MB2	0.0	7.583291e-25	0.0	0.0	0.23356411	0.082093656	0.0	0.0	0.0	0.23557709
bp10MB3	0.0	0.07120219	0.0	0.0	0.0048685586	0.06031612	0.0	0.070044465	0.0	0.021816934
bpchrarm1	0.0	0.0	0.0	0.0	0.074488275	0.0016281058	0.0	0.0	2.941746e-10	0.0
bpchrarm2	3e-45	0.0	0.0	0.0	0.040578555	0.0	0.0	0.0	0.0	0.03862054
bpchrarm3	0.0	0.01829878	0.0	0.0	0.0016238882	0.01021084	0.0	0.013552254	0.0	0.03335779
bpchrarm4	0.0	0.0	0.0	0.0	3.708327e-08	0.0123455	0.0	0.0047445293	5.398323e-10	0.0
bpchrarm5	0.0006079243	0.0	0.0	0.0	0.0	0.0	0.003947428	0.009537373	0.0	0.0
osCN1	6.6164905e-19	0.0	0.0	0.0	0.0	0.18417558	0.21390319	0.11046561	0.11338853	0.08646058
osCN2	0.0	1.3224662e-28	0.0	0.0	0.0	0.061149925	0.0	0.102993086	0.0	0.02578453
osCN3	0.0	0.010881026	0.0018165717	0.0	0.0	0.0018245107	0.0	0.003648606	0.0	0.0
