	W1	W2	W3	W4	W5	W6	W7	W8
segsize1	0.40601316	0.004990516	0.0	0.028155774	1.5701362e-06	0.0006305946	0.0	0.0034017572
segsize2	0.3410347	0.004374136	0.0	0.029004555	1.7258627e-07	0.0013927707	0.0	0.0064042625
segsize3	0.25151008	0.0116796065	0.00047034246	0.04565316	0.0022603725	0.002336241	0.0027200838	0.025042307
segsize4	2.435619e-35	0.03591078	0.0017396878	0.07788958	0.015181348	4.1471372e-05	1.0930455e-31	0.07409835
segsize5	0.0	0.034950223	0.0002911126	0.043769483	0.016291307	1.0978973e-29	0.0	0.06905991
segsize6	0.0	0.033842843	3.2500913e-05	0.03222019	0.024160938	1.8120393e-16	0.0	0.05859448
segsize7	0.0	0.03898261	0.0009986087	0.011480219	0.03928534	0.002052896	0.0	0.042066738
segsize8	0.0	0.02456688	0.00024210251	5.3844893e-09	0.031070769	0.008936547	0.0	0.018804625
segsize9	0.0	0.013623194	0.00027637236	2.3854015e-23	0.022059528	0.0075740316	0.0	0.00874683
segsize10	0.0	0.0194641	1.72e-43	0.0031735592	0.033054184	0.016053205	0.0	0.009903486
segsize11	0.0	0.019990904	0.0	0.0	0.0292231	0.023236115	0.0	0.0074411305
segsize12	0.0	0.018565174	0.0	0.0	0.027256386	0.027172571	0.0	0.0043369504
segsize13	0.0	0.012876086	0.00047462754	0.0	0.014980003	0.021378638	2.0600131e-10	5.42167e-31
segsize14	0.0	0.007938249	0.00042601323	0.0	0.0052765384	0.01522728	0.008408766	1.81e-43
segsize15	0.0	0.008111329	0.0011213633	5.7748866e-38	0.004196542	0.025610792	0.026542589	0.0
segsize16	0.0	0.0030373505	0.0018038473	0.00075110025	0.000811723	0.010698419	0.059299495	0.0
segsize17	0.0	0.0014143669	0.002255696	0.0035668775	0.0006398988	0.016538948	0.0718906	0.0
segsize18	0.0	0.001511504	0.0025475994	0.0033893592	3.852e-42	0.007235826	0.046959672	0.0
segsize19	0.0	5.43995e-31	0.0020611156	0.002552256	0.0	0.0067403074	0.05028291	0.0
segsize20	0.0	0.0	0.0019177827	0.0016918789	0.0	0.0013306683	0.066807084	0.0
segsize21	0.0	0.0	0.0038744453	0.0044336715	0.0	0.0022463708	0.09697095	0.0
segsize22	0.0	0.0	0.005731687	0.0	0.0	0.0	0.15220861	0.0
changepoint1	3.4185785e-33	0.0	0.011357886	0.0	0.10628779	0.0031046325	1.7123469e-16	1e-45
changepoint2	0.0	0.0009170145	0.0072760466	1.1788197e-13	0.22957438	0.014868416	7.903901e-09	0.00076667196
changepoint3	0.0	0.0	0.010879957	0.0	0.0	0.09108909	0.0	0.18404873
changepoint4	0.0	0.03954001	0.0049771024	0.0	3.67e-43	0.05770201	0.110792644	0.11294389
changepoint5	0.0	0.14306219	0.0	0.0	0.0	0.011202002	0.26760846	0.023862207
changepoint6	0.0	0.05667697	1.9017086e-30	0.0046238657	3.9139156e-08	0.0	0.01486014	6.234796e-26
changepoint7	0.0	0.035838056	0.0	0.01666298	0.0	0.0	0.013499992	0.0
changepoint8	0.0	0.028102076	6.51497e-05	0.038826417	0.0	3.806e-42	0.008175727	0.0
changepoint9	0.0	0.014364986	5.4753957e-05	0.072101	0.0	1.4199852e-17	0.002533176	9.4913485e-06
changepoint10	0.0	0.0020065235	5.501874e-06	0.2546326	0.0	4.4969267e-05	0.0004390114	8.1552804e-05
bp10MB1	0.0	0.04206617	0.588914	4.3253106e-19	7.058938e-18	0.21391653	2.253e-41	0.034096647
bp10MB2	0.0	0.081361264	0.22918245	0.0	0.08215961	0.24247131	4.1e-43	0.05980449
bp10MB3	0.0	0.044768963	0.005038589	0.026770523	0.030591354	0.018575646	0.0	0.074228056
bpchrarm1	0.0	1.13866614e-17	0.073421106	0.0	5.6483087e-22	7.042688e-24	0.0	0.0029127784
bpchrarm2	0.0	0.003005708	0.04036193	5.7827765e-22	9.1390726e-29	0.042951405	4.0495487e-09	0.0
bpchrarm3	8.5194113e-19	0.013882805	0.002200643	0.0	0.0074270545	0.034412365	0.0	0.011991333
bpchrarm4	0.0	0.005412371	0.0	0.0036603839	0.0035412188	0.0	0.0	0.012031061
bpchrarm5	0.0	0.0	0.0	0.0044862037	0.0	0.0	0.0	0.001428197
osCN1	0.0	0.14522754	0.0	0.24165925	0.24468626	0.05476848	0.0	0.089166574
osCN2	3e-45	0.04695114	0.0	0.048845217	0.029962342	0.018459402	0.0	0.058108427
osCN3	0.0014420027	0.0009863339	4.463783e-14	0.0	2.0198773e-05	3.318961e-08	8.276427e-08	0.0066190474
