	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.14587	0.0	0.0013599306	0.0061620795	0.0	0.0	0.0005338366	0.0	0.0
segsize2	0.0	0.13910118	0.0	0.00097385276	0.0051624873	0.0	0.0	0.0011871937	0.0	0.0034454754
segsize3	0.0	0.15940809	0.013983578	0.00023766787	0.010702071	0.0092252	1.030391e-23	0.0015061477	0.0	0.02999969
segsize4	0.0	0.14184779	0.04883459	0.00072195777	0.03443161	0.038126063	0.0	2.607792e-23	0.013771827	0.09675199
segsize5	0.0	0.014623743	0.021312928	0.0019519108	0.050592165	0.013772549	0.0	3.43422e-40	0.0	0.08707425
segsize6	0.0	0.0	0.004675045	0.00225312	0.056309186	0.0	0.00040297184	0.0016939951	0.0	0.061433844
segsize7	0.0	0.0	0.0	0.004138305	0.05803945	0.0	0.0014499845	0.00818849	0.0	0.027999472
segsize8	0.0	0.0	0.0	0.001671884	0.03388133	0.0	0.0006017414	0.0131034115	4.3542245e-27	0.007276831
segsize9	0.0	0.0	0.0	0.0009423251	0.018868769	0.0	0.00043365214	0.01008682	0.0050036376	0.0016062987
segsize10	0.0	0.0	0.0	0.0006264014	0.026042713	0.0	0.00011375901	0.019751057	0.0025111407	0.00065063377
segsize11	0.0	0.0	2.9645073e-09	1.526373e-39	0.022716038	0.0	0.0	0.026314734	1.3572516e-35	2.740641e-09
segsize12	0.0	0.0	0.0049451925	0.0	0.017973099	0.0	0.0	0.029132405	8.124117e-21	0.0
segsize13	0.0	0.0	0.01093908	0.0	0.00917208	1e-45	0.00031332762	0.021487141	0.0	0.0
segsize14	0.0	0.0	0.014833758	0.0	0.0033029343	0.010035511	0.0005729547	0.01430856	0.0	0.0
segsize15	0.0	0.0	0.019012176	0.0	3.1634045e-06	0.03487868	0.0024656379	0.022751959	1.89922e-40	0.0
segsize16	0.0	0.0	0.008462431	0.0	0.0	0.014751312	0.006426611	0.00884076	0.0	0.0
segsize17	0.002828923	0.0	3.54385e-29	0.0	1.1002952e-24	0.012710895	0.00828479	0.013405878	0.0	5.267494e-09
segsize18	0.0	0.0	0.0	0.00013761621	0.0	0.023832742	0.006746112	0.005330102	0.0	0.0
segsize19	0.0	0.0	0.0	0.0	0.0	0.009506334	0.006622741	0.00463685	0.0	0.0
segsize20	0.0	0.0	0.0	0.0	0.0	0.001813077	0.0076753967	0.0006806612	0.0	0.0
segsize21	0.0005568323	0.0	0.0	0.0	0.0	0.005617776	0.012744232	0.0011150882	0.0	0.0
segsize22	0.0	0.0	0.0	0.0	3.5959857e-08	0.0	0.018516297	0.0	7.0753043e-07	0.0
changepoint1	0.0	0.015094148	0.0	0.0025154564	0.0	0.0	0.009090192	0.008174166	0.33820084	0.0038869346
changepoint2	0.0	0.0	0.0	2.0734025e-21	0.014413913	0.0	0.0021241538	0.023710102	0.62121373	6.707855e-25
changepoint3	0.0	0.0	0.0	0.013920903	1.046148e-33	0.0	0.005128874	0.07757557	0.0	0.31053397
changepoint4	0.0	0.0	0.12650612	0.0019753743	0.028973037	0.0	0.008546074	0.048554376	0.0	0.16931243
changepoint5	0.0	0.0	0.6130094	0.0	0.06372081	0.0	0.0024618448	0.009054663	0.0	0.015145639
changepoint6	0.0	0.0	0.04108876	0.0	0.021772295	0.23411085	0.0	1.5107554e-06	0.0	0.0
changepoint7	0.0	3.736834e-08	0.0016882629	0.0	0.0101496065	0.2477158	0.0	0.0	0.0	0.0
changepoint8	0.024825608	0.00015678414	0.004928096	0.0	0.009765928	0.19956164	7.8324774e-05	0.0	0.0	0.0
changepoint9	0.12030996	0.0	0.0	0.0	0.006079893	0.12801284	8.709776e-05	0.0	0.0	8.8156674e-05
changepoint10	0.83815324	0.00016966893	0.0	0.0	0.0019603183	0.016328754	1.5494048e-05	0.0	0.0	0.0
bp10MB1	0.0	0.0	0.0	0.5973624	0.025265517	0.0	0.56782025	0.20431982	0.0	3.9547572e-08
bp10MB2	0.0	0.0	0.0	0.2403362	0.08138652	0.0	0.21728963	0.2351315	0.0	0.02403469
bp10MB3	0.0	0.048506044	0.034145907	0.008466101	0.05431541	0.0	0.003008483	0.021797433	0.0	0.08073242
bpchrarm1	0.0	0.0	0.0	0.0766105	0.0014230607	0.0	0.06982722	0.0011126101	0.006470037	0.0
bpchrarm2	0.0	0.0	0.0	0.03644335	0.0	0.0	0.040443458	0.036888573	0.0	0.0
bpchrarm3	0.0	0.004663185	0.027985264	0.0051404815	0.008119717	9.721346e-38	0.0	0.032175876	0.0	0.012300942
bpchrarm4	0.0	0.000498535	0.0	0.0	0.011203368	0.0	0.0	0.0	0.0	0.010386313
bpchrarm5	0.013325421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026390643
osCN1	0.0	0.2407323	0.0	0.0022142683	0.24345686	0.0	0.00070861937	0.076120354	0.01282642	0.0
osCN2	0.0	0.088713296	9.95736e-14	0.0	0.06417889	0.0	0.0	0.02132832	0.0	0.044034347
osCN3	0.0	0.00061519665	0.0036494143	0.0	0.0004556322	0.0	0.0	0.0	1.6583517e-06	0.010666651
