	W1	W2	W3	W4	W5	W6	W7	W8	W9
segsize1	0.0	0.0	0.0062488276	0.0	0.16558045	0.0	0.004411368	0.0	0.0
segsize2	0.0010516642	0.0	0.0057317456	0.0	0.15615419	0.0	0.0056088218	0.0	0.0
segsize3	0.0019729377	0.0	0.0023793706	0.0	0.15506916	0.028970538	0.027667603	0.00492245	0.0
segsize4	1.244073e-32	0.0	0.0	0.0	0.1060331	0.09967475	0.08858492	0.018275134	0.04678207
segsize5	0.0	0.0	0.015362544	0.0	0.0	0.09256093	0.07732632	0.0	0.014450137
segsize6	0.0	0.0	0.03590149	0.00039880848	0.0	0.06433181	0.050091136	5.96e-43	0.0
segsize7	0.0	0.0	0.058405075	0.0024420016	0.0	0.03097229	0.029365806	7.425286e-30	0.0
segsize8	0.00839995	0.0	0.043494754	0.0010523113	0.0	0.0052677165	0.0054201	0.0	0.0
segsize9	0.006914015	0.0	0.027472218	0.0008222819	0.0	2.4153484e-05	8.610142e-20	0.0	0.0
segsize10	0.014923071	0.0	0.038499217	0.00036774704	0.0	6.2932262e-30	5.0411125e-22	3.8897466e-23	0.0
segsize11	0.021633819	0.0	0.0348786	0.0	0.0	0.0	4.46e-43	0.0009554383	0.0
segsize12	0.026038574	0.0	0.02873259	0.0	0.0	0.0	1.3495487e-31	1e-45	0.0
segsize13	0.020443343	0.0	0.014830567	0.00024286921	0.0	0.0	0.001377954	0.005136176	0.0
segsize14	0.014629293	0.0	0.005790759	0.00037143557	0.0	0.0	0.0040376987	0.0088642305	0.0
segsize15	0.024921514	0.0	2.8418402e-18	0.00071986986	0.0	0.0	0.011105552	0.015667845	0.021293469
segsize16	0.010561558	0.0	0.0	0.0036317487	0.0	0.0	0.006074544	0.010515454	0.0054217265
segsize17	0.01615724	0.00227092	0.0	0.0044695237	0.0	0.0	0.005698871	0.005421224	0.0022452686
segsize18	0.007590452	0.0	0.0	0.0041112653	0.0	0.0	0.006000267	0.0	0.0
segsize19	0.0075128647	0.004389832	0.0	0.003965523	0.0	0.0	0.0	0.0	0.0
segsize20	0.0018101033	0.0015240487	0.0	0.0052992376	0.0	0.0	0.0	0.0	0.0
segsize21	0.0031989831	0.00902912	0.0	0.00867911	0.0	0.0	0.0	0.0	0.0
segsize22	0.0	0.0	0.0	0.014161268	0.0	0.0	0.0	0.0	0.0
changepoint1	0.0074593946	0.0	0.002517204	0.007012315	0.010599084	0.0035440049	4.848095e-37	2.6645034e-21	0.33427235
changepoint2	0.016569445	0.0	0.029304624	0.0019414338	0.0	0.0	0.0	0.0	0.57553494
changepoint3	0.07525784	0.0	0.0057730484	0.00747232	0.0	0.27943575	0.0	0.0	0.0
changepoint4	0.050137825	0.0	0.028067356	0.005830753	0.0	0.14891706	0.01628098	0.16420929	0.0
changepoint5	0.013801776	0.0	0.025461605	0.0	0.0	0.011746096	0.11286615	0.72440434	0.0
changepoint6	0.00041100782	0.0	0.0061505428	0.0	0.0	0.0	0.100956954	0.028152365	0.0
changepoint7	9.293953e-05	0.0	0.0	0.0	0.0	0.0	0.08455224	0.0	0.0
changepoint8	0.00025852563	0.0	0.0	0.00016810477	0.0	0.0	0.07501302	0.0	0.0
changepoint9	7.860556e-05	0.09040195	0.0	7.19069e-05	0.0	0.0	0.049810052	0.0	0.0
changepoint10	9.991928e-10	0.88834333	0.00010502174	5.281925e-06	0.0	0.0	0.012589224	0.0	0.0
bp10MB1	0.24638757	0.0	0.053932678	0.58264244	0.0	0.032951243	1.4747193e-11	0.0	0.0
bp10MB2	0.24277706	0.0	0.1339833	0.22434002	0.0	0.036791738	1.223e-42	0.0	0.0
bp10MB3	0.01816218	0.0	0.044306617	0.004390776	0.04489111	0.08251864	0.04781127	0.009239239	0.0
bpchrarm1	2.569671e-19	0.0	0.005707336	0.0759953	0.0	0.0	0.0	0.0	0.0
bpchrarm2	0.045717344	0.0	0.002466897	0.037598092	0.0	0.0	0.0	0.0	1.5593277e-07
bpchrarm3	0.03237137	0.0	0.015332238	0.001376958	0.009577467	0.014459659	7.962777e-12	0.0	0.0
bpchrarm4	0.0	0.0	0.010215857	0.0	0.0	0.009611077	0.0036283215	0.0	0.0
bpchrarm5	0.0	0.004040768	0.0	0.0	0.0037000778	0.0	0.0028153453	0.0	0.0
osCN1	0.048410997	0.0	0.2622492	0.00041934536	0.26977932	9.340597e-36	0.12220244	0.0	1.13770035e-10
osCN2	0.014346725	0.0	0.056698687	0.0	0.077894285	0.049017504	0.047653783	0.0	0.0
osCN3	0.0	0.0	0.0	0.0	0.0007217471	0.009204997	0.0010492231	0.004236859	0.0
