	W1	W2	W3	W4	W5	W6	W7	W8	W9
segsize1	0.0010488662	0.0002103311	0.009776408	0.0	0.0015167489	7.2257854e-25	0.0	0.23526962	0.0
segsize2	0.0006651894	0.00032122285	0.008867196	0.0	0.0035282285	0.0006850156	0.0	0.21876362	0.0
segsize3	3.6471288e-24	0.00021449651	0.01852134	0.0	0.019489761	0.0014096656	0.00050432986	0.24259828	0.0
segsize4	0.005024721	0.0024158056	0.04873901	0.0	0.06685411	1.8507286e-35	0.0011309541	0.18153177	0.0
segsize5	0.0073166955	0.0030627034	0.04651572	0.0	0.06966117	0.0	3.4664268e-07	0.0	0.008362681
segsize6	0.015890159	0.0022438953	0.04268199	0.0	0.05997232	0.0	0.0	0.0	0.0
segsize7	0.03410435	0.003077424	0.041955296	3.6351164e-15	0.044111636	0.0028574031	0.00044211597	0.0	0.0
segsize8	0.029986056	0.00065471325	0.022995869	0.0	0.020909866	0.009581677	0.00018566205	0.0	0.0
segsize9	0.021907467	0.00034161852	0.011873921	1e-45	0.010551494	0.007928415	0.00028956978	0.0	0.0
segsize10	0.034719862	0.0	0.017142998	1.2796479e-29	0.012767932	0.016120791	0.0	0.0	0.0
segsize11	0.031723462	0.0	0.015154531	0.0	0.010528113	0.023984566	0.0	0.0	0.0
segsize12	0.031350784	0.0	0.013354631	0.0	0.0073137716	0.027586544	0.0	0.0	0.0
segsize13	0.01851313	0.0	0.009009261	0.0036438433	0.00189078	0.021708464	0.00049743365	0.0	0.0
segsize14	0.0072760377	0.0	0.00560486	0.0021739565	0.0010151601	0.015479075	0.0010866651	0.0	0.0
segsize15	0.008036656	0.0	0.0059633567	0.0	0.0	0.025030168	0.0037132357	0.0	0.0
segsize16	0.0017841349	0.0	0.002624589	0.0	0.0	0.009993847	0.0070793065	0.0	0.0
segsize17	0.0018855049	0.0	0.0011817779	0.0	0.0	0.015282035	0.008756637	0.0	0.0035158352
segsize18	0.0	0.00016980848	0.0021466217	0.0	0.0	0.0063808314	0.007264291	0.0	0.0
segsize19	0.0	0.0	0.00020816727	0.0	0.0	0.0059862514	0.006858064	0.0	0.0010797717
segsize20	0.0	0.0	0.0	0.0	0.0	0.0009364271	0.007760436	0.0	0.00043045753
segsize21	0.0	4.0753e-41	9.6760086e-05	0.0	0.0	0.0016808461	0.012820711	0.0	0.0032624598
segsize22	4.1966817e-07	3.193951e-09	0.0	0.0	0.0	0.0	0.018682197	0.0	0.0
changepoint1	0.100628935	0.0032186918	0.0	0.0	0.0026625623	0.00082756375	0.014611148	0.019030789	0.0
changepoint2	0.21762033	1.362109e-35	5.512405e-32	0.0	0.010662065	0.008928728	0.0116931945	0.0	0.0
changepoint3	0.0	0.024534898	0.0	0.0	0.1773109	0.085275784	0.0066768723	0.0	0.0
changepoint4	0.0	0.005235132	0.023508888	0.07473838	0.11600398	0.061387032	0.011951149	0.0	0.0
changepoint5	0.0	0.0	0.096882634	0.91568553	0.02099746	0.02090207	0.0015026457	0.0	0.0
changepoint6	0.0	0.0	0.060698155	0.0	4.333175e-24	0.0012038085	0.0011879188	0.0	0.0
changepoint7	0.0	0.0	0.041848265	0.0	0.0	0.0	0.0013096763	0.0	0.0
changepoint8	0.0	0.0	0.037932243	0.0	0.0	5.3193878e-33	0.000875648	0.0	0.006751515
changepoint9	0.0	3.366832e-06	0.023881229	0.0	2.2879522e-05	4.554838e-12	0.0003054127	0.0	0.08817671
changepoint10	0.0	0.0	0.005690956	0.0	0.0	0.0	3.0517125e-05	0.0	0.6382764
bp10MB1	6.813902e-37	0.59029955	0.027467933	0.0	0.018940475	0.22067855	0.55056757	0.0	0.0
bp10MB2	0.11062228	0.23631941	0.053152204	0.0	0.06306327	0.24407376	0.21068735	0.0	0.0
bp10MB3	0.026236087	0.009294201	0.04868922	0.0	0.072593205	0.020346498	0.0034162323	0.027205916	0.0
bpchrarm1	0.0	0.0771274	0.0	0.0	0.0	0.0	0.06769482	0.0	0.0
bpchrarm2	0.0024610122	0.035881888	4.948695e-32	0.0	0.0	0.042208254	0.039922334	0.0	0.0
bpchrarm3	0.013777433	0.005373114	0.009987127	1.9487703e-19	0.011359867	0.035102163	0.0004956299	4.5065103e-09	0.0
bpchrarm4	0.002023858	0.0	0.0064189285	0.0	0.01273883	0.0	0.0	0.0	0.0
bpchrarm5	0.0	0.0	6.505627e-05	0.0	0.0015225189	0.0	0.0	0.0	0.009744361
osCN1	0.24661793	0.0	0.18555936	0.0	0.09734034	0.048221715	0.0	1.1237699e-29	0.2403998
osCN2	0.028778685	0.0	0.05316098	0.0	0.058239404	0.018212099	0.0	0.07327727	1.784e-42
osCN3	0.0	3.979478e-07	0.0006425123	0.0037582673	0.0064311377	0.0	0.0	0.0023227548	0.0
