	W1	W2	W3	W4	W5	W6	W7	W8	W9
segsize1	0.0	0.004463289	0.0	0.01586512	0.0008075554	0.0027410968	0.0	0.020279452	0.06820995
segsize2	1.0828961e-12	0.010025047	0.0	0.019998886	0.00035284838	0.0017577367	0.0	0.024925312	0.06314587
segsize3	0.026375875	0.028742367	0.0	0.040146925	0.0	0.00089556375	0.0	0.057572614	0.07587654
segsize4	0.05586484	0.040592484	0.0	0.06419236	0.0	0.0	0.024095291	0.1115123	0.08945065
segsize5	0.020739578	0.005014933	0.0	0.019315265	4.246722e-08	0.0	0.049925372	0.076291874	0.030031834
segsize6	1.1923972e-21	0.0	0.0	8.6e-43	0.0014120907	0.0	0.060746204	0.044391938	0.010394061
segsize7	0.0	0.0	0.0	0.0	0.0025034146	0.0075958143	0.061110664	0.013675715	0.0
segsize8	0.0	0.0	0.0	0.0	0.000992409	0.012924666	0.03554858	0.00021362267	0.0
segsize9	0.0	0.0	0.0	0.0	0.00065198663	0.010016544	0.019389631	0.0	0.0
segsize10	0.0	0.0	0.0	0.0	0.00022340563	0.01964796	0.026356539	0.0	1.0608307e-18
segsize11	0.0	0.0	0.0	5.3071257e-29	0.0	0.02600915	0.023345537	0.0	0.0
segsize12	0.0	1.047625e-06	0.0	3.1296632e-30	0.0	0.02948253	0.019070107	0.0	0.0
segsize13	0.0003584095	4.6066937e-08	0.0	0.009886112	0.00013033678	0.022083068	0.009488938	0.0	0.0
segsize14	0.010416238	0.00013877462	0.0	0.014015697	0.0002707096	0.014768867	0.003490644	0.0	0.0
segsize15	0.03322145	0.0065091057	0.0	0.023345372	0.0010342579	0.023535602	0.0	0.0	0.0
segsize16	0.016692188	2.402295e-13	0.084377885	0.0111778295	0.0016120753	0.00989872	0.0	0.0	0.0
segsize17	0.014362579	0.0	0.101802446	0.0050537204	0.0021947671	0.014959017	0.0	0.0	0.002006926
segsize18	0.024572788	0.0	0.063154325	0.0	0.0026648995	0.006221413	0.0	0.0	0.0
segsize19	0.010975441	0.0	0.07614487	0.0	0.0021196378	0.0057936213	0.0	0.0	2.8978622e-38
segsize20	0.0027104279	0.0	0.1320116	0.0	0.0015580028	0.0014786797	0.0	0.0	0.0005070337
segsize21	0.0083048325	0.0	0.18527621	0.0	0.003612586	0.002079265	0.0	0.0	0.0010308573
segsize22	0.0	4.0061835e-27	0.35584965	0.0	0.004050214	0.0	0.0	0.0	0.0
changepoint1	0.0	0.29519892	0.0	0.007173945	0.0075399852	0.0070577906	2.246755e-05	0.006496335	0.0
changepoint2	0.0	0.520885	0.0	0.0	0.0019399457	0.023165613	0.014744494	0.0	0.0
changepoint3	0.0	0.0	0.0	0.0	0.0073118773	0.07078545	0.01836423	0.31079796	0.0
changepoint4	0.0	0.0	4.693938e-15	0.124985	0.0063454304	0.04586925	0.044148993	0.14891465	0.0
changepoint5	0.026951566	0.0	0.0	0.5586953	0.0	0.0127646495	0.065718405	5.628436e-05	0.0
changepoint6	0.22751153	0.0	0.0	0.025512729	0.0	6.733172e-16	0.017958978	0.0	0.0
changepoint7	0.22192048	0.0	0.0	0.0	0.0	0.0	0.007188797	0.0	0.0
changepoint8	0.17580973	0.0	0.0009785494	6.173056e-07	4.759628e-05	0.0	0.007203023	0.0	0.015814831
changepoint9	0.10695241	0.0	1e-45	0.0	3.329126e-05	0.0	0.0042789103	0.0	0.05009246
changepoint10	0.008125269	0.0	0.0004044837	0.0	2.2632445e-37	1.6160455e-25	0.0014539581	0.0	0.29952458
bp10MB1	1.34205e-40	0.0	0.0	0.0	0.5974825	0.19594088	0.035856623	5.538843e-06	0.0
bp10MB2	0.0	0.0	0.0	0.0	0.23171744	0.23373073	0.0930827	0.016261829	0.0
bp10MB3	6.42683e-08	0.0	0.0	0.027968243	0.0048940093	0.021132998	0.05696035	0.08027251	0.026251765
bpchrarm1	0.0	0.0	0.0	0.0	0.07441992	0.0	0.0018885005	0.0	0.0
bpchrarm2	0.008133958	0.0	0.0	0.0	0.04003204	0.038655177	0.0	0.0	0.0
bpchrarm3	2.2629149e-07	0.0	0.0	0.015834574	0.0013141021	0.032495793	0.0091645755	0.019894898	5.9822713e-05
bpchrarm4	3.0372185e-08	1.1149603e-30	0.0	0.0	0.0	0.0	0.011799632	0.0071195755	0.0012028792
bpchrarm5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002350647	0.005699166
osCN1	4.7604718e-29	0.08842894	0.0	0.0	0.0007306706	0.084301956	0.21612923	4.6665644e-23	0.20825054
osCN2	2.0261236e-10	0.0	0.0	0.013867945	0.0	0.022210335	0.060608957	0.04876157	0.05221284
osCN3	1.4046839e-07	0.0	0.0	0.0029643064	0.0	0.0	0.0008596914	0.010205322	0.00023742013
