	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.16383584	0.006398035	0.0	0.0	0.00041660032	0.0	0.0005209342	0.0
segsize2	0.0	0.0	0.15186521	0.00531554	0.0	0.0	0.0004396377	0.004004434	0.0012726354	0.0
segsize3	1e-44	0.018700887	0.1642761	0.010607034	0.0	0.0	0.0	0.03151336	0.0013804489	0.01417068
segsize4	0.015147937	0.05298701	0.13574335	0.034580156	0.0	0.0	0.00063564663	0.09789937	0.0	0.047164794
segsize5	0.0	0.022819636	2.4134285e-11	0.050537344	0.0	0.0	0.0021374163	0.08728772	0.0	0.021536283
segsize6	0.0	0.0	0.0	0.05702846	0.00051473785	0.0	0.0023838421	0.061631642	0.0	0.007177704
segsize7	0.0	0.0	0.0	0.058075733	0.0014620109	0.0	0.0041259704	0.026749251	0.007854173	0.0
segsize8	0.0	0.0	0.0	0.033765096	0.00061111676	0.0	0.0016555008	0.006502657	0.013026064	0.0
segsize9	0.0	0.0	0.0	0.018882582	0.0005147589	0.0	0.0009906747	0.0011474141	0.010233789	0.0
segsize10	0.0	0.0	0.0	0.025926556	0.00016058309	0.0	0.0006799116	1.228e-42	0.019839711	0.0
segsize11	0.0	0.0	0.0	0.022275537	0.0	0.0	0.0	0.0	0.02618258	0.0017527898
segsize12	0.0	0.0	0.0	0.01753585	0.0	0.0	0.0	0.0	0.029186862	0.0057351654
segsize13	0.0	2.8629e-41	0.0	0.008917909	0.00029612985	0.0	0.0	0.0	0.021583943	0.011352045
segsize14	0.0	0.009498901	0.0	0.0032616383	0.00065576984	0.0	0.0	0.0	0.014358173	0.013895733
segsize15	5.2097996e-17	0.033570573	0.0	0.0	0.0025193633	0.0	0.0	0.0	0.022834785	0.01802684
segsize16	0.0	0.013931795	0.0	0.0	0.0064684036	0.0	0.0	0.0	0.008890592	0.007810476
segsize17	0.0	0.011787805	0.0	0.0	0.0083032055	0.0026457226	0.0	5.3046336e-09	0.013424978	0.0
segsize18	0.0	0.02208821	0.0	0.0	0.0067675365	0.0	0.0001592152	0.0	0.005330073	0.0
segsize19	0.0	0.008636896	0.0	0.0	0.006638493	0.0	0.0	0.0	0.0046448233	0.0
segsize20	0.0	0.0	0.0	0.0	0.0077117025	0.0	0.0	0.0	0.00076090667	0.0
segsize21	0.0	0.0048804777	0.0	0.0	0.012752261	0.0	0.0	0.0	0.0011411227	0.0
segsize22	0.0	0.0	0.0	8.5033825e-08	0.018491376	0.0	0.0	0.0	0.0	0.0
changepoint1	0.34850642	0.0	0.015546046	3.136595e-29	0.009234099	0.0	0.0028090454	0.0043165977	0.008194993	0.0
changepoint2	0.6363456	0.0	0.0	0.014566844	0.002423728	0.0	0.00053583126	0.0	0.02376257	0.0
changepoint3	0.0	0.0	0.0	2.5078955e-38	0.0053754887	0.0	0.01371963	0.3111264	0.077773385	0.0
changepoint4	0.0	0.0	0.0	0.028677776	0.008687179	0.0	0.0018322916	0.16929345	0.048704095	0.12744233
changepoint5	0.0	0.0009473354	0.0	0.06329901	0.0028255002	0.0	0.0	0.012284558	0.010039834	0.612049
changepoint6	0.0	0.23203439	0.0	0.020799894	0.0	0.0	0.0	0.0	1.9387187e-05	0.03784303
changepoint7	0.0	0.23206691	0.0	0.010042619	0.0002666525	0.0	0.0	0.0	0.0	0.0
changepoint8	0.0	0.19283557	0.0	0.0097879665	0.0003006523	0.02150487	0.0	0.0	0.0	0.0
changepoint9	0.0	0.12372144	0.0	0.005780582	0.000102502636	0.119827926	0.0	2.8849514e-15	0.0	0.0
changepoint10	0.0	0.01826502	6.6775196e-05	0.001884904	1.5223947e-05	0.84263176	1.7954618e-06	0.0	0.0	0.0
bp10MB1	0.0	0.0	0.0	0.026171358	0.5662082	0.0	0.5979919	3.6458448e-07	0.20505755	0.0
bp10MB2	0.0	0.0	0.0	0.080263235	0.21674481	0.0	0.24064456	0.024837263	0.23553783	0.0
bp10MB3	0.0	2.3384497e-25	0.044617005	0.054871842	0.0030240398	0.0	0.008473242	0.08053978	0.021519164	0.036066927
bpchrarm1	0.0	0.0	0.0	0.0020052781	0.06959026	0.0	0.076510176	0.0	0.0014359939	0.0
bpchrarm2	0.0	1e-45	0.0	0.0	0.04035119	0.0	0.03666374	0.0	0.036940042	0.0
bpchrarm3	0.0	0.0007119478	0.0042188056	0.007864006	0.0	0.0	0.0051679695	0.012598733	0.03223125	0.028622672
bpchrarm4	0.0	0.0	0.0003641091	0.011161565	0.0	0.0	0.0	0.010116072	0.0	0.0
bpchrarm5	0.0	5.190012e-08	0.0	0.0	0.0	0.013389789	0.0	0.0026606056	0.0	0.0
osCN1	0.0	0.0	0.23352903	0.2451643	0.0009829835	0.0	0.0020254373	0.0	0.07547437	0.0
osCN2	0.0	0.0	0.0854385	0.06405069	0.0	0.0	0.0	0.04487581	0.020843	0.005923568
osCN3	8.767e-42	0.0005150894	0.0004992039	0.0005005711	0.0	0.0	0.0	0.010614542	0.0	0.003429988
