	W1	W2	W3	W4	W5	W6	W7	W8	W9
segsize1	0.0	0.0056166076	0.028935958	0.0	0.012587726	0.0	0.015592882	0.06189066	0.0
segsize2	0.0	0.004030248	0.02736878	0.0003172094	0.013621523	0.0	0.01983557	0.057816207	0.0
segsize3	0.011539394	0.0014494684	0.05177747	2.2638972e-20	0.0301464	0.0	0.05411141	0.07356168	0.0
segsize4	0.042285968	0.0	0.0829709	0.0	0.049305048	0.0	0.11629716	0.09423573	0.017439593
segsize5	0.013401314	0.0016547092	0.023735998	0.0	0.0050926986	0.0	0.07885034	0.033636235	0.04803627
segsize6	0.0	0.0022737745	0.0	0.0	0.0	0.0011903481	0.04756035	0.013057813	0.060059454
segsize7	0.0	0.0047597145	0.0	0.0071457596	0.0	0.001750763	0.01387913	0.0	0.06283037
segsize8	0.0	0.0021259214	0.0	0.012722964	0.0	0.0006933086	1.0316642e-13	0.0	0.03698625
segsize9	0.0	0.0009747906	0.0	0.0097429305	0.0049997736	0.00049312937	0.0	0.0	0.020039598
segsize10	0.0	0.00060406787	0.0	0.01940089	0.005430838	0.00013905004	0.0	1.506598e-39	0.02745027
segsize11	0.0	1e-45	9.722241e-09	0.026338376	2.629765e-30	5.9270557e-36	0.0	0.0	0.024789786
segsize12	0.0	0.0	0.0054554637	0.029163724	0.0064193467	0.0	0.0	0.0	0.019487571
segsize13	0.0	0.0	0.008689827	0.022151977	3.0153217e-08	0.00041188128	0.0	0.0	0.0103469435
segsize14	0.0053017642	0.0	0.013036897	0.014836839	0.0	0.00067188405	0.0	2.6377438e-36	0.0043157763
segsize15	0.028271357	0.0	0.018100841	0.023758186	0.00491188	0.0023389927	0.0	0.0	0.0011744397
segsize16	0.011770262	0.0	0.0085864365	0.009485338	0.00062117423	0.0062071024	0.0	6.6987893e-10	0.00043560698
segsize17	0.0	0.0	0.003393386	0.0148532735	1e-45	0.0079113925	0.0	0.0038754914	0.0005070108
segsize18	0.0233355	0.00025691494	0.0	0.006205569	0.0	0.006394458	0.0	0.00015054639	0.0
segsize19	0.0	0.0	0.0032493144	0.0055780956	0.0	0.006250455	0.0	0.001690356	0.0
segsize20	0.0	0.0	0.0	0.0009677714	0.0	0.0074752825	0.0	0.0011334755	0.0
segsize21	0.0025498497	0.0	0.0	0.001560447	0.0	0.01240464	0.0	0.0024683976	0.0
segsize22	0.0	0.0	0.0	0.0	1.9271197e-06	0.01840371	0.0	0.0	2.6789317e-22
changepoint1	0.0	0.0029858702	0.0023563458	0.0073564383	0.2698185	0.009331679	0.00805208	0.0	1.141228e-15
changepoint2	0.0	1.8226537e-11	0.0	0.022672918	0.4887765	0.0029977136	0.0	0.0	0.015653089
changepoint3	0.0	0.009618674	0.0	0.07501408	0.0	0.0069401395	0.3163771	0.0	0.012517956
changepoint4	0.0	2.0500818e-07	0.09456577	0.045869786	0.0	0.010873653	0.16016132	0.0	0.04155186
changepoint5	0.0	0.0	0.48393422	0.0029896584	0.0	0.0076877954	1.976169e-13	0.0	0.070799634
changepoint6	0.26029277	0.0	0.033837195	0.0	0.0	6.140933e-11	0.0	0.0	0.018191855
changepoint7	0.2664033	0.0	0.003176463	0.0	0.0	0.0	0.0	0.0	0.00754675
changepoint8	0.20680256	0.0	0.005107326	0.0	0.0	6.875538e-05	0.0	0.017733503	0.007168418
changepoint9	0.12488637	0.0	0.0	0.0	0.0	9.931391e-05	0.0	0.05279343	0.0045251655
changepoint10	0.0031594913	0.0	0.0	0.0	0.0	6.731446e-05	0.0	0.2972962	0.0016481334
bp10MB1	0.0	0.5897753	0.0	0.20646116	0.0	0.5618384	5.818451e-17	0.0	0.026814677
bp10MB2	0.0	0.24051566	1.0965e-40	0.23967266	0.0	0.21461686	0.0037977733	0.0	0.09932363
bp10MB3	4.33e-43	0.009428675	0.04184562	0.020366337	6.027961e-13	0.0034808828	0.0791645	0.023806285	0.056081623
bpchrarm1	0.0	0.07452286	0.0	2.945284e-31	1e-45	0.07016807	0.0	0.0	7.221209e-05
bpchrarm2	1e-45	0.036750354	0.0	0.040270336	0.0	0.039093003	0.0	0.0	6.962079e-16
bpchrarm3	0.0	0.0053594452	0.027904147	0.032267597	0.0	0.0	0.013245115	0.0	0.010386486
bpchrarm4	0.0	0.0	0.0	0.0	1.3651993e-07	0.0	0.008400965	0.0014452422	0.011508402
bpchrarm5	0.0	0.0	0.0	0.0	0.0	0.0	0.0024020365	0.005438013	0.0
osCN1	0.0	0.0062699215	0.0	0.08158295	0.10825895	5.3647965e-20	0.0	0.20729877	0.2225699
osCN2	0.0	0.0010267788	0.028296988	0.02124675	0.0	0.0	0.051759	0.050672036	0.05918699
osCN3	0.0	0.0	0.0036746059	0.0	7.4853483e-06	0.0	0.010513173	0.0	0.000554237
