	W1	W2	W3	W4	W5	W6	W7	W8	W9
segsize1	0.0	0.00630793	0.0	0.16436993	8e-45	0.0	0.0006230873	0.0	0.0
segsize2	4.825683e-32	0.005260001	0.0	0.15189408	0.0039621308	0.0	0.0013027338	0.0	0.0
segsize3	0.0134914	0.011327898	0.0	0.16255343	0.028955713	8.3532166e-23	0.0011079368	0.012919054	0.0
segsize4	0.040301632	0.036245316	0.0	0.1339253	0.09040884	0.014030311	2.6756055e-31	0.04124773	0.0
segsize5	0.017319895	0.05107483	0.00024629917	0.0058482066	0.08219897	3.287831e-27	2.173065e-17	0.017769752	1.13800334e-20
segsize6	6.71983e-06	0.056476947	0.00091176643	0.0	0.05594025	0.0	0.002365621	0.0	0.0
segsize7	0.0	0.05688897	0.0021175258	0.0	0.026523676	0.0	0.008998229	0.0	0.0
segsize8	0.0	0.033296786	0.00085791823	0.0	0.006704527	4.01214e-36	0.0136695085	0.0	0.0
segsize9	0.0	0.018610736	0.0006065733	0.0	0.0014468726	0.001920676	0.010509206	0.0	0.0
segsize10	1.1008408e-19	0.025775475	0.00027766475	0.0	0.0005612064	5.008559e-12	0.020177575	0.0	0.0
segsize11	0.0036339706	0.02231092	0.0	0.0	8.656349e-15	3.2985782e-30	0.026170434	0.0	0.0
segsize12	0.0068135774	0.017903708	0.0	0.0	2.7032254e-34	1.619127e-20	0.028906096	0.0	0.0
segsize13	0.013212192	0.009113319	0.00018229595	0.0	0.0	8.880218e-22	0.021119632	2.8113172e-05	0.0
segsize14	0.017121173	0.003248112	0.00026633404	0.0	2.6460054e-08	3.4242494e-11	0.013877413	0.010800206	0.0
segsize15	0.02795671	0.0	0.0010971298	0.0	0.0	0.00478376	0.021842161	0.033895534	0.0
segsize16	0.02012931	0.0	0.0037249036	0.0	0.0	0.0017272643	0.008124757	0.018977815	0.0
segsize17	0.022146223	0.0	0.004593229	0.0	0.0	3.67e-43	0.012357095	0.018275509	2.9592493e-05
segsize18	0.0065664067	0.0	0.0042546242	0.0	0.0	0.0	0.005152598	0.027895762	0.0
segsize19	0.011135511	0.0	0.0039936933	0.0	0.0	0.0	0.004293352	0.011546195	0.0
segsize20	0.00522945	0.0	0.0050821346	0.0	0.0	0.0010305585	0.0004527721	0.005836561	0.0
segsize21	0.0056168446	0.0	0.00844881	0.0	0.0	0.0	0.0010098907	0.015545452	5.4770246e-37
segsize22	0.0	0.0	0.013599756	0.0	0.0	0.0	0.0	0.0	0.0
changepoint1	0.0019229996	1.0151361e-07	0.007113146	0.012028014	0.0027000154	0.35111475	0.008207207	0.0	0.0
changepoint2	0.0	0.013467745	0.001503141	0.0	1.0541518e-17	0.62539	0.024267437	0.0	0.0
changepoint3	0.0	7.4822147e-16	0.0069103558	0.0	0.2936324	0.0	0.07625415	0.0	0.0
changepoint4	0.14340921	0.028574435	0.0052436846	0.0	0.15767784	0.0	0.045746364	0.0	0.0
changepoint5	0.5530237	0.06255151	2.688342e-25	0.0	0.023304118	0.0	0.005168817	4e-45	0.0
changepoint6	0.03575008	0.021728847	0.0	0.0	0.0	0.0	8.810895e-28	0.21341564	0.0
changepoint7	0.0009575819	0.009699044	0.0	0.0	0.0	0.0	0.0	0.2314941	0.0
changepoint8	0.0045888065	0.009539341	2.2645949e-05	0.00032935696	0.0	0.0	4.74848e-38	0.1880062	0.01808005
changepoint9	0.0	0.0059949583	6.186293e-05	0.0	1.5048263e-08	0.0	0.0	0.12514845	0.1118818
changepoint10	0.0	0.0022777996	6.656156e-06	0.00011044541	1.5385318e-37	0.0	0.0	0.027190391	0.8585122
bp10MB1	1.5714345e-36	0.027330026	0.58282256	7.3e-44	0.028675187	0.0	0.20739214	0.0	0.0
bp10MB2	2.4514211e-15	0.079204984	0.2267043	0.0	0.04165309	0.0	0.23548284	0.0	0.0
bp10MB3	0.023031194	0.05463519	0.00438522	0.050392713	0.07777556	0.0	0.02192776	4.6377052e-29	0.0
bpchrarm1	0.0	0.0031267055	0.072568774	0.0	1.6566192e-20	2.1320694e-19	0.002114874	0.0	0.0
bpchrarm2	7.3038144e-33	0.0	0.03999673	0.0	2.0965e-41	0.0	0.037534714	7.524515e-06	0.0
bpchrarm3	0.019203935	0.007022078	0.0011666832	0.012102936	0.016423017	0.0	0.031846575	1.5678315e-11	0.0
bpchrarm4	0.0	0.011466326	0.0	0.0003318572	0.009059306	2.4006346e-07	0.0	0.0	0.0
bpchrarm5	0.0	0.00049333845	0.0	0.0	0.0016895753	0.0	0.0	0.0	0.011496295
osCN1	0.0	0.24377221	0.0012336192	0.22372189	1.562386e-39	2.4378514e-06	0.08048721	0.0	0.0
osCN2	0.004997809	0.06468236	0.0	0.08177487	0.040915508	0.0	0.02150979	1.67081e-40	0.0
osCN3	0.0024336868	0.00059210305	0.0	0.00061707356	0.009792242	0.0	0.0	0.0	0.0
