	W1	W2	W3	W4	W5	W6	W7	W8	W9
segsize1	0.0	0.2892494	0.0021666326	0.0019858615	0.00084381935	0.0	0.0056730914	0.012139653	0.0
segsize2	0.00048275787	0.2685881	0.0051576155	0.0017618337	0.00058747997	0.0	0.005027325	0.011237615	0.0
segsize3	0.0019482158	0.27107477	0.024841607	0.0017190416	4.2557735e-07	0.0	0.008506096	0.027010556	0.0007440488
segsize4	2.6975208e-15	0.12313047	0.07949807	0.011030793	0.0018778661	0.0	0.026178412	0.069449805	0.0012289541
segsize5	0.0	0.0	0.077506706	0.012704356	0.0014448671	0.0	0.024389718	0.06223339	0.0
segsize6	0.0	0.0	0.06498571	0.020686513	0.0009054274	0.0	0.02536536	0.05147669	0.0
segsize7	0.0013910631	0.0	0.044268783	0.036938943	0.002793684	0.0	0.036537908	0.034585413	1.0871412e-37
segsize8	0.008008271	0.0	0.018797757	0.03052168	0.0007327412	0.0	0.025807805	0.012700315	0.0
segsize9	0.0062399483	0.0	0.008386101	0.022133823	0.0006346182	0.0	0.016989667	0.003281618	4.1555213e-05
segsize10	0.013315686	0.0	0.009016714	0.034575123	0.0	0.0	0.025534723	0.0047702827	0.0
segsize11	0.02018036	0.0	0.00616697	0.031303607	0.0	0.0	0.027799096	0.0	0.0
segsize12	0.024425464	0.0	0.0023673926	0.029823024	0.0	0.0	0.025718737	0.0	0.0
segsize13	0.019813724	0.0	0.0	0.015748208	0.000119906654	0.0	0.016728364	2.2615312e-09	0.0005103272
segsize14	0.014718611	0.0	0.0	0.005459911	0.0	0.0	0.009640113	0.00054557325	0.0012503279
segsize15	0.025174813	0.0	0.0	0.004428938	0.0	0.0	0.007814221	0.0033107537	0.0040934077
segsize16	0.010554352	0.0	0.0	0.00044590008	0.0	0.0	0.0023221744	0.00252095	0.007924926
segsize17	0.016269812	0.0	0.0	2.94553e-05	0.0	0.0	0.0006787154	0.0036833985	0.009695471
segsize18	0.00701334	0.0	0.0	0.0	0.0005678323	0.0	0.0	0.0061799074	0.007535357
segsize19	0.0060084504	0.0	0.0	0.0	0.00033683277	0.0	0.0	0.0022528735	0.0074174474
segsize20	0.0009371857	0.0	0.0	0.0	0.0	0.0	0.0	0.0011223212	0.008675554
segsize21	0.0016236809	0.0	0.0	0.0	0.0010516715	0.0	0.0	0.003198396	0.01357026
segsize22	0.0	0.0	0.0	0.0	0.0017618331	0.0	0.0	0.0	0.020219745
changepoint1	0.0014039353	1.6638061e-09	5.0381873e-27	0.100441836	0.005931264	0.0	0.0	0.0	0.0148686245
changepoint2	0.010926854	0.0	0.0037522023	0.21379484	0.0011832841	0.0	0.0	0.0	0.012439387
changepoint3	0.100125164	0.0	0.190863	0.0	0.020274859	0.0	0.0	0.0	0.0019392784
changepoint4	0.054342885	0.0	0.11881072	0.0	0.0041672746	0.0	0.055893313	0.0	0.014486366
changepoint5	0.0	0.0	0.016299194	0.0	0.0	0.0	0.19300158	0.0	0.023387447
changepoint6	0.0	0.0	0.0	0.0	0.0	0.0	0.04251029	0.0607396	0.0012671147
changepoint7	0.0	0.0	0.0	0.0	0.0	0.0	0.01701161	0.070604615	0.000776067
changepoint8	0.0	0.0	0.0	0.0	0.0	0.0	0.013057565	0.070038736	0.00052942307
changepoint9	0.0	0.0	0.0009803021	0.0	0.0	0.0	0.004482187	0.06750623	0.00015299344
changepoint10	0.0	0.0	0.00030156618	0.0	7.2285314e-07	0.9907336	0.00047814444	0.047581233	0.0
bp10MB1	0.25013518	0.0	0.016122522	0.0	0.5934019	0.0	0.03297601	0.0016093098	0.5362043
bp10MB2	0.24994639	0.0	0.043779742	0.09497298	0.23441786	0.0	0.1071017	0.0	0.2032704
bp10MB3	0.01855298	1e-45	0.07723809	0.03045206	0.008031012	0.0	0.0445314	0.04212579	0.0027628667
bpchrarm1	8.0472294e-27	0.0	0.0	0.0	0.08085667	0.0	0.0	0.0	0.0652747
bpchrarm2	0.04744255	0.0	0.0	0.0	0.03388961	0.0	0.0	0.0013827457	0.03963605
bpchrarm3	0.03290738	1e-45	0.008469026	0.011382181	0.004185284	0.0	0.021624075	0.0	9.7311495e-05
bpchrarm4	0.0	0.0	0.0135934055	0.003088374	0.0	0.0	0.004641327	0.0058178715	0.0
bpchrarm5	0.0	0.0	0.0015207179	0.0	0.0	0.009266393	0.0	0.0016755689	0.0
osCN1	0.04125563	0.0	0.09658194	0.25116873	0.0	0.0	0.12269538	0.27074102	0.0
osCN2	0.014850642	0.04502594	0.06140825	0.033402022	0.0	0.0	0.04808325	0.04847773	0.0
osCN3	4.7487074e-06	0.0029312565	0.0071192603	0.0	1.2581685e-06	0.0	0.0012006595	0.0	3.212677e-07
