	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.15537503	0.0068626506	0.0	0.0	0.0	0.0	2.6363944e-11	0.0005033595
segsize2	0.0040005096	1.3088447e-29	0.14315909	0.0054424	0.0	0.0	0.0	0.0	0.0010935258	0.0004932265
segsize3	0.03184941	0.01774973	0.15639225	0.0097690355	0.0	0.014251561	0.0	2.4829967e-13	0.001360628	1.4252119e-38
segsize4	0.09924481	0.057983	0.13318095	0.03018928	0.0	0.0477032	0.0	0.021930452	1.8218e-41	0.00062114187
segsize5	0.087772176	0.028590603	0.011336319	0.047273207	0.0	0.02119702	0.0	5.0249997e-19	0.0	0.0021400966
segsize6	0.0611594	1.1606666e-26	0.0	0.0550548	0.000492298	0.006338498	0.0	0.0	0.0015139846	0.002267556
segsize7	0.027417613	0.0	0.0	0.058211707	0.0015756219	0.0	0.0	0.0	0.007555063	0.004051034
segsize8	0.0065613096	0.0	0.0	0.034602378	0.00066051946	0.0	0.0	0.0	0.012589527	0.0016081838
segsize9	0.0011249027	0.0	0.0	0.019568782	0.0005447018	0.0	0.0	0.0	0.009906098	0.0009543582
segsize10	6.628255e-10	0.0	0.0	0.027183818	0.000191836	0.0	0.0	0.0	0.019246643	0.00062802224
segsize11	9.86668e-40	0.0	0.0	0.023559233	0.0	0.0030785617	0.0	0.0	0.025468884	0.0
segsize12	0.0	0.0	0.0	0.018826818	0.0	0.00720979	0.0	1e-45	0.028441807	0.0
segsize13	0.0	4.1437465e-11	0.0	0.009590774	0.00023440647	0.013157585	0.0	2.58816e-40	0.021142647	0.0
segsize14	0.0	0.009041006	0.0	0.0035517798	0.0005330987	0.015765112	0.0	3.3e-43	0.01411108	0.0
segsize15	0.0	0.03225128	0.0	1.2187431e-07	0.0022084888	0.021757895	0.0	0.0029000535	0.022593042	0.0
segsize16	0.0	0.013552748	0.0	0.0	0.006279957	0.010149855	0.0	0.0	0.008843931	0.0
segsize17	5.4175e-09	0.012368382	0.0	3.3080733e-32	0.008042186	0.0032310092	0.002446233	0.0	0.013437848	0.0
segsize18	0.0	0.02168537	0.0	0.0	0.006674732	0.0	0.0	0.0	0.0054692826	0.00012620419
segsize19	0.0	0.008950939	0.0	0.0	0.0065364996	0.0	0.0	0.0	0.004785216	0.0
segsize20	0.0	0.0020446698	0.0	0.0	0.0076363827	0.0	0.0	0.0	0.0007225402	0.0
segsize21	0.0	0.0059003294	0.0	0.0	0.012669351	0.0	1e-45	0.0	0.0011995356	0.0
segsize22	0.0	0.0	0.0	1.03937175e-07	0.018558266	0.0	0.0	0.0	0.0	0.0
changepoint1	0.0043365066	0.0	0.015579254	3.1406023e-16	0.0091521675	0.0	0.0	0.3455917	0.008337567	0.0024057063
changepoint2	1.2461464e-32	0.0	0.0	0.015474931	0.002304567	0.0	0.0	0.6283806	0.02369975	1.7298878e-09
changepoint3	0.3016213	0.0	0.0	2.2104595e-33	0.0056435103	0.0	0.0	0.0	0.079918474	0.014280527
changepoint4	0.16857557	0.0	0.0	0.027429957	0.008766763	0.12395549	0.0	0.0	0.04877297	0.0021154059
changepoint5	0.024798393	3.0255995e-12	0.0	0.05919673	0.0026633495	0.5900343	0.0	0.0	0.006362193	0.0
changepoint6	0.0	0.21692981	0.0	0.019567018	0.0	0.04186352	0.0	0.0	7.6182165e-26	0.0
changepoint7	0.0	0.2324429	0.0	0.008593614	0.0	0.0	0.0	0.0	0.0	0.0
changepoint8	0.0	0.19354244	0.0020336919	0.00867683	6.8026486e-05	0.0038691135	0.0	0.0	0.0	0.0
changepoint9	0.00015676134	0.1260916	0.0	0.005201336	7.250781e-05	0.0	0.11068301	0.0	0.0	0.0
changepoint10	0.0	0.0202764	0.0	0.0019867183	0.0	0.0	0.873413	0.0	0.0	0.0
bp10MB1	3.5283487e-05	0.0	0.0	0.028199777	0.5670381	0.0	0.0	0.0	0.21101823	0.59887236
bp10MB2	0.019949583	0.0	0.0	0.08885693	0.21697621	3e-45	0.0	0.0	0.23604651	0.24110334
bp10MB3	0.08020002	2.0695569e-11	0.04749836	0.053901352	0.003154231	0.035648327	0.0	0.0	0.021391038	0.008497947
bpchrarm1	0.0	0.0	0.0	0.0016924776	0.070083	0.0	0.0	0.0	0.0018669831	0.07645186
bpchrarm2	0.0	0.00015201316	0.0	0.0	0.04012922	0.0	0.0	0.0	0.038096134	0.03665645
bpchrarm3	0.0121424105	4.445068e-07	0.0038175052	0.008788778	0.0	0.029237056	0.0	0.0	0.03182172	0.0052246973
bpchrarm4	0.010471572	3.743671e-08	0.0004381419	0.010950952	0.0	0.0	0.0	0.0	0.0	0.0
bpchrarm5	0.002683362	9.8155745e-08	0.0	0.0	0.0	0.0	0.013457739	0.0	0.0	0.0
osCN1	0.0	0.0	0.2439348	0.24803609	0.0011100172	0.0	0.0	1.5069093e-29	0.07286401	0.000998437
osCN2	0.04495261	8.0786733e-25	0.086657114	0.06375961	0.0	0.0075370385	0.0	0.0	0.020323126	0.0
osCN3	0.010946524	0.0004462009	0.00059740554	0.0	0.0	0.0040150937	0.0	0.0011972677	0.0	0.0
