	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.00023375389	0.005826941	0.0	0.0	0.15704389	0.0013116953	0.0	0.0	0.0	7.745e-42
segsize2	0.00016014761	0.004929138	0.0	0.0	0.14838319	0.0017452467	0.0	0.0	0.0	0.004022475
segsize3	0.0	0.011104779	0.0	0.013147185	0.16421637	0.0016280705	0.0	0.014649423	0.0	0.029734394
segsize4	0.0	0.036842834	0.0	0.0428461	0.1391923	1.4287191e-28	0.010700293	0.049113855	0.0	0.09319138
segsize5	2.5052031e-21	0.051979553	0.0	0.020063419	0.0084805535	0.0	0.0	0.026170794	0.0	0.085075535
segsize6	0.0006047342	0.05756078	0.0	0.0	0.0	0.002281895	0.0	0.009759782	0.0	0.057976484
segsize7	0.002150729	0.05861966	0.0	0.0	0.0	0.0096351	0.0	0.0	0.0	0.025251396
segsize8	0.0008605784	0.033921003	0.0	0.0	0.0	0.014209501	0.0	0.0	0.0	0.005978393
segsize9	0.0006127588	0.018785065	0.0	0.0	0.0	0.01087723	0.0018734849	0.0	0.0	0.0011157539
segsize10	0.00026367768	0.02587411	0.0	0.0	0.0	0.020885387	5.625621e-07	0.0	0.0	6.9416397e-09
segsize11	0.0	0.022371657	0.0	0.0	0.0	0.027235832	2.0566183e-33	2.5555042e-23	0.0	8.537312e-08
segsize12	0.0	0.01773087	0.0	0.0	0.0	0.030145695	3.5633929e-31	0.0030242924	0.0	1.0698218e-33
segsize13	0.00023099568	0.008840489	0.0	1.68e-43	0.0	0.022178823	1e-45	0.00938433	0.0	0.0
segsize14	0.00038862746	0.0030522698	0.0	0.010166624	0.0	0.014595146	1.2152637e-35	0.01374468	0.0	4.0237407e-31
segsize15	0.0013165999	0.0	0.0	0.031658947	0.0	0.023029534	0.0030691796	0.02143512	0.0	0.0
segsize16	0.0016850085	0.0	0.08751984	0.016547602	0.0	0.009492	0.0	0.009309351	0.0	0.0
segsize17	0.0023251695	0.0	0.105746366	0.016420472	0.0	0.014274582	0.0	0.002570827	0.0024693415	0.0
segsize18	0.0026789992	0.0	0.065345734	0.026514811	0.0	0.0058558392	0.0	0.0	0.0	0.0
segsize19	0.0021505859	0.0	0.0778411	0.011866301	0.0	0.005386612	0.0	6.2984324e-13	0.0	0.0
segsize20	0.0015905281	0.0	0.13134483	0.0034610888	0.0	0.0012624839	0.0	6.24796e-40	6e-45	0.0
segsize21	0.003657403	0.0	0.18410899	0.010336383	0.0	0.0017710649	0.0	0.0	2.9340652e-20	0.0
segsize22	0.00401542	0.0	0.34809312	0.0	0.0	0.0	0.0	0.0	0.0	0.0
changepoint1	0.007289129	0.00023581917	0.0	0.0	0.0112770265	0.007721369	0.3528889	0.003110377	0.0	0.0023051917
changepoint2	0.0014871545	0.013753554	0.0	0.0	0.0	0.024287688	0.6272936	0.0	0.0	1.1571022e-17
changepoint3	0.0068419026	0.0020630078	0.0	0.0	0.0	0.07077947	0.0	0.0	0.0	0.3327176
changepoint4	0.0053496393	0.028616512	0.0	0.0	0.0	0.046541188	0.0	0.15234096	0.0	0.16789016
changepoint5	0.00032657146	0.05652057	1.848e-42	2.9419099e-30	0.0	0.014645833	0.0	0.5921612	0.0	3.2480928e-12
changepoint6	0.0	0.019725014	0.0	0.2313045	0.0	8.9899346e-05	0.0	0.03585358	0.0	0.0
changepoint7	0.0	0.008992547	0.0	0.23716821	0.0	3.6294406e-07	0.0	0.00036256874	0.0	0.0
changepoint8	2.9027537e-05	0.008905553	0.0	0.1905069	9.02577e-05	2.6399088e-05	0.0	0.004538883	0.022215623	0.0
changepoint9	6.02959e-05	0.0057597314	0.0	0.12126566	0.0	0.0	0.0	0.0	0.11900117	0.0
changepoint10	1.5936826e-06	0.0018753647	0.0	0.01672585	9.469942e-05	1.6109048e-05	0.0	0.0	0.84988487	0.0
bp10MB1	0.59926075	0.030063676	0.0	0.0	0.0	0.1875509	0.0	0.0	0.0	8.010858e-09
bp10MB2	0.23269337	0.08032094	0.0	0.0	0.0	0.23092858	0.0	0.0	0.0	0.033478335
bp10MB3	0.004385854	0.055450305	0.0	0.0	0.051144715	0.022244712	0.0	0.028635433	0.0	0.08175774
bpchrarm1	0.07409398	0.0015828958	0.0	0.0	0.0	3.4e-44	0.004173926	0.0	0.0	0.0
bpchrarm2	0.04074638	0.0	0.0	1.2553163e-11	0.0	0.036515433	0.0	0.0	0.0	0.0
bpchrarm3	0.001352298	0.0066765225	0.0	1e-45	0.011855737	0.03265646	0.0	0.013998603	0.0	0.018984852
bpchrarm4	0.0	0.012097846	0.0	0.0	0.00042196733	0.0	0.0	1.2685977e-36	0.0	0.008840954
bpchrarm5	0.0	0.0013453363	0.0	0.0	0.0018564743	0.0	0.0	0.0	0.0064290185	0.0
osCN1	0.0011563682	0.24283825	0.0	0.0	0.22144802	0.085444115	5.2308285e-10	0.0	0.0	0.0
osCN2	0.0	0.06517839	0.0	0.0	0.08368516	0.022749765	0.0	0.0062741395	0.0	0.04152283
osCN3	0.0	0.00055890105	0.0	0.0	0.0008096176	0.0	0.0	0.0035618006	0.0	0.010156308
