	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.0	1.629788e-30	0.011337853	0.004375139	0.0	0.0	0.00192822	0.42096853
segsize2	0.0	0.0	4.308002e-38	0.0006453072	0.012152188	0.0023653675	0.0	0.0	0.008709726	0.34264347
segsize3	0.0077711265	0.0	0.017545776	0.0007643557	0.029326173	0.0	8.914336e-39	0.0	0.038704168	0.23638795
segsize4	0.019942125	1e-45	0.05476124	0.0	0.075654656	0.0	0.0	0.0	0.107333645	0.0
segsize5	0.004892879	0.0	0.014100613	0.0	0.062803686	0.017398153	0.0	0.0	0.08656452	0.0
segsize6	0.0056473752	0.0	0.0	9.541e-42	0.050699532	0.036539067	0.00028632875	0.0	0.059906833	0.0
segsize7	0.0066379965	0.0	0.0	0.002879528	0.03820808	0.058010563	0.0019067826	0.0	0.027542012	0.0
segsize8	4.5427426e-09	0.0	0.0	0.009225061	0.015230573	0.04552915	0.0009216377	0.0	0.0043299603	0.0
segsize9	2.1474214e-05	0.0	0.0	0.007553794	0.0061357045	0.028931666	0.00073962344	0.0	7e-45	0.0
segsize10	4.6407704e-09	0.0	0.0	0.0154857	0.008448084	0.04107425	0.00025577098	0.0	0.0	0.0
segsize11	0.0014157646	0.0	0.0	0.022043593	0.005107283	0.038884133	0.0	0.0	0.0	0.0
segsize12	4.0905327e-19	0.0	3.5719115e-33	0.026502179	0.0038426423	0.031860232	0.0	0.0	0.0	0.0
segsize13	0.005725126	0.0	0.0021721749	0.02088758	0.003118987	0.015215813	0.00016247045	0.0	0.0	0.0
segsize14	0.008308351	0.0	0.0017993567	0.014957078	0.002591405	0.006052531	0.0003715047	1.3231858e-30	0.0	0.0
segsize15	0.01580311	0.0	0.017503148	0.025598293	0.004467677	1.3431881e-12	0.00082077825	0.0	0.0	0.0
segsize16	0.0056860144	0.0	0.0036143977	0.011618608	0.0023257628	0.0	0.0013980102	0.08088437	0.0	0.0
segsize17	0.0	0.00047176296	0.0022317248	0.016890284	0.0021471302	0.0	0.0021352067	0.08924044	0.0	0.0
segsize18	0.0	0.0	0.0	0.008132023	0.0025803696	0.0	0.0023980825	0.06130433	0.0	0.0
segsize19	0.0	0.0	0.0	0.0076153846	0.0	0.0	0.0020000646	0.067023784	0.0	0.0
segsize20	0.0	0.00039836054	0.0	0.0022353004	0.0	0.0	0.0014964159	0.12536499	0.0	0.0
segsize21	0.0	2.3223214e-27	0.0	0.0035348674	0.00088179647	0.0	0.0033561806	0.17754453	0.0	0.0
segsize22	0.0	0.0	0.0	0.0	0.0	0.0	0.004285335	0.34872213	0.0	0.0
changepoint1	0.00792115	0.0	0.3012129	0.006087993	1.8215865e-15	0.0019058225	0.0068942215	0.0	0.0063038985	0.0
changepoint2	0.0	0.0	0.47163552	0.014837468	0.0	0.04309623	0.0025645138	0.0	0.0	0.0
changepoint3	0.0	0.0	0.0	0.06440942	0.0	0.056057923	0.008780444	0.0	0.24075635	0.0
changepoint4	0.15337615	0.0	0.0	0.047830466	0.017446404	0.045618627	0.0061398316	2.428751e-20	0.13347694	0.0
changepoint5	0.69561815	0.0	0.0	0.01713547	0.07985376	0.017794918	0.0	0.0	0.0074012703	0.0
changepoint6	0.046349626	0.0	0.0	0.0010457801	0.067215584	0.0047441097	0.0	0.0061327955	0.0	0.0
changepoint7	0.0	0.0	0.0	0.0002585862	0.05614483	1e-45	0.0	0.026238084	0.0	0.0
changepoint8	0.0	0.0	0.0	0.00040800154	0.051201075	0.000113266404	3.7089364e-07	0.014518461	0.0	0.0
changepoint9	0.0	0.045386493	0.0	9.791031e-06	0.03822494	0.0	8.391826e-05	0.0030260778	0.00022729425	0.0
changepoint10	0.0	0.9432298	0.0	0.0	0.011795591	2.955167e-23	1.9849344e-05	0.0	0.0	0.0
bp10MB1	0.0	0.0	0.0	0.24605097	0.00020813619	0.02102305	0.5982361	0.0	0.02045334	0.0
bp10MB2	0.0	0.0	0.0	0.24472404	2.634958e-06	0.14043511	0.23193003	0.0	0.031612206	0.0
bp10MB3	0.009790966	0.0	3.8034e-41	0.017878639	0.053367235	0.047200922	0.0047935927	0.0	0.08331802	0.0
bpchrarm1	0.0	0.0	0.0	4.1032706e-09	0.0	4.0039087e-34	0.078343555	0.0	0.0	0.0
bpchrarm2	0.0	0.0	2.86e-42	0.045623586	0.0	0.0	0.038080502	0.0	0.0	0.0
bpchrarm3	2.68e-43	0.0	0.0	0.03179759	0.0025973108	0.018255005	0.0015989057	0.0	0.014987803	0.0
bpchrarm4	0.0	0.0	0.0	0.0	0.0062656114	0.010966837	0.0	0.0	0.008506197	0.0
bpchrarm5	0.0	0.010513568	0.0	0.0	0.00091143494	0.0	0.0	0.0	0.0016933025	0.0
osCN1	0.0	9.347935e-36	0.11342308	0.050239623	0.21483175	0.21274194	1.6804446e-31	0.0	0.048371285	0.0
osCN2	0.0016510106	0.0	0.0	0.015093638	0.06203153	0.053489614	0.0	0.0	0.058679495	4.316119e-35
osCN3	0.0034416202	0.0	0.0	0.0	0.0008425655	0.0003206112	0.0	0.0	0.009193564	0.0
