	W1	W2	W3	W4	W5	W6	W7	W8
segsize1	0.0	0.046748787	0.07231998	0.0023527027	0.0061302637	1e-45	0.0021988521	0.007493973
segsize2	0.0	0.040137123	0.067109965	0.0025258916	0.005046203	1.8120943e-12	0.0016307705	0.010698555
segsize3	2.5407646e-14	0.051342133	0.078516945	0.003856135	0.004283754	0.007262703	0.0027457846	0.028967034
segsize4	0.0014280673	0.0	0.07948931	0.0018734745	0.003398942	0.041018687	0.009243187	0.07622938
segsize5	0.000112817754	0.0	0.024192767	0.0	0.0020746284	0.04589655	0.011579326	0.06908992
segsize6	0.0	0.0	0.009780855	0.0	0.0015962941	0.04547066	0.020169578	0.05715689
segsize7	0.00048164552	0.0	0.0	0.0025769195	0.0027137592	0.04745987	0.03758638	0.040171724
segsize8	0.00015246512	0.0	0.0	0.009504211	0.0005824188	0.026532756	0.030875238	0.018226283
segsize9	0.00031347104	0.0	0.0	0.007996697	0.0001745831	0.013927799	0.022110967	0.008805914
segsize10	0.0	6.8496354e-35	4.408422e-33	0.01629493	0.0	0.01973797	0.03411554	0.010615713
segsize11	0.0	2.0395466e-25	0.0	0.024136655	0.0	0.017652672	0.030034402	0.0087029
segsize12	0.0	0.0020135604	0.0	0.027546361	0.0	0.015262313	0.029320851	0.006103217
segsize13	0.0004410835	0.0073212185	0.0	0.02166509	0.0	0.009987063	0.016557442	0.0012807079
segsize14	0.00094578706	0.008244658	0.0	0.01535477	0.0	0.005918627	0.0060468963	0.00078496884
segsize15	0.003552809	0.0042076632	0.0	0.024853587	0.0	0.006406492	0.0058915266	0.0
segsize16	0.0067690746	2.3633396e-08	0.0	0.010031894	0.0	0.0029365518	0.0009062361	0.0
segsize17	0.008305553	0.0	0.003247742	0.015643977	0.0	0.0011029064	0.00018948632	0.0
segsize18	0.0068567963	0.0	0.0	0.006394803	0.00021966767	0.0023395235	0.0	0.0
segsize19	0.0064756903	0.0	0.0016456736	0.00610483	0.0	1.68593e-08	0.0	0.0
segsize20	0.0074138846	0.0	0.0008264243	0.00093966635	0.0	2.242278e-32	0.0	0.0
segsize21	0.012246295	0.0	0.0028413353	0.0017177729	4.0887e-41	1.2494317e-05	0.0	0.0
segsize22	0.01798839	0.0	0.0	0.0	0.0	0.0	4.1857095e-07	0.0
changepoint1	0.013819838	0.0	0.0	0.0018076119	0.004289268	0.0	0.1038103	0.0013079065
changepoint2	0.010635407	0.0	0.0	0.012131051	0.00030986188	3.77e-43	0.22110152	0.005049821
changepoint3	0.00816278	0.0	0.0	0.084573336	0.022292284	0.0	0.0	0.18028562
changepoint4	0.01176866	0.071126394	0.0	0.058896467	0.0038150898	0.028188648	0.0	0.117163554
changepoint5	0.0016801636	0.74385583	0.0	0.017033791	0.0	0.105290964	0.0	0.021805758
changepoint6	0.00060656917	0.00028755568	0.0	0.0010361531	0.0	0.064307585	2.553769e-38	8.632373e-05
changepoint7	0.00056289375	0.0	0.0	0.0	0.0	0.044998188	0.0	0.0
changepoint8	0.000515299	0.0	0.016948363	7.133409e-22	0.0	0.037751675	0.0	3.869599e-08
changepoint9	0.0001989201	0.0	0.056019634	0.0	2.6990826e-06	0.022726659	0.0	9.393269e-12
changepoint10	3.3873934e-05	0.0	0.3160116	0.0	0.0	0.004668626	0.0	0.0
bp10MB1	0.5538678	0.0	0.0	0.21353725	0.58215934	0.024992777	4.42754e-40	0.017555496
bp10MB2	0.21276811	0.0	0.0	0.2410985	0.23470491	0.06031399	0.0938922	0.058552958
bp10MB3	0.0033975008	0.006741185	0.017730368	0.01967302	0.009615927	0.049682498	0.028879382	0.073332764
bpchrarm1	0.06862858	0.0	0.0	2.9487725e-19	0.073683806	0.0	0.0	8.5142686e-17
bpchrarm2	0.039426625	0.0	0.0	0.04160968	0.036878016	4.0668e-41	1.9985502e-34	0.0
bpchrarm3	0.0004431767	0.014422462	0.0	0.034349408	0.006024326	0.0105344765	0.011091848	0.011081039
bpchrarm4	0.0	0.0	0.0013066697	0.0	0.0	0.006729676	0.0028485241	0.012346701
bpchrarm5	0.0	0.0	0.0054937773	0.0	0.0	1.3495258e-10	0.0	0.0014886191
osCN1	0.0	0.0	0.1995739	0.052684844	0.0	0.18055253	0.24705124	0.08863879
osCN2	0.0	0.0	0.04694472	0.020198502	9.907397e-14	0.049674984	0.03012219	0.06021154
osCN3	0.0	0.003551499	0.0	0.0	4.006939e-06	0.00066105084	0.0	0.006765903
