	W1	W2	W3	W4	W5	W6	W7	W8
segsize1	0.010476808	0.0042886017	0.056527566	0.0	0.0	0.0	0.0015340868	0.0012495953
segsize2	0.01267966	0.0035867807	0.052014466	0.0	0.0	0.0	0.0013037423	0.0021606896
segsize3	0.029986134	0.004607369	0.06313127	0.0	0.0	0.0	0.0013377406	0.01009374
segsize4	0.07476297	0.0020912548	0.076020256	0.0	0.027030552	0.0	0.0015123389	0.038274057
segsize5	0.06847358	0.0	0.03476632	0.009149875	3.6493115e-05	0.0	0.0003791873	0.040015686
segsize6	0.056725882	0.0	0.022985058	0.023950575	0.0	0.0	1.0171077e-14	0.03837085
segsize7	0.040000062	0.0	0.005663781	0.049667243	0.0	0.0	0.0012147382	0.042176474
segsize8	0.01763016	0.0069624865	0.0	0.041163445	0.0	0.0	0.00033455447	0.025263853
segsize9	0.008076789	0.0061587193	0.0	0.029128782	0.0	0.0	0.0003350366	0.013930723
segsize10	0.00947974	0.014014919	0.0023548002	0.04331609	0.0	0.0	2.17042e-40	0.019460438
segsize11	0.007307905	0.021162527	0.0	0.0385905	0.0	0.0	0.0	0.019256903
segsize12	0.0046262466	0.025581228	0.0	0.033615295	0.0	0.0	0.0	0.01747923
segsize13	0.0	0.020789541	0.0	0.018707028	0.0	0.0052537587	0.0	0.012108901
segsize14	0.0	0.015243909	0.0	0.0064159352	0.0	0.012021264	0.0	0.007400302
segsize15	0.0	0.026086153	0.0	6.4500164e-20	0.0099873645	0.020510744	0.0010032722	0.008171867
segsize16	0.0	0.011004712	0.00054567674	0.0	8.247743e-09	0.05726659	0.0017066683	0.0031178351
segsize17	0.0	0.016723225	0.0032358821	0.0	2.0074056e-31	0.06809591	0.0021349404	0.0015051134
segsize18	0.0	0.0074362634	0.002436703	0.0	0.0	0.04509849	0.0024878087	0.0016275542
segsize19	0.0	0.006997764	0.0020199756	0.0	0.0	0.0484824	0.0019893511	0.0
segsize20	0.0	0.0015471048	0.0012763585	0.0	0.0	0.06909025	0.001855049	0.0
segsize21	0.0	0.002588501	0.0034052324	0.0	0.0	0.100727595	0.003777083	0.0
segsize22	0.0	0.0	0.0	0.0	0.0	0.1654422	0.005477639	0.0
changepoint1	0.0068595516	0.011876654	0.0	0.0	0.9629375	0.0	0.0075901886	0.0
changepoint2	0.0	0.011894983	5.3652332e-08	0.2508484	0.0	0.0	0.009344387	0.00052132295
changepoint3	0.18604691	0.08530905	0.0	0.0	0.0	0.0	0.009822497	0.0
changepoint4	0.11231504	0.055516645	0.0	0.0	0.0	0.10634621	0.0043425225	0.041090008
changepoint5	0.023123669	0.012554216	0.0	0.0	0.0	0.25711423	0.0	0.14647165
changepoint6	0.0	2.2615717e-05	0.0037865925	0.0	0.0	0.015751788	0.0	0.057866883
changepoint7	0.0	0.0	0.013798693	0.0	0.0	0.01730818	0.0	0.0366588
changepoint8	0.0	1.1440262e-21	0.03328006	0.0	0.0	0.0090574585	4.1866835e-05	0.029700091
changepoint9	0.0	5.4997578e-14	0.06535178	0.0	0.0	0.0021804173	5.2702206e-05	0.015973201
changepoint10	7.515357e-05	5.0822313e-05	0.25187388	1.4208831e-13	0.0	0.00024680808	3.4685472e-06	0.0022632577
bp10MB1	0.01866857	0.22390908	0.0	0.0	0.0	0.0	0.59094435	0.031430505
bp10MB2	0.056454033	0.24103738	0.0	0.100014955	0.0	0.0	0.22820033	0.07204536
bp10MB3	0.074639834	0.018263493	0.026076777	0.027788324	0.0	0.0	0.0048970124	0.04615822
bpchrarm1	0.0	2.3590665e-31	0.0	0.0	0.0	0.0	0.074884094	0.0
bpchrarm2	0.0	0.0441319	1e-45	0.0	0.0	0.0	0.039623436	0.0008379608
bpchrarm3	0.013068831	0.033622466	0.0	0.008922595	0.0	0.0	0.0018699579	0.012139405
bpchrarm4	0.012821684	0.0	0.0026835576	0.0	8.119987e-06	0.0	0.0	0.006270542
bpchrarm5	0.0013851825	0.0	0.0045600934	0.0	0.0	0.0	0.0	0.0
osCN1	0.08950467	0.04829066	0.2240641	0.28501114	0.0	0.0	0.0	0.14983572
osCN2	0.05831665	0.016648997	0.0481411	0.03370972	0.0	0.0	0.0	0.04796523
osCN3	0.006494263	0.0	0.0	0.0	0.0	5.7333837e-06	5.118664e-15	0.0011079967
