	W1	W2	W3	W4	W5	W6	W7	W8
segsize1	0.0015066757	0.061497774	0.0	0.0	4e-45	0.0044378317	0.0017680214	0.01254199
segsize2	0.0012724897	0.05641445	0.0	0.0	3.821963e-32	0.0037887837	0.0024600455	0.015485657
segsize3	0.0006909581	0.06928128	0.011049561	0.0047950526	0.001961801	0.005040239	0.008901738	0.036813643
segsize4	0.0016349579	0.0813317	9.665644e-26	1.8044249e-08	0.01750709	4.2047122e-05	0.038988583	0.084529266
segsize5	0.00026377873	0.035439603	0.0	1.1307e-40	0.018625082	0.0	0.04108469	0.07531914
segsize6	4.2148527e-05	0.021837493	0.0	0.0	0.026425347	0.0	0.041007083	0.060863465
segsize7	0.0012072132	0.004264637	0.0	0.0	0.040081345	0.0021924505	0.045811754	0.038377505
segsize8	0.00034116194	0.0	0.0	0.0	0.03091392	0.0089855855	0.027925322	0.014620096
segsize9	0.0003394855	0.0	0.0	0.0	0.021747753	0.0073537296	0.016031435	0.0055215457
segsize10	3.36694e-40	0.0016436867	0.0	0.0	0.031726483	0.015969649	0.022418456	0.005890223
segsize11	0.0	0.0	0.0	0.0	0.027691849	0.02315903	0.021560859	0.003908232
segsize12	0.0	0.0	0.0	0.0	0.026142165	0.027188443	0.018961642	0.0012729109
segsize13	0.00044565805	0.0	0.00074395776	0.0	0.0131716505	0.021136759	0.011835068	0.0
segsize14	0.00033422184	0.0	0.009638298	0.005139261	0.004510651	0.015176262	0.0066343863	0.0
segsize15	0.0008201056	0.0	0.028272782	0.028564855	0.004482404	0.025415327	0.004747089	0.0
segsize16	0.0017605068	0.0	0.055425674	0.028260034	0.0010537722	0.010353356	0.0012759761	0.0
segsize17	0.0022644275	0.0018863785	0.06391033	0.03227696	0.000863638	0.01592937	7.1608345e-05	0.0
segsize18	0.002372167	0.0	0.041050337	0.045726966	0.0	0.006742311	0.0	0.0
segsize19	0.0020597875	0.0	0.04657045	0.021449095	0.0	0.0059354464	0.0	0.0
segsize20	0.0021205004	7.9041296e-17	0.061256714	0.013040421	0.0	0.0009569716	0.0	0.0
segsize21	0.00407557	0.00034522085	0.08966066	0.024765724	0.0	0.0016711791	0.0	0.0
segsize22	0.0063451603	0.0	0.14153412	0.0	0.0	0.0	0.0	0.0
changepoint1	0.010526985	0.0	0.006579738	0.0	0.108258985	0.003734688	0.0	0.0
changepoint2	0.0063322955	0.0	3.061384e-25	0.0	0.22982095	0.0149563	0.004043717	7.1580704e-21
changepoint3	0.008244841	0.0	0.0	0.0	0.0	0.09352479	0.0	0.2280267
changepoint4	0.004409209	0.0	0.11429372	0.0	0.0	0.056627188	0.04942002	0.12029814
changepoint5	0.0	0.0	0.32344472	0.0	0.0	0.01195658	0.14160258	0.004213924
changepoint6	0.0	0.0	0.0046196836	0.2127278	0.0	0.0	0.03888155	0.0
changepoint7	0.0	0.0	5.9966493e-07	0.25800228	0.0	0.0	0.018619437	0.0
changepoint8	2.1810116e-05	0.019016529	0.001464127	0.1911048	0.0	0.0	0.016643725	0.0
changepoint9	3.2402826e-05	0.05294549	0.0002345492	0.119405285	0.0	0.0	0.009136519	1.46428765e-05
changepoint10	1.1696158e-05	0.2773009	0.00023662442	0.0057224357	0.0	4.2058215e-05	0.0022917402	0.0
bp10MB1	0.59059376	0.0	0.0	0.0	0.0	0.20956817	0.03396572	0.010502332
bp10MB2	0.22927414	0.0	0.0	0.0	0.0786397	0.23888089	0.08238236	0.043547545
bp10MB3	0.004900046	0.02686716	0.0	0.0	0.0313426	0.01925881	0.049209088	0.0790378
bpchrarm1	0.073590636	0.0	0.0	0.0	4e-45	5.87e-43	1.9917025e-10	5.5838062e-37
bpchrarm2	0.04010785	0.0	3.0777055e-24	0.00901909	0.0	0.042464823	9.223243e-25	0.0
bpchrarm3	0.0020573665	0.0	0.0	0.0	0.0066472352	0.03447299	0.013406966	0.012155132
bpchrarm4	0.0	0.002331857	0.0	0.0	0.0035889375	0.0	0.0073198187	0.0118942205
bpchrarm5	0.0	0.004768871	0.0	0.0	0.0	0.0	0.0	0.001842807
osCN1	0.0	0.2320074	0.0	0.0	0.24472238	0.054293778	0.16741808	0.06838992
osCN2	0.0	0.050819542	0.0	0.0	0.030074183	0.018744204	0.05292019	0.057076793
osCN3	1.7779097e-13	0.0	1.3339836e-05	0.0	0.0	0.0	0.001254833	0.007856286
