	W1	W2	W3	W4	W5	W6	W7	W8	W9
segsize1	0.0019542477	0.0	0.0	7.779959e-06	0.001979851	0.0	0.0013212541	0.010144242	0.23019546
segsize2	0.0014416559	0.0	0.0	0.0006129289	0.0012233643	0.0	0.0035237547	0.009131317	0.22143722
segsize3	0.0009284781	0.0	0.0004735723	0.0012782811	0.0011862462	0.0	0.019915627	0.018863546	0.25207132
segsize4	0.002516577	0.0	0.0010060326	2.5109865e-17	0.009339103	0.0	0.06867736	0.049663257	0.18450715
segsize5	0.0024355415	0.0	2.2514242e-10	0.0	0.011269785	0.0	0.071545586	0.047894515	0.0
segsize6	0.0017358771	0.0	0.0	0.0	0.01975982	0.0	0.061351806	0.043430235	0.0
segsize7	0.00275369	0.0016982701	0.00037552495	0.003472957	0.036927186	0.0	0.044646002	0.042306427	0.0
segsize8	0.00052587845	1.0995528e-27	0.00019343753	0.010236439	0.030417012	0.0	0.020878192	0.022915123	0.0
segsize9	0.0002805126	6.802311e-16	0.00030737882	0.008429508	0.021787075	0.0	0.010421406	0.011668194	0.0
segsize10	0.0	2.0002766e-13	0.0	0.016987702	0.033820577	0.0	0.01236072	0.016780593	0.0
segsize11	0.0	4.232335e-31	0.0	0.025018182	0.029705677	0.0	0.009918698	0.01456312	0.0
segsize12	0.0	2.8834576e-20	0.0	0.028602995	0.028839462	0.0	0.006717233	0.012617572	0.0
segsize13	1.0555827e-23	0.002209386	0.0005669999	0.022245225	0.016095947	0.0	0.0015945865	0.008581967	0.0
segsize14	0.0	0.00032781807	0.0011725331	0.015709598	0.0055003	0.0	0.0008601782	0.0053719953	0.0
segsize15	0.0	0.0	0.0038229984	0.025080642	0.004870085	0.0	0.0	0.0054981895	0.0
segsize16	0.0	0.0	0.0070538316	0.010048648	0.00043356424	0.0	0.0	0.002284449	0.0
segsize17	0.0	0.0	0.00873959	0.015122865	1.2094713e-09	0.0038185746	0.0	0.00092984893	0.0
segsize18	0.00013097339	0.0	0.007210586	0.0060006664	0.0	0.0	0.0	0.0021896798	0.0
segsize19	0.0	0.0	0.0068379766	0.005516683	0.0	1.8645195e-22	0.0	0.00035799405	0.0
segsize20	0.0	0.0	0.0076535754	0.00078077696	0.0	2.1597341e-31	0.0	6.340332e-05	0.0
segsize21	0.0	0.0	0.012671387	0.0013584222	0.0	0.0023587102	0.0	0.0002628408	0.0
segsize22	0.0	0.0	0.018256625	0.0	0.0	0.0	0.0	0.0	0.0
changepoint1	0.0032153302	0.0	0.014486606	0.0013462509	0.10516588	0.0	0.00087363727	0.0	0.017637141
changepoint2	1.275e-42	0.0	0.011586198	0.010460922	0.22477178	0.0	0.0068539297	7.553545e-22	0.0
changepoint3	0.023373077	0.0	0.0075007924	0.0830008	0.0	0.0	0.18136013	0.0	0.0
changepoint4	0.004384375	0.07324493	0.012157399	0.06063658	0.0	0.0	0.11890773	0.02232722	0.0
changepoint5	0.0	0.91887206	0.0007323264	0.021400744	0.0	0.0	0.020354372	0.09699854	0.0
changepoint6	0.0	1.0122628e-17	0.0007646364	0.0014515832	0.0	0.0	7.323392e-15	0.062562644	0.0
changepoint7	0.0	0.0	0.00067073776	0.0	0.0	0.0	0.0	0.044182666	0.0
changepoint8	1.9417275e-05	0.0	0.0006057132	3.772666e-11	0.0	0.0	3.7080005e-38	0.03992059	7.3493987e-34
changepoint9	2.37208e-05	0.0	0.00020539701	0.0	0.0	0.08524354	2.0180982e-05	0.025277587	0.0
changepoint10	0.0	0.0	2.2830083e-05	0.0	0.0	0.67313147	0.0	0.0061282557	0.0
bp10MB1	0.5902266	0.0	0.5511964	0.21351653	1.2733924e-30	0.0	0.015996989	0.021655483	0.0
bp10MB2	0.23640308	0.0	0.21210946	0.2448604	0.091746315	0.0	0.060582343	0.046665914	0.0
bp10MB3	0.009060016	2.8059205e-19	0.0034276093	0.020761777	0.028613042	0.0	0.07417421	0.049077246	0.02224358
bpchrarm1	0.077187	0.0	0.06734612	1.544594e-23	1.4e-44	0.0	0.00014808631	1.3875289e-34	0.0
bpchrarm2	0.035901926	0.0	0.04014421	0.040445495	0.0	0.0	0.0	3.4e-43	0.0
bpchrarm3	0.0055010985	9.476608e-20	0.00070149463	0.03551859	0.010227726	0.0	0.011176987	0.009218171	1.4844453e-17
bpchrarm4	0.0	0.0	0.0	0.0	0.0029550223	0.0	0.012851993	0.0064994767	0.0
bpchrarm5	0.0	0.0	0.0	0.0	0.0	0.0101081375	0.0015649274	9.284828e-05	0.0
osCN1	0.0	0.0	0.0	0.051081557	0.2530415	0.22533956	0.09542209	0.18980971	3.0250947e-37
osCN2	0.0	0.0	0.0	0.019008486	0.030323697	1.7e-44	0.05932768	0.053433713	0.06915241
osCN3	9.023033e-07	0.0036475433	0.0	0.0	0.0	0.0	0.0066523636	0.0006314083	0.002755767
