	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.042741805	1.2786345e-38	0.0	0.015449216	0.026539734	0.0	0.0	0.09112643	0.0
segsize2	0.0	0.03746415	0.0	0.0	0.014094122	0.021121444	0.013118768	0.0	0.07595472	0.0
segsize3	0.0	0.018968832	0.0	0.0	0.0007979692	0.004783166	0.08669577	0.0075569144	0.046671882	0.0
segsize4	0.013391171	0.0	0.0007407687	0.0	0.0	0.0	0.22088154	0.013909636	1.3114028e-13	0.0
segsize5	0.034936752	0.008135809	0.00049760425	0.0	0.0	0.0	0.14691518	0.00557376	0.0	0.0
segsize6	0.04869611	0.010873992	0.0009724094	0.0	0.0	0.0	0.08436574	0.0034780046	0.0	0.0
segsize7	0.056904655	1.4908106e-19	0.0025334095	0.0	0.0	0.010098287	0.034544885	0.006757211	0.0	0.0
segsize8	0.037247814	0.0039077187	0.0010733398	0.0	0.0	0.0049199234	0.0021475335	0.010507867	0.0	0.0
segsize9	0.0219467	1.7795273e-09	0.0008317916	0.0	0.0	6.5214235e-23	0.0	0.008250341	0.0	0.0
segsize10	0.02964866	1.8516143e-08	0.00033044379	0.0	1e-45	4.01856e-40	0.0	0.017085137	0.0040184306	0.0
segsize11	0.027006421	8.1629236e-07	0.0	0.0	0.0	0.0	0.0	0.023396414	0.0	0.0
segsize12	0.021587342	0.0	0.0	0.0	0.0	0.0	0.0	0.027475173	0.0	0.0
segsize13	0.0112698665	0.0	0.0	0.0	0.0	3e-45	0.0	0.022043332	0.0	0.0
segsize14	0.004646055	0.0	0.0	0.0	0.0	0.00724125	0.0	0.015898203	0.0	0.0
segsize15	0.002374063	0.0	0.0012837999	0.015036212	0.0	0.0068057356	0.0	0.025540402	0.0	7.369574e-24
segsize16	8.046062e-05	0.0	0.0012484757	0.009543489	0.0	0.0064256196	0.0	0.011402635	2.2449971e-18	0.08958704
segsize17	0.00015741414	0.0	0.0018498932	0.0	0.0	1e-45	0.0	0.016824966	0.0050622984	0.10310476
segsize18	0.0	0.0	0.0023669908	0.02167763	0.0	0.0	0.0	0.007388338	5.1273958e-15	0.0641614
segsize19	0.0	0.0	0.0017837203	0.0	0.0	0.0	0.0	0.0070746965	0.001994387	0.07742667
segsize20	0.0	0.0	0.0013879946	0.0	0.0	0.0	0.0	0.0020149478	0.0011904348	0.13001558
segsize21	0.0	0.0	0.0034005854	0.0040675686	0.0	0.0	0.0	0.002965665	0.0026418143	0.18251811
segsize22	0.0	0.0	0.0041045602	0.0	0.0	0.0	0.0	0.0	0.0	0.35318643
changepoint1	0.0012226211	5.9791435e-13	0.00764071	0.0	0.33904734	0.0	0.009241762	0.009618365	0.0	0.0
changepoint2	0.022356959	0.0	0.0020768794	0.0	0.63061136	0.0	0.0	0.019875731	0.0	0.0
changepoint3	0.08473144	0.54290706	0.005547675	0.0	0.0	0.0	0.0	0.02021479	0.0	0.0
changepoint4	0.06311776	0.25169414	0.004286515	0.0	0.0	0.18340485	0.009805308	0.023380628	0.0	0.0
changepoint5	0.037384395	0.0	0.0	0.0	0.0	0.64037585	0.01873907	0.015069486	0.0	0.0
changepoint6	0.014183304	0.0	0.0	0.28627712	0.0	0.054896474	3.9970283e-07	0.0	0.0	0.0
changepoint7	0.005592676	0.0	0.0	0.2847443	0.0	0.013214266	0.0	0.0	0.002945891	0.0
changepoint8	0.0053461613	0.0	0.0	0.22802252	0.0	0.013420612	1.713631e-30	4.5400935e-05	0.022940675	0.0
changepoint9	0.0033619844	0.0	0.0	0.14401305	0.0	0.0037176497	0.00039386898	1.2816282e-05	0.06761771	0.0
changepoint10	0.0010932711	0.0	0.0	0.006618201	0.0	0.001597681	1.105315e-05	2.8070723e-05	0.40245104	0.0
bp10MB1	0.024246128	0.0	0.6013332	0.0	0.0	0.0	5.466645e-08	0.23068006	0.0	0.0
bp10MB2	0.10372967	0.009011338	0.23152275	0.0	0.0	0.0	0.0	0.24066964	0.0	0.0
bp10MB3	0.05008197	0.04215995	0.0047648605	0.0	0.0	8.5580405e-06	0.11454404	0.023056377	0.0	0.0
bpchrarm1	0.0	0.0	0.07808636	0.0	0.0	0.0	0.0	5.786331e-39	0.0	0.0
bpchrarm2	0.0	0.0	0.038521543	0.0	0.0	0.0	0.0	0.043324962	0.0	0.0
bpchrarm3	0.013667753	0.024636477	0.0011742037	0.0	0.0	0.0	0.0063265404	0.031064283	0.0	0.0
bpchrarm4	0.010464002	0.0	0.0	0.0	0.0	5.303598e-06	0.014879921	0.0	0.0	0.0
bpchrarm5	0.0	0.0	0.0	0.0	0.0	0.0	0.0043299063	0.0	0.00329179	0.0
osCN1	0.1973947	0.0	0.0006394469	0.0	0.0	0.0	0.117945395	0.08307237	0.2521729	0.0
osCN2	0.052131787	0.00013274244	0.0	0.0	0.0	0.0	0.10434803	0.024743354	0.0199195	0.0
osCN3	0.0	0.0073651522	0.0	0.0	0.0	0.0014235378	0.010765155	0.0	0.0	0.0
