	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.0004293874	0.0	0.0060301498	0.0	0.0	0.15104939	0.0	0.0
segsize2	0.0	4.7265e-40	0.0012281238	0.0	0.0049504824	0.0	0.003890907	0.14049108	0.0	0.0
segsize3	0.0	0.01360126	0.0012855933	0.0	0.010105897	0.012965889	0.029689703	0.154166	0.0	0.0
segsize4	0.0	0.04378972	6.3182344e-23	0.012506537	0.03241673	0.044423807	0.09425364	0.13565223	0.0	0.0
segsize5	7.111052e-33	0.021181472	0.0	0.0	0.04648282	0.023257155	0.08766627	0.0151954135	6.853183e-23	0.0
segsize6	0.0	0.007027696	5.4882335e-11	0.0	0.054607816	1.3e-43	0.062427055	0.0	0.0009543025	0.0
segsize7	0.0	1.3769947e-37	0.007082308	0.0	0.05711015	0.0	0.028978107	0.0	0.002327239	0.0
segsize8	0.0	0.0	0.012687409	0.0	0.034151774	0.0	0.007539812	0.0	0.00093431736	0.0
segsize9	0.0	0.0	0.010024242	0.0014356347	0.01933512	0.0	0.0016909355	0.0	0.0006556851	0.0
segsize10	0.0	5.5961e-41	0.019759847	2.2328116e-22	0.026989985	0.0	0.0008877252	0.0	0.00028214802	0.0
segsize11	0.0	0.0020129157	0.026288444	0.0	0.023947325	0.0	6.102994e-12	0.0	0.0	0.0
segsize12	0.0	0.0051782816	0.029394032	0.0	0.019473927	0.0	0.0	0.0	0.0	0.0
segsize13	0.0	0.012511865	0.022002127	3.8254398e-32	0.009878673	4.2837208e-19	0.0	0.0	8.980201e-05	0.0
segsize14	0.0	0.016163697	0.014726129	2.1768221e-07	0.0035869244	0.010355355	0.0	0.0	0.00023523836	0.0
segsize15	0.0	0.026533151	0.02356649	0.0072684516	0.0	0.034025002	0.0	0.0	0.00096676114	0.0
segsize16	0.0	0.012199057	0.009823887	3.610203e-24	0.0	0.0172464	0.0	0.0	0.0016317529	0.085744515
segsize17	0.002767762	0.0068699494	0.01478618	0.0	0.0	0.01713197	0.0	0.0	0.0022157347	0.10399964
segsize18	0.0	1.1709233e-30	0.0062626647	0.0	0.0	0.026964696	0.0	0.0	0.0026353123	0.06635077
segsize19	0.0	0.0023653118	0.0056107636	0.0	0.0	0.011275179	0.0	0.0	0.0021150417	0.077120155
segsize20	0.0	3.5522e-27	0.001368038	0.0	0.0	0.0036149323	0.0	0.0	0.0016461187	0.13288212
segsize21	7.1806095e-29	0.0	0.0019710583	0.0	0.0	0.010310112	0.0	0.0	0.0037057213	0.18684188
segsize22	0.0	0.0	0.0	3.729029e-07	0.0	0.0	0.0	0.0	0.004379055	0.34706092
changepoint1	0.0	0.0037671544	0.008148499	0.35126957	0.00013496334	0.0	0.002508453	0.011720722	0.0071292585	0.0
changepoint2	0.0	0.0	0.02441201	0.62207127	0.015011089	0.0	2.6636362e-30	0.0	0.0013612781	0.0
changepoint3	0.0	0.0	0.0814642	0.0	8.2261163e-22	0.0	0.3089356	0.0	0.006777632	0.0
changepoint4	0.0	0.1472659	0.04982955	0.0	0.026778983	0.0	0.16377021	0.0	0.005324483	0.0
changepoint5	0.0	0.5839197	0.009011881	0.0	0.05491433	0.0	0.018522985	0.0	9.179662e-38	0.0
changepoint6	0.0	0.037192903	0.0	0.0	0.019600788	0.21907273	0.0	0.0	0.0	0.0
changepoint7	0.0	0.0017062059	0.0	0.0	0.008606156	0.23146476	0.0	0.0	0.0	0.0
changepoint8	0.020505602	0.0055894614	0.0	0.0	0.008356653	0.1880899	1.9221148e-31	0.0004255412	1.4346743e-05	0.0
changepoint9	0.1157573	4.70865e-05	0.0	0.0	0.0051885066	0.122933865	8.744493e-05	0.0	6.316791e-05	0.0
changepoint10	0.84759045	9.026168e-31	0.0	0.0	0.0017420275	0.016847922	1.0249276e-17	0.00020312515	4.6358095e-06	0.0
bp10MB1	0.0	1e-45	0.19582805	0.0	0.03489145	0.0	1.5671992e-06	1e-45	0.6000639	0.0
bp10MB2	0.0	6.470101e-21	0.23542719	0.0	0.09168497	0.0	0.025724636	0.0	0.23276392	0.0
bp10MB3	0.0	0.02559787	0.021393463	0.0	0.053482868	0.0	0.081565164	0.054313976	0.0044931043	0.0
bpchrarm1	0.0	0.0	4.6363e-41	0.005447922	0.0012856985	0.0	0.0	0.0	0.0744418	0.0
bpchrarm2	0.0	3.4036e-41	0.038660455	0.0	0.0	0.0100203175	0.0	0.0	0.040319372	0.0
bpchrarm3	0.0	0.016380224	0.03344968	0.0	0.008422086	1e-45	0.015932282	0.012059164	0.0012107819	0.0
bpchrarm4	0.0	8.3505554e-08	0.0	0.0	0.0109222075	0.0	0.009764331	0.00040020005	0.0	0.0
bpchrarm5	0.013379	0.0	0.0	0.0	0.0	0.0	0.0025562933	0.0	0.0	0.0
osCN1	0.0	0.0	0.07384943	2.42199e-40	0.2454188	0.0	0.0	0.23891181	0.0012582114	0.0
osCN2	0.0	0.005928301	0.020228866	0.0	0.06406137	0.0	0.043298062	0.08484099	0.0	0.0
osCN3	0.0	0.0031707364	0.0	0.0	0.000429244	0.0	0.010308954	0.0005703886	0.0	0.0
