	W1	W2	W3	W4	W5	W6	W7	W8	W9
segsize1	0.0	0.0	0.0	0.013724112	0.0057385815	0.0	0.01918806	0.06421995	0.0024573102
segsize2	0.0	0.0	0.013379585	0.018509202	0.0042318553	0.0	0.022680143	0.05918274	0.00084677094
segsize3	0.0	0.0	0.034644995	0.051146034	0.0017901922	5.537193e-24	0.04874052	0.0763359	0.00029675468
segsize4	0.0	0.018078586	0.05964945	0.112063244	0.00015979339	0.027280973	0.08168949	0.095914945	6.7293263e-35
segsize5	0.00054366916	0.05274792	0.0	0.076718725	0.0014991871	5.7163042e-08	0.024491012	0.030884247	9.947606e-07
segsize6	0.0010394411	0.06246166	0.0	0.046807855	0.0017100746	0.0	5.1633364e-05	0.011346473	0.002653996
segsize7	0.0017073882	0.06562514	0.0	0.01567061	0.0042039123	0.0	0.0	0.0	0.008900959
segsize8	0.00067191594	0.038137455	0.0	0.0013191609	0.001785791	0.0	0.0	0.0	0.013612789
segsize9	0.00057457737	0.020789083	6.319954e-36	1.34401e-40	0.0008879636	0.0	0.0	0.0	0.0104822405
segsize10	0.00025849228	0.028059127	0.0	0.0	0.00045706282	0.0	0.0	0.0	0.02015542
segsize11	0.0	0.02390364	0.0	3.660462e-39	0.0	0.0	0.0043141586	0.0	0.026273454
segsize12	0.0	0.018596988	0.0	0.0	0.0	0.0	0.008588409	0.0	0.029223561
segsize13	0.00040393026	0.009315791	0.0	0.0	0.0	1e-45	0.011248063	0.0	0.021549111
segsize14	0.00064911623	0.0033439926	0.0	2.421187e-22	0.0	0.0077432333	0.014337731	1.8774546e-31	0.014254768
segsize15	0.002519674	0.00012429855	0.0	1.3154534e-33	0.0	0.030973209	0.019180024	7.997075e-21	0.022658229
segsize16	0.006248974	0.0	0.0	0.0	0.0	0.013168738	0.009431374	1.2491573e-11	0.008772688
segsize17	0.00788949	0.0	0.0	0.0	0.0	0.008841206	0.0043939175	0.0024481004	0.013458137
segsize18	0.0064843064	0.0	0.0	0.0	0.00024692068	0.026361857	2.4801158e-22	1.8538555e-32	0.005545569
segsize19	0.0063033965	0.0	0.0	0.0	5.032e-42	0.00832768	0.0029076198	1.2489728e-12	0.004644654
segsize20	0.007433948	0.0	0.0	0.0	0.0	0.0022104967	0.00044597324	0.00053664175	0.00067319797
segsize21	0.012368655	0.0	0.0	0.0	1.23498526e-23	0.005723669	0.0	0.0017650452	0.0011782374
segsize22	0.018170552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
changepoint1	0.010107222	1.0987179e-05	0.301261	0.0072607403	0.0032163826	0.0	0.0	0.0	0.010153542
changepoint2	0.0034052858	0.015288097	0.58019686	7.3516504e-16	4.1232162e-19	0.0	0.0	0.0	0.026944004
changepoint3	0.0072536366	3.8377626e-20	0.0	0.30801183	0.008832194	0.0	0.0	0.0	0.074747525
changepoint4	0.010682541	0.034416676	0.0	0.15942629	2.2833582e-13	0.0	0.10018354	0.0	0.044636156
changepoint5	0.007520067	0.0708647	0.0	0.005146469	0.0	0.0	0.45841053	0.0	0.0022903625
changepoint6	0.0	0.020225594	0.0	0.0	0.0	0.2567297	0.042074937	0.0	0.0
changepoint7	0.0	0.008695983	0.0	0.0	0.0	0.26784563	0.009352414	0.0034687184	0.0
changepoint8	4.1211402e-05	0.008247154	0.0	0.0	0.0	0.21247928	0.008936488	0.018872354	3.8697828e-19
changepoint9	0.00010919894	0.0054385164	0.0	0.0	0.0	0.13231428	0.00067672075	0.05277031	1.229302e-38
changepoint10	6.680664e-05	0.001688071	0.0	0.0	0.0	2.9944456e-12	0.0002592135	0.30480072	8.229562e-09
bp10MB1	0.5593012	0.02727948	0.0	0.0006051907	0.5930253	0.0	6.920915e-36	0.0	0.19742817
bp10MB2	0.21512167	0.08919905	0.0	0.01688988	0.23944923	0.0	4.5242045e-06	0.0	0.23408297
bp10MB3	0.00334874	0.055957384	0.0	0.0786969	0.0091209505	0.0	0.043299958	0.022803355	0.021151494
bpchrarm1	0.06911033	0.0011604201	0.010765045	0.0	0.074519224	0.0	0.0	0.0	0.00010427434
bpchrarm2	0.039609246	0.0	0.0	0.0	0.036711376	0.0	0.0	0.0	0.036992688
bpchrarm3	0.0	0.007289014	0.0	0.01490705	0.005288763	0.0	0.030953849	0.0	0.031221747
bpchrarm4	0.0	0.012461483	0.0	0.008513509	0.0	0.0	4.7993058e-06	0.0012586252	0.0
bpchrarm5	0.0	0.0	0.0	0.0022625835	0.0	0.0	0.0	0.005437138	0.0
osCN1	0.0010553516	0.24050161	0.0	2.4945551e-31	0.006574808	0.0	0.0	0.19755593	0.09063041
osCN2	0.0	0.059591908	0.0	0.05231576	0.0005503618	0.0	0.030985054	0.050242156	0.021977793
osCN3	0.0	0.0005001772	0.00010301913	0.010004875	0.0	0.0	0.0031698286	0.00015656577	0.0
