	W1	W2	W3	W4	W5	W6	W7	W8	W9
segsize1	0.009666877	0.040659264	0.0	0.08241823	0.0067092357	0.0013424653	0.0	0.011119425	0.0
segsize2	0.0105727445	0.030376803	0.0	0.07485713	0.004474122	0.0	0.0018393929	0.016801918	0.0
segsize3	0.023520563	0.034034777	0.017210733	0.07346823	0.0024154969	0.0	0.0017658026	0.04536064	0.0
segsize4	0.0610987	0.03518442	0.06772575	0.06345649	1.4031781e-05	0.0	0.0	0.11224544	0.0
segsize5	0.019020496	0.0	0.069424264	0.00905511	0.0	0.018034901	0.0	0.088862374	3.6620964e-05
segsize6	1.59534e-40	0.0	0.057926238	0.0	0.00036055394	0.03752831	0.0	0.058720972	0.00052806694
segsize7	0.0	0.0	0.047078647	0.0	0.0028527712	0.05825485	0.0	0.026112126	0.0021423772
segsize8	0.0	0.0	0.018444143	0.0	0.0011701173	0.044136446	0.0083703995	0.0027176633	0.0009797146
segsize9	0.0	0.0	0.007576925	0.0	0.0005635795	0.02758655	0.007021246	0.0	0.0008445364
segsize10	0.0	0.0	0.0077983513	0.0049970835	1.4814484e-05	0.039479285	0.015306117	0.0	0.00043184526
segsize11	0.0	0.0014006468	0.0064535975	0.0	0.0	0.03670161	0.021926478	0.0	0.0
segsize12	0.0040392457	0.0	0.0052130125	0.0	0.0	0.029656844	0.02620991	0.0	0.0
segsize13	0.002049947	6.4503976e-23	0.0040807887	0.0	0.0	0.01475622	0.02104137	0.0	0.00044512833
segsize14	0.0	0.0037348105	0.0030525741	0.0	3.912923e-05	0.0063902372	0.01518424	0.0	0.0006989748
segsize15	0.008164985	0.00216412	0.0054819044	0.0	0.0	0.0020919067	0.025878454	0.0	0.002035888
segsize16	0.0031433275	0.003836741	0.003069217	0.0	0.0	1.1691446e-33	0.011169643	0.0	0.005717437
segsize17	0.0022225368	0.0	0.0	0.0046068663	0.0	0.0003790257	0.016876912	0.0	0.007043273
segsize18	0.0	0.0	0.0027829013	0.00038538998	0.00028079064	0.0	0.0077976333	0.0	0.006032077
segsize19	0.0	0.0	0.0	0.0017226792	5.8912352e-08	0.0	0.0071853637	0.0	0.0057701594
segsize20	0.0	0.0	0.0	0.0010720195	0.0	0.0	0.0016526628	0.0	0.0074955444
segsize21	0.0	0.0	0.0	0.00300149	0.0	0.0	0.0028628353	0.0	0.012434964
segsize22	0.0	0.0	0.0	0.0	0.0	3.0229845e-07	0.0	0.0	0.01980653
changepoint1	0.26271874	0.0	0.0	0.0	0.002591578	0.0031531348	0.005903339	0.008087633	0.009472456
changepoint2	0.42838857	0.0	0.0	0.0	4.0485334e-06	0.040281083	0.013756956	0.0	0.004954489
changepoint3	0.0	0.0	0.0	0.0	0.014659743	0.065335706	0.061897833	0.24161132	0.007613961
changepoint4	0.0	0.1037235	0.020514894	0.0	6.3428644e-08	0.05460903	0.04635825	0.1416483	0.010406279
changepoint5	0.0	0.6723902	0.10318731	0.0	0.0	0.024216244	0.013642677	0.007278775	0.0015763337
changepoint6	0.0	0.027486835	0.08069101	0.0	0.0	0.004571692	0.0005780236	0.0	0.000638768
changepoint7	0.0	0.0	0.06280094	0.0	0.0	0.0	0.0	0.0	0.001282991
changepoint8	0.0	0.0	0.055841293	0.0071712835	0.0	0.0	0.00022288677	0.0	0.00076963543
changepoint9	0.0	0.0	0.036459915	0.045166478	0.0	0.0	6.057408e-05	0.0	0.00030479545
changepoint10	0.0	0.0	0.00782176	0.35820937	0.0	0.0	2.6963855e-05	0.0	5.942752e-05
bp10MB1	0.0	0.0	1.694006e-06	0.0	0.5926342	0.022659415	0.2529383	0.010970115	0.56250936
bp10MB2	0.0	0.0	9.353089e-05	0.0	0.24267267	0.1385636	0.24869016	0.016977038	0.21388777
bp10MB3	0.010923193	0.023722459	0.057441127	0.011405286	0.008303728	0.045933817	0.01636625	0.083342016	0.003309737
bpchrarm1	0.0	0.0	0.0	0.0	0.074636	8.585866e-16	0.0	0.0	0.075122714
bpchrarm2	4.2830147e-06	0.0	0.0	0.0	0.038097497	0.0	0.046342403	0.0	0.03564819
bpchrarm3	0.0	0.012645586	0.0036210918	0.0	0.005978139	0.017722594	0.03183179	0.010096775	0.0
bpchrarm4	0.0	1.2962527e-08	0.006825207	0.0	0.0	0.010764963	0.0	0.008607399	0.0
bpchrarm5	0.0	0.0	0.0	0.006556061	0.0	0.0	0.0	0.0023046506	0.0
osCN1	0.15446591	0.0	0.18415274	0.20769604	0.0015275585	0.2022315	0.05324495	0.037915524	0.0
osCN2	0.0	0.0051861526	0.056314968	0.044754796	2.476868e-39	0.053157855	0.016050294	0.05947135	0.0
osCN3	0.0	0.0034536317	0.0009134961	0.0	0.0	0.00046041387	0.0	0.009748643	0.0
