	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.0	0.0	0.0	0.16191097	0.0064446307	0.0	0.0	0.0
segsize2	0.0	0.0010010418	0.0	0.0	0.0	0.1485792	0.005240326	0.0042968653	0.0	0.0
segsize3	0.0	0.0011076326	1.1424701e-23	0.012272433	0.01953156	0.15882064	0.010101908	0.030900566	0.0	0.0
segsize4	0.0	0.0	0.013996404	0.041447617	0.058244303	0.13305438	0.031787	0.09643629	0.0	0.0
segsize5	0.022839677	0.0	7.851194e-16	0.022054505	0.031200213	1.1854192e-35	0.044882372	0.090295695	6.514344e-26	0.0
segsize6	0.0	9.548798e-18	0.0	0.006494827	2.5000314e-19	0.0	0.054457493	0.061641518	0.00097124965	0.0
segsize7	0.0	0.0069237296	0.0	0.0	0.0	0.0	0.05666022	0.02817392	0.0023137417	0.0
segsize8	0.0	0.01257746	0.0	0.0	0.0	0.0	0.03388236	0.0068914564	0.0009182516	0.0
segsize9	0.0	0.009990453	0.0	0.0	0.0	0.0	0.019215131	0.0013220399	0.00066530413	0.0
segsize10	0.0	0.019685702	0.0	0.0	0.0	0.0	0.026847318	1.0701338e-25	0.00027221278	0.0
segsize11	0.0	0.02614826	0.0	0.0011566589	0.0	0.0	0.023706455	0.0	0.0	0.0
segsize12	0.0	0.029380864	0.0	0.0041859034	0.0	0.0	0.01924	0.0	0.0	0.0
segsize13	0.0	0.02210671	3.3910874e-35	0.011700745	5.1684724e-06	0.0	0.009799798	0.0	9.691206e-05	0.0
segsize14	0.0	0.014815588	4.0783263e-05	0.0154416375	0.010765497	0.0	0.0035294709	0.0	0.00024683596	0.0
segsize15	0.0	0.023721134	0.007903627	0.02551786	0.03298774	0.0	0.0	0.0	0.0009616303	0.0
segsize16	0.0	0.0099474965	1.8946656e-24	0.011442523	0.017464539	0.0	0.0	0.0	0.0016168341	0.084639326
segsize17	0.0026815988	0.014943732	0.0	0.0050406107	0.017533515	0.0	0.0	0.0	0.0022272442	0.10230471
segsize18	0.0	0.0062660505	0.0	0.0	0.024978057	0.0	0.0	0.0	0.0026731791	0.06310266
segsize19	0.0	0.0057826317	0.0	0.0	0.011952473	0.0	0.0	0.0	0.002158714	0.07523557
segsize20	0.0	0.0014391943	0.0	0.0	0.003971743	0.0	0.0	0.0	0.0016209825	0.13077867
segsize21	0.0	0.002034448	0.0	0.0	0.0102448175	0.0	0.0	0.0	0.003685547	0.18424588
segsize22	0.0	0.0	3.8702157e-07	0.0	0.0	0.0	0.0	0.0	0.004046066	0.35969323
changepoint1	0.0	0.007859584	0.35230777	0.00413052	0.0	0.011459847	0.00043028913	0.0026870756	0.0072216615	0.0
changepoint2	0.0	0.023792421	0.6257511	0.0	0.0	0.0	0.015070382	0.0	0.0014690933	0.0
changepoint3	0.0	0.08161066	0.0	0.0	0.0	0.0	1.5934358e-13	0.3148062	0.0067531117	0.0
changepoint4	0.0	0.050669465	0.0	0.15149628	0.0	0.0	0.028449386	0.16290472	0.005375134	0.0
changepoint5	0.0	0.011915667	0.0	0.60300136	0.0292519	0.0	0.05643229	0.00979873	0.0	0.0
changepoint6	0.0	1.3507578e-30	0.0	0.033041418	0.2081269	0.0	0.018996535	0.0	0.0	0.0
changepoint7	0.0	0.0	0.0	0.0	0.21137851	0.0	0.0082508465	0.0	0.0	0.0
changepoint8	0.020199118	0.0	0.0	0.004144502	0.17234713	6.419395e-05	0.00806834	0.0	2.1599384e-05	0.0
changepoint9	0.11392743	0.0	0.0	0.0	0.11153299	0.0	0.004957845	9.760249e-06	4.677913e-05	0.0
changepoint10	0.8271748	0.0	0.0	0.0	0.016615605	0.0	0.0016545473	0.0	5.1916245e-06	0.0
bp10MB1	0.0	0.1953097	0.0	0.0	1e-45	0.0	0.03646937	4.918015e-08	0.60021067	0.0
bp10MB2	0.0	0.2348715	0.0	0.0	0.0	0.0	0.09136563	0.026086621	0.23252946	0.0
bp10MB3	0.0	0.021351555	0.0	0.024234235	7.571922e-10	0.053194888	0.05411638	0.081538565	0.0045910776	0.0
bpchrarm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0018236384	0.0	0.07456125	0.0
bpchrarm2	0.0	0.038689084	0.0	0.0	0.011162023	0.0	0.0	0.0	0.04021623	0.0
bpchrarm3	0.0	0.03347757	0.0	0.014752134	1.3287963e-17	0.011951586	0.008716665	0.016157342	0.0012670252	0.0
bpchrarm4	0.0	0.0	0.0	0.0	0.0001843157	0.0	0.010843369	0.009652728	0.0	0.0
bpchrarm5	0.013177414	0.0	0.0	0.0	4.712319e-08	0.0	0.0	0.002600769	0.0	0.0
osCN1	0.0	0.07257514	5.3409013e-23	0.0	0.0	0.23536442	0.24393868	0.0	0.0012570723	0.0
osCN2	0.0	0.020005524	0.0	0.005206904	2.8081353e-23	0.08505807	0.06415776	0.04341346	0.0	0.0
osCN3	0.0	0.0	0.0	0.0032373676	0.00052098156	0.0005417788	0.0004635342	0.010385671	0.0	0.0
