	W1	W2	W3	W4	W5	W6	W7	W8	W9
segsize1	0.009723127	1.4366255e-17	0.00039058932	0.39744884	0.0	1e-45	0.0034090676	0.0	0.0
segsize2	0.00815178	0.010659494	0.00058558997	0.3356471	0.0	0.00070504774	0.0064615333	0.0	0.0
segsize3	0.017644549	0.033103272	0.0017325584	0.26690397	0.0	0.0014816931	0.024445502	0.0060979524	0.0004737057
segsize4	0.046580918	0.090396	0.012386742	0.0	0.0	1.2506443e-09	0.072842985	0.029807094	0.0012742766
segsize5	0.05006511	0.014046985	0.0117548	0.0	0.0	0.0	0.06677501	0.0	0.00029992097
segsize6	0.04780853	8.980603e-36	0.020786805	0.0	0.0	0.0	0.056332406	0.0	5.8157828e-05
segsize7	0.04575769	0.0	0.037676953	0.0	0.0	0.0036483668	0.0409199	2.12088e-40	0.0009184049
segsize8	0.024494126	0.0	0.030556181	0.0	0.0	0.0106046405	0.018945176	0.0	0.0002086775
segsize9	0.012380701	0.0	0.022012006	0.0	0.0	0.008750344	0.009321202	4.7478826e-21	0.00026876736
segsize10	0.017214239	0.0	0.033229858	0.0	0.0	0.01760612	0.011440065	6.467305e-31	0.0
segsize11	0.014589539	0.0	0.029139252	0.0	0.0	0.025500009	0.009505786	0.0	0.0
segsize12	0.012147638	0.0	0.0274963	0.0	0.0	0.029101864	0.0071524396	5.745756e-32	0.0
segsize13	0.008199417	0.0	0.015080827	0.0	0.0	0.022505756	0.0017608992	0.0034923719	0.0004894292
segsize14	0.0050160526	0.0	0.0054892744	0.0	0.0	0.01565661	0.0007099995	0.007900022	0.0007658033
segsize15	0.005250578	0.0	0.0046507707	0.0	0.018405292	0.025776194	0.0	0.0023444223	0.0018399701
segsize16	0.0022213887	0.0	0.00045843463	0.0	0.0882961	0.010967742	0.0	4.9707927e-09	0.0018228973
segsize17	0.00027244297	0.006093706	0.0001618338	0.0	0.10305253	0.016435053	0.0	0.0	0.0023957232
segsize18	0.0021025508	4.519398e-39	0.0	0.0	0.07093807	0.0069243754	0.0	0.0	0.0025569021
segsize19	1.665791e-20	0.0016869782	0.0	0.0	0.07331855	0.0065942146	0.0	0.0	0.0021008283
segsize20	0.0	0.0013724449	0.0	0.0	0.11129189	0.0015140712	0.0	0.0	0.0015807609
segsize21	7.983518e-05	0.00432079	0.0	0.0	0.15968159	0.0024339685	0.0	0.0	0.0034939998
segsize22	0.0	0.0	0.0	0.0	0.28020313	0.0	0.0	0.0	0.0042632082
changepoint1	0.0	0.0	0.11325668	0.0	0.0	0.0026149487	0.0	0.0	0.011218493
changepoint2	7.203896e-05	0.0	0.24198896	0.0	1e-45	0.014171285	0.0019251906	0.0	0.006952028
changepoint3	0.0	0.0	0.0	0.0	0.0	0.07680785	0.18372987	0.0	0.011527969
changepoint4	0.02618928	0.0	0.0	0.0	0.033642594	0.057661604	0.110674724	0.12776399	0.007342919
changepoint5	0.101842344	0.0	0.0	0.0	0.0	0.023214396	0.009991585	0.81840557	0.0
changepoint6	0.063767046	0.0	0.0	0.0	0.02213824	0.0016548692	0.0	3.9016818e-38	0.0
changepoint7	0.044782806	0.0	0.0	0.0	0.023502013	1.4697444e-23	0.0	0.0	2.4544977e-10
changepoint8	0.040144272	0.0077911266	0.0	0.0	0.01278457	0.00010406111	0.0	0.0	5.6762656e-05
changepoint9	0.025262158	0.07048128	0.0	0.0	0.002745435	1.7562301e-29	1.7696408e-07	0.0	8.6477594e-05
changepoint10	0.005582149	0.50493735	0.0	0.0	0.0	0.0	0.0	0.0	1.6721318e-05
bp10MB1	0.012403277	0.0	1.98255e-31	0.0	0.0	0.20562205	0.03190901	0.0	0.5876287
bp10MB2	0.038095895	0.0	0.08292936	0.0	0.0	0.24207559	0.07105752	0.0	0.22959866
bp10MB3	0.05236828	2.6222e-41	0.027238723	0.0	0.0	0.01913471	0.074547	2.5e-44	0.0050676367
bpchrarm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0017320934	0.0	0.07276248
bpchrarm2	5.0234745e-38	0.0	6.328773e-36	0.0	0.0	0.040020972	0.0	0.0	0.04055591
bpchrarm3	0.0065899678	0.0	0.006721357	0.0	0.0	0.035080478	0.014936137	0.0	0.0023738306
bpchrarm4	0.0073944135	0.0	0.002916766	0.0	0.0	0.0	0.011505747	0.0	0.0
bpchrarm5	0.00021345951	0.0077370564	0.0	0.0	0.0	0.0	0.0013308979	0.0	0.0
osCN1	0.19021557	0.20871043	0.24430753	0.0	0.0	0.05589396	0.09115202	0.0	0.0
osCN2	0.05461291	0.038663104	0.027051771	0.0	0.0	0.019737208	0.059207022	0.0	0.0
osCN3	0.0007638689	0.0	0.0	1e-45	0.0	0.0	0.0062789842	0.0041886508	0.0
