	W1	W2	W3	W4	W5	W6	W7	W8	W9
segsize1	0.005200516	0.0	0.0	0.01239702	0.003395847	0.3295278	1.0843649e-25	0.0	0.00057426863
segsize2	0.004635628	0.0	0.0	0.011840923	0.0061325296	0.29430252	0.0006260965	0.0	0.00057805766
segsize3	0.009246165	0.0	0.0027668776	0.029195188	0.024119493	0.27289706	0.0017218135	0.00020259364	0.0009324775
segsize4	0.027967483	0.0	0.0	0.07398619	0.074300475	0.0826019	1.5975002e-19	0.0014503034	0.009011559
segsize5	0.025919568	0.0	0.0	0.06276216	0.07118638	0.0	0.0	0.00031735445	0.010770978
segsize6	0.026909588	0.0	0.0	0.050807636	0.06010497	0.0	0.0	3.881249e-05	0.0194086
segsize7	0.03732744	0.0	0.0	0.032115903	0.043063767	0.0	1.130806e-07	0.0011473785	0.03722868
segsize8	0.02615099	0.0	0.0	0.011047114	0.018869156	0.0	0.007469892	0.0002666431	0.030801013
segsize9	0.016884593	0.0	0.0	0.0023474568	0.008811262	0.0	0.005908259	0.00030849603	0.02253062
segsize10	0.025298823	0.0	0.0	0.0038440754	0.009871464	0.0	0.013102093	0.0	0.034794465
segsize11	0.027164847	0.0	0.0	5.8130084e-35	0.007329144	0.0	0.020024244	0.0	0.031669006
segsize12	0.024748804	0.0	0.0	0.0	0.0039434256	0.0	0.024764927	0.0	0.029601611
segsize13	0.016741533	0.0	0.0	8.557972e-07	4.5739237e-15	0.0	0.020041455	0.00041181446	0.016659142
segsize14	0.009467796	0.0	0.0077757374	0.0010285735	7.0418675e-25	0.0	0.014998249	0.00028514123	0.0065353718
segsize15	0.0077956887	0.0	0.027255211	0.0042080805	0.0	0.0	0.026678197	0.0005869097	0.0053163175
segsize16	0.0022258188	0.0	0.062436953	0.0034098872	0.0	0.0	0.011749748	0.0012151443	0.000989885
segsize17	0.00050688814	0.0	0.07167128	0.004917332	0.0	0.0	0.017846966	0.0017178248	0.00079396856
segsize18	0.0	0.0	0.049229696	0.006727937	0.0	0.0	0.008177183	0.0019758886	0.0
segsize19	0.0	0.0	0.050608713	0.0025045106	0.0	0.0	0.0072750966	0.0016972831	0.0
segsize20	0.0	0.0	0.07066791	0.0012443281	0.0	0.0	0.0015797041	0.0015484695	0.0
segsize21	0.0	0.0	0.10349003	0.0035354616	0.0	0.0	0.0026392336	0.003214239	0.0
segsize22	0.0	0.0	0.1705031	0.0	0.0	0.0	0.0	0.004754934	0.0
changepoint1	0.0	0.0	3.3479797e-13	0.0	3.792972e-39	0.0	0.0019884002	0.011646248	0.10391705
changepoint2	0.0016795465	0.0	2.9853655e-09	3.469507e-34	0.0018657388	0.0	0.011430785	0.007436942	0.22542153
changepoint3	0.0	0.0	0.0	0.0	0.18736611	0.0	0.095636	0.009127398	0.0
changepoint4	0.057677414	0.0	0.0983272	0.0	0.111961566	0.0	0.05411484	0.004855193	0.0
changepoint5	0.18907435	0.0	0.25451887	2.204153e-21	0.01916511	0.0	0.0017490053	0.0	0.0
changepoint6	0.043347128	0.0	0.014525536	0.05911266	0.0	0.0	0.0	0.0	0.0
changepoint7	0.01756132	0.0	0.009080745	0.07034901	0.0	0.0	0.0	0.0	0.0
changepoint8	0.013508601	0.0	0.0056403233	0.07005319	1.2890018e-15	0.0	3.710473e-05	1.3610817e-05	0.0
changepoint9	0.0048670126	0.0	0.0014974524	0.06796184	0.0008775072	0.0	1.7770287e-34	1.2492642e-17	0.0
changepoint10	0.0007041995	0.9916425	0.0	0.049042813	0.00022476261	0.0	1.721e-41	2.3414e-06	1.7094972e-05
bp10MB1	0.032590672	0.0	0.0	9.568517e-05	0.025393395	0.0	0.24675627	0.59460986	2.1593206e-25
bp10MB2	0.10077754	0.0	0.0	2.33112e-40	0.054655835	0.0	0.2501358	0.22945306	0.095204756
bp10MB3	0.04465826	0.0	0.0	0.040438626	0.075587116	0.0	0.017121915	0.005023136	0.028510435
bpchrarm1	0.0	0.0	0.0	0.0	0.0006446162	0.0	3.9286096e-26	0.0755453	0.0
bpchrarm2	1.1471964e-28	0.0	1.8585742e-29	0.0037659206	0.0	0.0	0.048940767	0.03927586	9.829798e-22
bpchrarm3	0.018565636	0.0	0.0	0.0	0.012206756	1.1784259e-22	0.03317398	0.0018719413	0.010260203
bpchrarm4	0.004946473	0.0	0.0	0.0056776316	0.012384986	0.0	0.0	0.0	0.0026805087
bpchrarm5	0.0	0.008357563	0.0	0.0019918538	0.0013093434	0.0	0.0	0.0	0.0
osCN1	0.12491009	0.0	0.0	0.26420444	0.09868593	0.0	0.040446576	0.0	0.24528006
osCN2	0.049598172	0.0	0.0	0.04938566	0.06006517	0.019297931	0.013865284	0.0	0.030512417
osCN3	0.0013414302	0.0	4.410338e-06	0.0	0.006478102	0.0013728251	0.0	0.0	0.0
