	W1	W2	W3	W4	W5	W6	W7	W8
segsize1	0.07569332	0.0012620303	0.022427745	1.37286575e-14	0.010731947	0.0	0.0	0.0032832297
segsize2	0.07001526	0.0010221322	0.022994254	9.650037e-12	0.013309481	0.0	0.0	0.0029622766
segsize3	0.083894804	0.0006782864	0.04563556	0.0023642485	0.030570373	0.0	0.00636265	0.0039275177
segsize4	0.08389812	0.00074365403	0.0533066	0.0147853065	0.07268475	0.0	0.041190274	0.00017447771
segsize5	0.020623865	0.00021159601	1.8536125e-35	0.013579089	0.06486639	0.0	0.051641896	0.0
segsize6	0.0055069462	2.7619371e-06	0.0	0.022228587	0.05324495	0.0	0.051457383	0.0
segsize7	0.0	0.000914265	0.0	0.038909353	0.03771401	0.0	0.051131535	0.002924296
segsize8	0.0	0.00020671915	0.0	0.030920558	0.017162086	0.0	0.027774006	0.009965107
segsize9	0.0	0.0002642901	0.0	0.022265928	0.00811633	0.0	0.014466377	0.008300824
segsize10	1.8705e-40	0.0	0.0	0.033092957	0.010174886	0.0	0.019681592	0.01704397
segsize11	0.0	0.0	0.0	0.028849952	0.0085344985	0.0	0.016767884	0.02486875
segsize12	0.0	0.0	0.0	0.0271245	0.006622341	0.0	0.013717467	0.028513752
segsize13	0.0	0.00048489266	0.0037316838	0.014818604	0.0014443822	0.0	0.009039432	0.022128107
segsize14	0.0	0.0007314046	0.009021452	0.0052879113	0.0006415074	1.5864362e-35	0.0052062715	0.015490722
segsize15	0.0	0.0018371542	0.006496624	0.0044298773	0.0	0.014955227	0.005279015	0.025515053
segsize16	0.00041267503	0.001777452	0.0025241473	0.00046341575	0.0	0.086709514	0.001949847	0.010897826
segsize17	0.004500387	0.0022982892	0.0	5.6581255e-05	0.0	0.10300515	8.285332e-06	0.016482288
segsize18	0.00106748	0.0025204825	0.0	0.0	0.0	0.07056903	0.0016733705	0.0070399637
segsize19	0.0013161805	0.0020599796	0.0	0.0	0.0	0.072546944	0.0	0.0065478254
segsize20	0.0009526482	0.0015566589	0.0	0.0	0.0	0.109717675	0.0	0.001495259
segsize21	0.003000119	0.0034511834	0.0	0.0	0.0	0.15767163	0.0	0.0024347543
segsize22	0.0	0.0042784023	0.0	0.0	0.0	0.27406624	0.0	0.0
changepoint1	0.0	0.0112548005	0.0	0.1125382	1.24917e-40	1e-45	0.0	0.0025414652
changepoint2	6.815319e-16	0.0070422557	0.0	0.24061842	0.0010109587	1.5310608e-33	0.0006280692	0.014146062
changepoint3	0.0	0.010977474	0.0	0.0	0.18787454	0.0	0.0	0.07734518
changepoint4	0.0	0.0067559634	0.11488204	0.0	0.11108529	0.043460894	0.03080837	0.056646086
changepoint5	0.0	9.6456606e-05	0.7144519	1.7e-44	0.012002827	2.7096285e-05	0.1084483	0.021841077
changepoint6	0.0	0.0	2.1737056e-14	0.0	0.0	0.022920769	0.06472026	0.0015620119
changepoint7	3.2967288e-05	0.0	0.0	0.0	0.0	0.025292683	0.045209307	0.0
changepoint8	0.0161911	1.0925537e-05	0.0	0.0	0.0	0.014611962	0.03856264	0.00016712028
changepoint9	0.053727224	4.3229033e-05	0.0	0.0	0.0	0.0040775584	0.023827568	2.310254e-05
changepoint10	0.31776947	5.2626924e-06	0.0	0.0	0.0	0.00036762902	0.0048572724	1.3590394e-34
bp10MB1	6.833e-42	0.5876668	0.0	6.8505814e-28	0.031828936	0.0	0.011000799	0.20489365
bp10MB2	0.0	0.22935659	0.0	0.08046043	0.06948033	0.0	0.043842595	0.2398095
bp10MB3	0.017734984	0.0048762397	8.859631e-05	0.027845556	0.07355823	0.0	0.05203204	0.01958249
bpchrarm1	0.0	0.07282296	0.0	3.7445817e-29	0.0014666934	0.0	1.0929112e-28	1.9492307e-29
bpchrarm2	0.0	0.04046874	0.0	0.0	0.0	0.0	0.0	0.039846648
bpchrarm3	2.607961e-39	0.002320655	0.0	0.0061230264	0.015265697	0.0	0.007022294	0.034865774
bpchrarm4	0.00060596934	0.0	0.0	0.003184843	0.011073782	0.0	0.007975664	0.0
bpchrarm5	0.005544053	0.0	0.0	0.0	0.0013553001	0.0	9.159313e-05	0.0
osCN1	0.19220738	0.0	0.0	0.24275748	0.08419095	0.0	0.18923378	0.056643568
osCN2	0.045108646	0.0	0.0	0.027295133	0.057606984	0.0	0.053684074	0.020090366
osCN3	0.00019642356	0.0	0.004439358	0.0	0.006381575	0.0	0.00070808106	0.0
