	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.033568036	0.0	0.08993564	0.011679086	0.0	0.0	0.0	0.04436362	0.0	0.002579615
segsize2	0.02193846	0.0	0.06502013	0.011518864	0.057609256	0.0	0.0	0.028925654	0.0	0.0033966727
segsize3	0.005988711	0.009270675	0.03495857	0.0	0.17667057	0.0	0.0	0.0076278057	0.0055693593	0.0
segsize4	0.0	0.040893808	6.6855524e-36	0.0	0.32896173	0.0	0.0011425383	6.745273e-39	0.0074590337	0.0
segsize5	0.0	0.056676798	0.0	0.0	0.1279979	0.0	0.0009177528	0.029376902	0.0002692197	0.0
segsize6	0.0	0.061321497	0.0	0.0	0.020140423	0.0	0.0013976736	0.032706928	8.628638e-32	0.0
segsize7	0.0	0.05667605	0.0	0.0	0.0	0.0	0.0028788364	0.0	0.008498523	0.0
segsize8	0.0	0.030503472	0.0	0.008715755	0.0	0.0	0.0009475123	0.0	0.012808813	0.0
segsize9	0.0	0.016278692	0.0	0.013203566	0.0	0.0	0.00052223343	0.0	0.009586297	0.0
segsize10	0.0	0.021785779	0.00054486166	0.017963743	0.0	0.0	0.00010255462	0.0	0.019277105	0.0
segsize11	0.0	0.018963136	0.0	0.01048879	0.0	0.0	0.0	0.0	0.026478844	0.0
segsize12	0.0	0.014694303	0.0	0.0116811115	0.0	0.0	0.0	0.0	0.030348731	0.0
segsize13	0.0001839801	0.0076986076	0.0	0.0010323037	0.0	0.0	0.00046306237	0.0	0.023502339	0.0
segsize14	0.009373944	0.0033899636	0.0	0.0	0.0	1e-45	0.00055725	0.0	0.015975554	8.8190257e-23
segsize15	0.01512983	0.0006165385	0.0	0.0	0.0	5.0180397e-06	0.0016716073	0.0	0.025411056	0.025199952
segsize16	0.008114895	1.2268543e-23	0.000520758	0.0	0.0	0.09349961	0.0016543415	0.0	0.010747956	0.011573345
segsize17	0.0	0.0	0.0052502844	0.0	0.0	0.113954574	0.002280983	0.0	0.016238624	0.0
segsize18	0.0	0.0	5.940345e-10	0.0	0.0	0.06859279	0.002670486	0.0	0.006639629	0.02285565
segsize19	0.0	0.0	0.0006350977	0.0	0.0	0.0805129	0.0021274474	0.0	0.006238324	0.005300205
segsize20	0.0	0.0	0.001063149	0.0	0.0	0.13084184	0.0016618052	0.0	0.001571233	0.0
segsize21	0.0	0.0	0.0027371985	0.0	0.0	0.18576606	0.003727284	0.0	0.0022441123	0.003968642
segsize22	0.0	0.0	0.0	4.0647677e-07	0.0	0.32634193	0.0048142034	0.0	0.0	0.0
changepoint1	1.8116945e-11	0.0014229155	0.0	0.2571182	0.006235129	0.0	0.007967384	0.006114475	0.006637856	0.0
changepoint2	0.0	0.012559059	0.0	0.48252982	0.0	0.0	0.0022468322	0.0	0.020393685	0.0
changepoint3	0.0	0.06614818	0.0	0.0	0.0	0.0	0.005178179	0.5461901	0.032774035	0.0
changepoint4	0.16867556	0.06258007	0.0	0.0	3.96126e-40	0.0	0.0051767575	0.23221903	0.031095026	0.0
changepoint5	0.69770783	0.056569207	0.0	0.0	0.0	0.0	3.1724377e-07	0.0	0.012549528	0.0
changepoint6	0.033970777	0.014297318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29316673
changepoint7	4.00061e-06	0.0055927616	0.0034661985	0.0	0.0	0.0	0.0	0.0	0.0	0.27967352
changepoint8	0.005044979	0.005579668	0.024832588	0.0	0.0	0.0	1.4095982e-05	0.0	0.0	0.2158597
changepoint9	0.0	0.0035960737	0.071304224	0.0	0.0	0.0003532382	3.57309e-05	0.0	0.0	0.12728849
changepoint10	0.00027955382	0.0009876497	0.3910502	0.0	0.0	0.00013141651	2.9862028e-28	0.0	7.240683e-05	0.009137519
bp10MB1	0.0	0.031465225	0.0	0.0	1.51e-43	0.0	0.59599286	0.0	0.21117404	0.0
bp10MB2	0.0	0.0806766	0.0	0.0	0.0	0.0	0.23201635	3.7226695e-14	0.24558869	0.0
bp10MB3	8.13e-43	0.060476463	0.0	0.0	0.11763715	0.0	0.005262167	0.047480162	0.022236528	0.0
bpchrarm1	0.0	0.0017832705	0.0	0.0048973924	0.0	0.0	0.074830696	0.0	8.102839e-31	0.0
bpchrarm2	0.0	0.0	0.0	0.0	0.0	0.0	0.040100347	0.0	0.04044956	0.0
bpchrarm3	0.0	0.009942352	0.0	0.0	0.02041033	0.0	0.001640634	0.016197713	0.03395542	0.0
bpchrarm4	0.0	0.011863755	0.0	0.0	0.009314122	6.487293e-07	0.0	0.0	0.0	0.0
bpchrarm5	0.0	0.0	0.0049748765	0.0	0.008741592	0.0	0.0	0.0	0.0	0.0
osCN1	0.0	0.17504962	0.2832234	0.16917095	3.5959629e-09	0.0	0.0	0.0	0.08820015	0.0
osCN2	1.109054e-27	0.058572147	0.02048285	0.0	0.113869116	0.0	0.0	0.002289116	0.026008336	0.0
osCN3	1.943373e-05	0.0020683445	0.0	0.0	0.012412656	0.0	0.0	0.006508422	0.0	0.0
