	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0063444367	0.0005313359	0.16189915	0.0	0.00012199572	0.0	0.0	0.0	0.0
segsize2	0.0041949856	0.005150798	0.0013008023	0.14962131	0.0	0.0001885701	0.0	0.0	0.0	0.0
segsize3	0.03153941	0.01037406	0.001392168	0.16114667	0.0	0.0	3.935781e-27	0.015019301	0.01559541	0.0
segsize4	0.09811613	0.03334542	0.0	0.135379	0.0	0.00054729223	0.017247755	0.04890129	0.050221067	0.0
segsize5	0.08770616	0.049397215	0.0	3.093928e-08	0.0	0.0022245117	0.0	0.024355821	0.021597622	0.01651188
segsize6	0.060033143	0.056454867	0.001701674	0.0	0.00039352672	0.002252859	0.0	0.007351331	0.0	0.0
segsize7	0.026414769	0.058889247	0.008177383	0.0	0.0015326196	0.004002056	0.0	0.0	0.0	0.0
segsize8	0.006301916	0.034487884	0.013020316	0.0	0.0006538563	0.001583512	0.0	0.0	0.0	0.0
segsize9	0.0010313598	0.019345103	0.010181055	0.0	0.00054238987	0.0009471014	0.0	0.0	0.0	0.0
segsize10	1.2997165e-08	0.026594963	0.019671746	0.0	0.00018800749	0.0006193518	1e-45	0.0	0.0	0.0
segsize11	8.71822e-40	0.022812929	0.02591354	0.0	0.0	0.0	0.0	0.0023607083	0.0	0.0
segsize12	0.0	0.018024866	0.028831448	0.0	0.0	0.0	1e-45	0.006256798	0.0	0.0
segsize13	0.0	0.009117149	0.021300666	0.0	0.00029580476	0.0	0.0	0.011773741	6.1041935e-12	0.0
segsize14	0.0	0.003255854	0.014162076	0.0	0.00059894816	0.0	0.0	0.014556167	0.009619071	0.0
segsize15	0.0	5.6818475e-33	0.022557471	0.0	0.0024772398	0.0	1.3480708e-05	0.018305207	0.03284202	0.0
segsize16	0.0	0.0	0.008778679	0.0	0.006417185	0.0	0.0	0.008220381	0.013872201	0.0
segsize17	5.253304e-09	0.0	0.013338307	0.0	0.008253422	0.0	0.0	1.9496116e-20	0.012637119	0.0026724597
segsize18	0.0	0.0	0.0053006643	0.0	0.0067377733	0.00014554503	0.0	0.0	0.022414466	0.0
segsize19	0.0	0.0	0.0046294094	0.0	0.006606601	0.0	0.0	0.0	0.009046217	0.0
segsize20	0.0	0.0	0.00068590965	0.0	0.0076591927	0.0	0.0	0.0	0.0019839434	0.0
segsize21	0.0	0.0	0.0011293982	0.0	0.012720226	0.0	0.0	0.0	0.005847327	1e-45
segsize22	0.0	1.1909096e-07	0.0	0.0	0.018541751	0.0	0.0	0.0	0.0	0.0
changepoint1	0.004399647	1.23805964e-20	0.008190138	0.015193743	0.0091508245	0.0024157572	0.34861237	0.0	0.0	0.0
changepoint2	2.529884e-35	0.015046023	0.02373683	0.0	0.0022456048	4.721886e-08	0.6341251	0.0	0.0	0.0
changepoint3	0.3055567	1.2025066e-36	0.07748685	0.0	0.005471372	0.014342224	0.0	0.0	0.0	0.0
changepoint4	0.16887927	0.027815122	0.048045546	0.0	0.008757403	0.0020454465	0.0	0.12408929	0.0	0.0
changepoint5	0.02167952	0.059469093	0.0073171137	0.0	0.0026317558	0.0	0.0	0.59732866	2.0480378e-28	0.0
changepoint6	0.0	0.020259151	1.6284598e-36	0.0	0.0	0.0	0.0	0.040928222	0.22731876	0.0
changepoint7	0.0	0.009143415	0.0	0.0	0.0	0.0	0.0	0.0	0.24113871	0.0
changepoint8	0.0	0.008959639	0.0	2.4107825e-07	7.859114e-05	0.0	0.0	0.0045089014	0.19375612	0.022223663
changepoint9	2.6442045e-05	0.005621928	0.0	0.0	8.256281e-05	0.0	0.0	0.0	0.12433961	0.11675638
changepoint10	0.0	0.0018556827	0.0	0.00026801822	6.929854e-24	1e-45	0.0	0.0	0.017747108	0.828751
bp10MB1	2.721213e-05	0.026227152	0.20811397	0.0	0.56659484	0.59950274	0.0	0.0	0.0	0.0
bp10MB2	0.023505736	0.082653135	0.2354756	0.0	0.21705252	0.24109563	0.0	1e-45	0.0	0.0
bp10MB3	0.08018241	0.054736327	0.021549072	0.045699723	0.0030672504	0.00846357	0.0	0.036609855	5.095025e-22	0.0
bpchrarm1	0.0	0.001905372	0.0019178138	0.0	0.06977098	0.07659805	0.0	0.0	0.0	0.0
bpchrarm2	0.0	0.0	0.037053797	0.0	0.040321458	0.03671563	0.0	0.0	1.5088483e-21	0.0
bpchrarm3	0.012681987	0.00796175	0.031825464	0.0042271786	0.0	0.0052250335	0.0	0.028424462	3.0597867e-08	0.0
bpchrarm4	0.010126438	0.011352426	0.0	0.00040664786	0.0	0.0	0.0	0.0	3.592489e-08	0.0
bpchrarm5	0.002633714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.681339e-08	0.01308466
osCN1	0.0	0.24850123	0.07575426	0.23979142	0.0011563057	0.0009630503	1.3282905e-32	0.0	0.0	0.0
osCN2	0.044455677	0.06441801	0.02092947	0.08577246	0.0	0.0	0.0	0.0074839746	3e-45	0.0
osCN3	0.010507324	0.0004796703	0.0	0.000594354	0.0	0.0	1.338885e-06	0.0035258762	2.308919e-05	0.0
