	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.15346876	0.0006780708	0.0	0.00038217567	0.0	0.0	0.0	0.0068124016	0.0	0.0
segsize2	0.14782614	0.0013410616	0.0	0.00044265433	0.0	0.0	0.0	0.0068297456	0.0	0.0
segsize3	0.16997625	0.0015321097	0.0	8.385199e-24	0.0	2.0838891e-11	0.01472704	0.013875264	0.02613797	7.219403e-33
segsize4	0.15596065	0.00029661122	0.0	0.0015679537	0.0	1.02757386e-10	0.050272238	0.043551486	0.087856755	5.1588553e-21
segsize5	0.010679521	8.467676e-18	0.0	0.0027597565	0.0	7.1473745e-28	0.021269474	0.05459979	0.084106855	7e-45
segsize6	0.0	0.0021922658	0.0	0.0025725984	0.0	0.00037491662	3.9740856e-22	0.057119034	0.06035758	0.0
segsize7	0.0	0.0089128	3.8e-44	0.004294566	0.0	0.0012558113	0.0	0.056572054	0.02845752	0.0
segsize8	0.0	0.013642435	8.360267e-06	0.001684465	0.0	0.00053218787	0.0	0.032397937	0.007878105	0.0
segsize9	0.0	0.010404881	0.007005302	0.0008922759	0.0	0.00037124057	0.0	0.017748084	0.0020674625	0.0
segsize10	0.0	0.020305827	0.005502916	0.0005633785	0.0	0.0	2.98526e-40	0.024181793	0.0014856645	0.0
segsize11	0.0	0.02676389	1.9349864e-09	0.0	0.0	0.0	1.3893727e-08	0.021130035	0.0006436907	0.0
segsize12	0.0	0.029658522	1.1988107e-06	0.0	0.0	0.0	0.004946412	0.016607521	1.1043208e-31	0.0
segsize13	0.0	0.021756412	6.2028045e-32	0.0	0.0	0.00032618665	0.011131658	0.008358188	0.0	0.0
segsize14	0.0	0.014353611	0.0	0.0	0.0	0.0006582661	0.014845508	0.0031393422	0.0	0.008530568
segsize15	0.0	0.022582091	0.0	0.0	0.0	0.0026334377	0.019196356	0.00013570578	0.0	0.033805072
segsize16	0.0	0.008750041	0.0	0.0	0.0	0.0065509914	0.008372969	0.0	0.0	0.013984566
segsize17	0.0	0.01326127	0.0	0.0	0.002740886	0.008456337	0.0	4.783807e-16	5.494563e-09	0.010760037
segsize18	0.0	0.005225278	0.0	0.0001481813	0.0	0.0068332	0.0	0.0	0.0	0.024878236
segsize19	0.0	0.0045298543	0.0	0.0	0.0	0.0067101074	0.0	0.0	0.0	0.009269068
segsize20	0.0	0.0006567077	0.0	0.0	0.0	0.0076924674	0.0	0.0	0.0	0.0011293767
segsize21	0.0	0.0010541001	0.0	0.0	0.0010618889	0.012774804	0.0	0.0	0.0	0.00476149
segsize22	0.0	0.0	9.251247e-07	0.0	0.0	0.018403662	0.0	0.0	8.916582e-34	0.0
changepoint1	0.015900943	0.008079358	0.3347223	0.0024922625	0.0	0.009220747	0.0	8.518182e-15	0.0035571977	0.0
changepoint2	0.0	0.02403746	0.61543715	1.0489066e-19	0.0	0.002299668	0.0	0.013070692	2.0940654e-11	0.0
changepoint3	3.14e-43	0.0781923	0.0	0.0155063225	0.0	0.004955641	0.0	2.594558e-13	0.32195494	0.0
changepoint4	0.0	0.048245013	0.0	0.0030485797	0.0	0.008252016	0.13338284	0.029807486	0.1724301	0.0
changepoint5	0.0	0.007686862	0.0	0.0	0.0	0.0027480787	0.6107777	0.06520053	0.015844848	0.0
changepoint6	0.0	2.980948e-08	0.0	0.0	0.0	0.0	0.040678326	0.02211465	0.0	0.25210384
changepoint7	0.0	0.0	0.0	0.0	0.0	1.4077784e-08	0.0	0.0105471	0.0	0.2703311
changepoint8	0.0	0.0	0.0	0.0	0.026528325	7.560085e-05	0.0042430507	0.010133466	0.0	0.21525516
changepoint9	0.0	0.0	0.0	0.0	0.12298774	7.7115496e-05	0.0	0.0064164856	5.3584017e-37	0.13593453
changepoint10	0.0	0.0	0.0	0.0	0.83491987	4.495323e-06	0.0	0.0021026342	0.0	0.01925695
bp10MB1	0.0	0.19884029	0.0	0.59508216	0.0	0.56811607	0.0	0.022921834	6.1279905e-27	0.0
bp10MB2	0.0	0.234354	0.0	0.23926872	0.0	0.2176271	0.0	0.07397734	0.028782066	0.0
bp10MB3	0.047021672	0.02230476	0.0	0.008900435	0.0	0.0028275985	0.033806223	0.055320475	0.079971634	0.0
bpchrarm1	0.0	0.00089298066	0.008258516	0.07640711	0.0	0.06944683	0.0	0.0012344376	0.0	0.0
bpchrarm2	0.0	0.03588278	0.0	0.036279693	0.0	0.040775415	0.0	0.0	0.0	0.0
bpchrarm3	0.0048254216	0.032263737	0.0	0.005206702	0.0	0.0	0.028579	0.007426274	0.012947104	0.0
bpchrarm4	0.00036303193	0.0	0.0	0.0	0.0	0.0	0.0	0.01119537	0.01057984	0.0
bpchrarm5	0.0	0.0	0.0	0.0	0.011761308	0.0	0.0	0.0003833253	0.0020708516	0.0
osCN1	0.20749068	0.079198554	0.02906328	0.0024999694	0.0	2.962677e-16	0.0	0.23973998	0.0	0.0
osCN2	0.08491017	0.022123886	0.0	1e-45	0.0	0.0	0.0	0.06478347	0.04219835	0.0
osCN3	0.0015768945	0.0	0.0	0.0	0.0	0.0	0.0037712688	0.00056605105	0.010671369	0.0
