	W1	W2	W3	W4	W5	W6	W7	W8	W9
segsize1	4.8401836e-31	9.874264e-12	0.0037248498	0.0	0.0	0.0	0.0	0.13471074	0.0
segsize2	2.9840887e-06	2.013503e-39	0.003977871	0.0	0.0	0.0023919842	0.0	0.12700039	0.0
segsize3	0.0	0.005014499	0.004079507	0.0	0.0	0.024996603	0.0	0.15050653	0.015921956
segsize4	0.0	0.028115958	0.00022755664	0.016397992	0.0	0.08809763	0.037903883	0.14231133	0.04765612
segsize5	0.0	0.047484245	0.0	0.0	0.0	0.081359126	0.021006968	0.025727352	0.020720132
segsize6	0.00088337966	0.05686866	8.0039675e-37	0.0	0.0	0.060262047	0.0	1.18e-43	0.008596786
segsize7	0.0022905197	0.05976013	0.006770501	0.0	0.0	0.029107975	0.0	0.0	1.1836908e-30
segsize8	0.0008684717	0.03566679	0.012103538	0.0	0.0	0.008055109	0.0	0.0	0.0
segsize9	0.00062843045	0.02026833	0.009548893	0.0	0.0	0.002116566	0.0	0.0	0.0
segsize10	0.00022754482	0.02833648	0.018598804	1e-45	0.0	0.0013494726	0.0	0.0	0.0
segsize11	0.0	0.025300022	0.024644284	0.0	0.0	8.0452605e-09	0.0	0.0	0.0015906394
segsize12	0.0	0.020604521	0.027475309	0.0	0.0	0.0	0.0	0.0	0.00457032
segsize13	0.0	0.010438755	0.020598894	0.0	0.0	0.0	0.0	0.0	0.012459076
segsize14	0.0	0.0037471734	0.013960884	0.0	0.0	0.0	0.010043192	0.0	0.017039765
segsize15	0.0	0.0	0.022181911	0.013724349	0.0	0.0	0.03495873	0.0	0.031406257
segsize16	0.0036205982	0.0	0.008412526	0.002560688	0.0	0.0	0.018791204	0.0	0.019024646
segsize17	0.004479928	0.0	0.012883409	0.0	6.737586e-32	0.0	0.019340044	0.0	0.018977467
segsize18	0.0043312507	0.0	0.0057771984	0.0	0.0	0.0	0.030606247	0.0	0.0
segsize19	0.0039554774	0.0	0.004742844	0.0	0.0	0.0	0.012116334	0.0	0.008488777
segsize20	0.0052873716	0.0	0.0008832492	0.0	0.0	0.0	0.008113826	0.0	0.0
segsize21	0.008709828	0.0	0.0014097979	0.0	0.0	0.0	0.017968731	0.0	0.0
segsize22	0.013855013	0.0	0.0	3.2229877e-06	0.0	0.0	0.0	0.0	0.0
changepoint1	0.0071521546	0.00017977861	0.008565254	0.34741828	0.0	0.002201547	0.0	0.011466774	1.0350012e-12
changepoint2	0.0015119079	0.016470505	0.022738755	0.6198955	0.0	6.65988e-26	0.0	0.0	0.0
changepoint3	0.0065302625	1.1876426e-11	0.072268195	0.0	0.0	0.29543826	0.0	0.0	0.0
changepoint4	0.005051586	0.029011076	0.043574147	0.0	0.0	0.15889989	0.0	0.0	0.14502364
changepoint5	0.0	0.061436128	0.006227758	0.0	0.0	0.024355514	0.0	4.0613079e-22	0.55517215
changepoint6	0.0	0.02203134	0.0	0.0	0.0	0.0	0.21565774	0.0	0.035298552
changepoint7	0.0	0.009650901	0.0	0.0	0.0	0.0	0.23295997	0.0	0.00073482515
changepoint8	1.5903797e-05	0.00941497	0.0	0.0	0.0	0.0	0.19373575	0.003577453	0.004056511
changepoint9	5.9278937e-05	0.0057761497	0.0	0.0	0.11257273	0.0	0.12708132	0.00036065938	3.821425e-29
changepoint10	8.0703404e-07	0.0021064947	0.0	0.0	0.8855463	0.0	0.019716136	0.00056974316	0.0
bp10MB1	0.58526856	0.029072236	0.21806122	0.0	0.0	0.028069092	0.0	7.1786407e-35	0.0
bp10MB2	0.22597255	0.09082021	0.23519063	0.0	0.0	0.039245162	0.0	0.0	0.0
bp10MB3	0.004186345	0.052860048	0.020838348	0.0	0.0	0.078055	0.0	0.056488246	0.02667695
bpchrarm1	0.07366588	0.0028017561	0.0028007312	0.0	0.0	9.802923e-07	0.0	0.0	0.0
bpchrarm2	0.039452214	1.7878987e-16	0.03919538	0.0	0.0	1.350892e-05	0.0	0.0	0.0
bpchrarm3	0.0009991983	0.008246313	0.031391088	0.0	0.0	0.016086517	0.0	0.008506884	0.0173557
bpchrarm4	0.0	0.011419258	0.0	0.0	0.0	0.009200478	0.0	0.0012896141	8.5600846e-07
bpchrarm5	0.0	0.0	0.0	0.0	0.0018809263	0.0	0.0	0.010587502	0.0
osCN1	0.0009925739	0.24406666	0.07659375	0.0	0.0	0.0	0.0	0.24089554	0.0
osCN2	0.0	0.06303066	0.02055295	0.0	0.0	0.0408596	0.0	0.084322646	0.0058073117
osCN3	0.0	0.0	0.0	0.0	0.0	0.009837929	0.0	0.0016785437	0.003421598
