	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.15043299	0.0	0.0	0.00049344316	0.0	0.0	0.006021637	0.00083025853	0.0	0.0
segsize2	0.14186618	0.0	0.0	0.0004163858	0.0	0.003631552	0.0049764263	0.0014475716	0.0	3.1232454e-11
segsize3	0.16138235	1.802561e-09	0.0	1.342192e-39	2.086894e-28	0.02956539	0.011015879	0.0016600507	0.0	0.016551515
segsize4	0.14167581	0.03184856	0.0	0.00059234665	0.0	0.09569784	0.03474973	1.7211766e-15	0.013241185	0.051088877
segsize5	0.012909547	0.012057347	7.873792e-32	0.0018532298	0.0	0.08636258	0.051277936	8.628338e-35	0.0	0.025004815
segsize6	0.0	0.0	0.0	0.002095109	0.00028546902	0.061237756	0.057039637	0.0017109842	0.0	0.009595385
segsize7	0.0	0.0	0.0	0.0037919735	0.0015430202	0.0276329	0.0596043	0.008438201	0.0	2.3078556e-08
segsize8	0.0	0.0	0.0	0.0014408445	0.0006752667	0.007076827	0.034799926	0.013267284	0.0	0.0
segsize9	0.0	0.0	0.0	0.0008415098	0.00052673987	0.0014864955	0.019414313	0.01029705	0.002148971	0.0
segsize10	0.0	0.0	0.0	0.0005292824	0.00021575068	0.00050379883	0.026799697	0.019953432	6.5617726e-13	1.9540324e-20
segsize11	0.0	0.0	0.0	0.0	0.0	5.6930993e-10	0.022948219	0.026263382	0.0	0.0028920905
segsize12	0.0	0.0	0.0	0.0	0.0	4e-45	0.018125234	0.02914364	5.910931e-19	0.006408042
segsize13	0.0	1.7160485e-27	0.0	6.7688426e-26	0.0003566995	0.0	0.009106834	0.021465093	0.0	0.011048603
segsize14	0.0	0.009402535	0.0	0.0	0.00064781826	9.378332e-33	0.0031691673	0.014255574	0.0	0.014048042
segsize15	0.0	0.03236194	0.0	0.0	0.0025887797	0.0	3.9766734e-29	0.022647064	3.6420207e-25	0.017548228
segsize16	0.0	0.013136395	0.0	0.0	0.0064839036	0.0	0.0	0.008787691	0.0	0.007909516
segsize17	0.0	0.011664405	0.0028387816	0.0	0.008307895	0.0	0.0	0.013377475	0.0	0.0004952293
segsize18	0.0	0.023257121	0.0	0.00012919388	0.006780179	0.0	0.0	0.0053198077	0.0	0.0
segsize19	0.0	0.008913916	0.0	0.0	0.0066408333	0.0	0.0	0.004640257	0.0	9.75635e-26
segsize20	0.0	0.0016533067	0.0	0.0	0.0076597854	0.0	0.0	0.00068007415	0.0	4.931863e-28
segsize21	0.0	0.005569419	3.4808385e-05	1.3185469e-27	0.012727766	0.0	0.0	0.0011055118	0.0	0.0
segsize22	0.0	0.0	0.0	0.0	0.018450983	2.5499958e-38	4.0962156e-08	0.0	6.504437e-07	0.0
changepoint1	0.0149664795	0.0	0.0	0.0026492844	0.008988605	0.004123071	1.2628287e-18	0.008140388	0.34706768	0.0
changepoint2	0.0	0.0	0.0	0.0003896258	0.001949432	1.6214592e-29	0.015209492	0.023911163	0.6316257	0.0
changepoint3	0.0	0.0	0.0	0.014723506	0.0053437585	0.3090235	1.248495e-18	0.076844536	0.0	0.0
changepoint4	0.0	0.0	0.0	0.0022596067	0.008587772	0.16988745	0.026289715	0.04787852	0.0	0.12509762
changepoint5	0.0	0.0	0.0	0.0	0.0028533116	0.018113561	0.053970203	0.0076672263	0.0	0.57982427
changepoint6	0.0	0.23801884	0.0	0.0	0.0	0.0	0.020161306	4.02e-43	0.0	0.044183183
changepoint7	0.0	0.25495797	0.0	0.0	0.0	0.0	0.0091683585	0.0	0.0	0.0040096142
changepoint8	0.00026974274	0.20626865	0.022568	0.0	5.4980388e-05	3.2981e-41	0.009013069	1.1093767e-33	0.0	0.006613114
changepoint9	4e-45	0.13359335	0.117758565	0.0	9.701332e-05	0.00016931134	0.005794857	0.0	0.0	1.1570503e-14
changepoint10	6.591668e-05	0.01729618	0.8434374	0.0	1.0700905e-05	0.0	0.0019749582	1.7040164e-35	0.0	4.1162924e-24
bp10MB1	5.01696e-40	0.0	0.0	0.5997061	0.56665903	3.6378868e-05	0.025273396	0.20416883	0.0	6.9729024e-37
bp10MB2	0.0	0.0	0.0	0.24102819	0.21733737	0.024491353	0.08280194	0.23519535	0.0	6.0531115e-11
bp10MB3	0.047597297	0.0	0.0	0.008332069	0.0029475382	0.080747135	0.054471955	0.021702476	0.0	0.03781329
bpchrarm1	0.0	0.0	0.0	0.076908164	0.06957559	0.0	0.0014364069	0.0011933718	0.005912929	0.0
bpchrarm2	0.0	1e-45	0.0	0.036586106	0.040440015	0.0	0.0	0.036786564	0.0	0.0
bpchrarm3	0.0046901484	1.5385387e-36	0.0	0.0052340454	0.0	0.012546157	0.007606175	0.03204206	0.0	0.02794968
bpchrarm4	0.00044789177	0.0	0.0	0.0	0.0	0.010169953	0.011616421	0.0	0.0	1.8701105e-08
bpchrarm5	0.0	0.0	0.013362476	0.0	0.0	0.0026266254	0.0	0.0	0.0	0.0
osCN1	0.23798457	0.0	0.0	6.600877e-12	0.0012639408	0.0	0.250957	0.07788668	1e-45	0.0
osCN2	0.08510006	0.0	0.0	0.0	0.0	0.04431696	0.064767614	0.021292388	0.0	0.008560764
osCN3	0.00061101915	0.0	0.0	0.0	0.0	0.010553388	0.00043816786	0.0	2.9618582e-06	0.003358077
