	W1	W2	W3	W4	W5	W6	W7	W8	W9	W10
segsize1	0.0	0.0	0.0	0.0	0.0	0.00049194996	0.0034411966	0.0	0.0	0.091874115
segsize2	0.0	0.0	0.0	0.00096479914	0.0	0.00034886666	0.0037285315	0.0	0.0	0.090601414
segsize3	0.0	0.0	0.0	0.022425035	0.0	0.00036699884	0.00605106	0.0	0.0	0.12751673
segsize4	0.062149417	0.0	0.0	0.090144314	0.0	0.0	0.0059646587	0.0	0.0	0.17016272
segsize5	0.036757924	0.0	0.021231469	0.08100693	0.0	0.0	1.046268e-39	0.042786747	0.0	0.04924636
segsize6	0.030626312	0.0	0.0	0.063812025	0.0	1.3809366e-16	0.0004886418	0.059147183	0.0	0.011440141
segsize7	0.013819415	0.0	0.0	0.033153374	0.0	0.0020620378	0.0061893384	0.06999881	0.0	0.0
segsize8	4.858692e-13	0.0	0.0	0.010350372	0.0	0.0009768666	0.011776928	0.043933228	0.0	0.0
segsize9	8e-45	0.0	0.0	0.003419013	0.0	0.0007091177	0.009174227	0.025336593	0.0	0.0
segsize10	1.0677364e-32	0.0	0.0	0.0031773574	0.0	0.0003284469	0.01805975	0.035543077	0.0	0.0
segsize11	4.2505893e-05	0.0	0.0	0.0017185761	0.0	0.0	0.024642212	0.03147248	0.0	0.0
segsize12	0.00036054684	0.0	0.0	1.7539308e-15	0.0	0.0	0.028189072	0.025997685	0.0	0.0
segsize13	0.0063098036	0.0	0.0	0.0	0.0	0.00028830505	0.020993145	0.0129860155	0.0	0.0
segsize14	0.010873134	0.0	0.007557659	0.0	0.0	0.00036901043	0.0143731	0.004448483	0.0	1e-44
segsize15	0.016270624	0.0	0.029267523	0.0	0.0	0.0012373921	0.023192191	1.6041479e-25	0.0043621985	0.0
segsize16	0.0072727175	0.0	0.013962388	0.0	0.08946206	0.0014750741	0.009858846	0.0	0.0	0.0
segsize17	0.0007530284	0.0030359484	0.01431673	0.0	0.10693459	0.0020733075	0.014724597	0.0	0.0	0.0
segsize18	0.0	0.0	0.025255127	0.0	0.06637154	0.0024765998	0.006274932	0.0	0.0	0.0
segsize19	0.0	0.0	0.009406157	0.0	0.07845291	0.0019402016	0.0058170217	0.0	0.0	0.0
segsize20	0.0	0.0011693416	0.0	0.0	0.13094689	0.0015083397	0.0015540728	0.0	0.0	0.0
segsize21	0.0	1.2845248e-20	0.0085347	0.0	0.18309896	0.0035086717	0.002148108	0.0	0.0	0.0
segsize22	0.0	0.0	0.0	0.0	0.3447331	0.0039897584	0.0	0.0	0.0	0.0
changepoint1	1e-45	0.0	0.0	0.0007211705	0.0	0.007658519	0.0085571045	5.3094694e-38	0.35191232	0.0108916685
changepoint2	0.0	0.0	0.0	9.840545e-28	0.0	0.0020195078	0.02184499	0.02173388	0.6437255	0.0
changepoint3	0.0	0.0	0.0	0.29473397	0.0	0.008065217	0.06513572	0.0	0.0	0.0
changepoint4	0.14429732	0.0	0.0	0.15947744	0.0	0.00585012	0.044705935	0.020402588	0.0	2.4129315e-18
changepoint5	0.5478364	0.0	0.0	0.009034673	0.0	1.9829158e-38	0.015381706	0.043071117	0.0	0.01447304
changepoint6	0.046585	0.0	0.2401338	0.0	0.0	0.0	0.0001069766	0.022031104	0.0	0.0
changepoint7	0.007481564	0.0	0.2572042	0.0	0.0	0.0	0.0	0.009683972	0.0	3.87086e-05
changepoint8	0.0089333765	0.018689968	0.21196538	0.0	0.0	0.0	1.2475572e-05	0.009212524	0.0	0.0017557569
changepoint9	0.0018075773	0.11467449	0.14190106	0.00043712358	0.0	5.366231e-06	0.0	0.00563105	0.0	0.0006071704
changepoint10	6.738363e-05	0.86194015	0.019263761	0.0	0.0	0.0	0.0	0.0020459217	0.0	0.00096195005
bp10MB1	0.0	0.0	0.0	0.027294777	0.0	0.59866595	0.20505403	3.0187888e-05	0.0	2.404642e-16
bp10MB2	0.0	0.0	0.0	0.041844238	0.0	0.23160419	0.22995056	0.097418085	0.0	0.0
bp10MB3	0.035693783	0.0	0.0	0.07940431	0.0	0.004096419	0.02153503	0.050797828	0.0	0.06531454
bpchrarm1	0.0	0.0	0.0	0.0	0.0	0.075749196	2.5236868e-16	1.4888747e-28	0.0	0.0
bpchrarm2	0.0	0.0	0.0	0.0	0.0	0.039730534	0.038026225	0.0	0.0	0.0
bpchrarm3	0.0073303347	0.0	0.0	0.01624217	0.0	0.0014484681	0.03209518	0.008599861	0.0	0.008582212
bpchrarm4	1.119604e-07	0.0	0.0	0.0090355575	0.0	0.0	0.0	0.013351861	0.0	0.0042804847
bpchrarm5	0.0	0.0004901123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007746682
osCN1	0.0	0.0	0.0	0.0	0.0	0.00095569843	0.07932932	0.27929446	0.0	0.2554124
osCN2	0.011446026	0.0	0.0	0.042685695	0.0	0.0	0.021623056	0.06504519	0.0	0.08717824
osCN3	0.0032857084	0.0	0.0	0.0089170365	0.0	0.0	0.0	0.0	0.0	0.0019155907
