	W1	W2	W3	W4	W5	W6	W7	W8	W9
segsize1	1.1461e-08	0.0053419443	0.0	0.0125543345	0.0	0.002191428	0.30401206	0.0025787088	0.00032125993
segsize2	0.00077782955	0.0045367894	0.0	0.011766813	0.0	0.0018881381	0.27814877	0.0055930866	5.6950186e-05
segsize3	0.0019927064	0.008320081	0.0	0.02783699	0.0007336687	0.0016947271	0.26813686	0.025517378	0.0
segsize4	5.5371206e-06	0.025935063	0.0	0.07100322	0.0012826849	0.0109711345	0.10904962	0.08069795	0.0017452077
segsize5	0.0	0.024360714	0.0	0.062324	0.0	0.013019909	0.0	0.077706605	0.0012798881
segsize6	9.53e-43	0.025576131	0.0	0.05150647	0.0	0.02147746	0.0	0.064934105	0.0008207457
segsize7	0.0020003826	0.03665952	0.0	0.0344058	0.0	0.03727222	0.0	0.044130646	0.0027117801
segsize8	0.008462144	0.025895402	0.0	0.012610527	0.0	0.030744672	0.0	0.018611183	0.0007271639
segsize9	0.0065803644	0.017009016	0.0	0.0032553356	4.8480873e-05	0.022237469	0.0	0.008276332	0.0006338006
segsize10	0.0136874085	0.025642846	0.0	0.0047899573	0.0	0.035148345	0.0	0.008750945	0.0
segsize11	0.020476943	0.027838977	0.0	2.5e-44	0.0	0.031577546	0.0	0.0059748543	0.0
segsize12	0.02468125	0.025718085	0.0	0.0	0.0	0.029846426	0.0	0.0022336128	0.0
segsize13	0.019850576	0.016685743	0.0	2.5042483e-12	0.0005545212	0.015431599	0.0	0.0	0.00014073058
segsize14	0.01459821	0.009614908	0.0	0.0005320004	0.0013199266	0.00526252	0.0	0.0	0.0
segsize15	0.024876254	0.0077354824	0.0	0.0032715	0.00427313	0.0040031397	0.0	0.0	0.0
segsize16	0.010421884	0.0023469566	0.0	0.0024942022	0.008139441	0.0	0.0	0.0	0.0
segsize17	0.015906835	0.00065650657	0.0	0.0035649512	0.009980018	0.0	0.0	0.0	0.0
segsize18	0.0068175695	0.0	0.0	0.006058338	0.0077221124	0.0	0.0	0.0	0.00059718365
segsize19	0.005832922	0.0	0.0	0.0021928276	0.007606583	0.0	0.0	0.0	0.00035426836
segsize20	0.0008998321	0.0	0.0	0.001091009	0.008867674	0.0	0.0	0.0	0.0
segsize21	0.0015488925	0.0	0.0	0.0031234683	0.013816289	0.0	0.0	0.0	0.0011183362
segsize22	0.0	0.0	0.0	0.0	0.020472102	0.0	0.0	0.0	0.0019193416
changepoint1	0.0031628269	0.0	0.0	0.0	0.015478075	0.09944044	2.7762937e-25	1.7214127e-06	0.0058016214
changepoint2	0.014153436	0.0	0.0	0.0	0.0133089265	0.21420707	0.0	0.003588012	0.0010030696
changepoint3	0.09817736	0.0	0.0	0.0	0.0014442189	0.0	0.0	0.19110371	0.020262416
changepoint4	0.053064983	0.05638814	0.0	0.0	0.014669673	0.0	0.0	0.118802756	0.0042107194
changepoint5	0.0	0.19407839	0.0	0.0	0.023761488	0.0	0.0	0.015993416	0.0
changepoint6	0.0	0.04292778	0.0	0.059634194	0.0012922025	0.0	0.0	0.0	0.0
changepoint7	0.0	0.01713335	0.0	0.06963617	0.00085145124	0.0	0.0	0.0	0.0
changepoint8	0.0	0.013111146	0.0	0.06929838	0.00057864486	0.0	0.0	0.0	0.0
changepoint9	0.0	0.004488772	0.0	0.066934176	0.00018352956	0.0	0.0	0.00095285184	0.0
changepoint10	0.0	0.0005294288	0.99080247	0.047886435	7.0975834e-06	2.9075993e-05	0.0	0.00029904884	7.593779e-34
bp10MB1	0.24549724	0.03296766	0.0	0.0007634144	0.5339436	0.0	0.0	0.015572174	0.59432334
bp10MB2	0.2475745	0.10711477	0.0	0.0	0.20248708	0.09347374	0.0	0.043181654	0.23480342
bp10MB3	0.018725228	0.044558264	0.0	0.0422688	0.002634373	0.03051263	1e-45	0.077358246	0.007915952
bpchrarm1	7.55986e-14	1e-45	0.0	0.0	0.06457699	2.1579142e-34	0.0	0.0	0.081213154
bpchrarm2	0.046402942	0.0	0.0	0.0008817092	0.03996568	0.0	0.0	0.0	0.033849575
bpchrarm3	0.032702245	0.021670379	0.0	0.0	1.0879545e-30	0.011006838	1e-45	0.008398031	0.0041887765
bpchrarm4	0.0	0.0046439157	0.0	0.0059035234	0.0	0.0035443134	0.0	0.01339844	0.0
bpchrarm5	0.0	0.0	0.009197562	0.0016961924	0.0	0.0	0.0	0.0015098959	0.0
osCN1	0.045842126	0.12139335	0.0	0.27126223	0.0	0.25153315	0.0	0.09606763	0.0
osCN2	0.015279571	0.047898073	0.0	0.049453083	0.0	0.033485953	0.03852574	0.061593205	0.0
osCN3	0.0	0.001222417	0.0	0.0	3.1740709e-07	0.0	0.0021269757	0.0071736765	1.2344873e-06
